learning distance,stability,morality,cycle length,generation count,seed
3,1.0,0.0,1,3,19561890
3,1.0,0.0,1,5,19561891
3,1.0,0.0,1,3,19561892
3,1.0,0.0,1,3,19561893
3,1.0,0.0,1,4,19561894
3,1.0,0.0,1,3,19561895
3,1.0,0.0,1,3,19561896
3,1.0,0.0,1,3,19561897
3,1.0,0.0,1,3,19561898
3,1.0,0.0,1,7,19561899
3,1.0,0.0,1,5,19561900
3,1.0,0.0,1,3,19561901
3,1.0,0.0,1,3,19561902
3,1.0,0.0,1,4,19561903
3,1.0,0.0,1,3,19561904
3,1.0,1.0,1,5,19561905
3,1.0,0.0,1,4,19561906
3,1.0,0.0,1,3,19561907
3,1.0,0.0,1,3,19561908
3,1.0,0.0,1,3,19561909
3,1.0,0.0,1,3,19561910
3,1.0,0.0,1,3,19561911
3,1.0,0.0,1,3,19561912
3,1.0,0.0,1,4,19561913
3,1.0,0.0,1,4,19561914
3,1.0,0.0,1,3,19561915
3,1.0,0.0,1,3,19561916
3,1.0,0.0,1,3,19561917
3,1.0,0.0,1,3,19561918
3,1.0,0.0,1,3,19561919
3,1.0,0.0,1,4,19561920
3,1.0,0.0,1,3,19561921
3,1.0,0.0,1,4,19561922
3,1.0,0.0,1,3,19561923
3,1.0,0.0,1,4,19561924
3,1.0,0.0,1,4,19561925
3,1.0,0.0,1,4,19561926
3,1.0,0.0,1,3,19561927
3,1.0,0.0,1,3,19561928
3,0.5,0.8735,2,7,19561929
3,1.0,0.0,1,4,19561930
