mutation distance,stability,morality,cycle length,generation count,seed
1,0.001,0.0358,0,1000,19561848
1,0.001,0.0384,0,1000,19561849
1,0.001,0.0369,0,1000,19561850
1,0.001,0.0357,0,1000,19561851
1,0.001,0.0334,0,1000,19561852
1,0.001,0.0364,0,1000,19561853
1,0.001,0.0356,0,1000,19561854
1,0.001,0.035,0,1000,19561855
1,0.001,0.0372,0,1000,19561856
1,0.001,0.0385,0,1000,19561857
1,0.001,0.035,0,1000,19561858
1,0.001,0.0365,0,1000,19561859
1,0.001,0.0403,0,1000,19561860
1,0.001,0.0339,0,1000,19561861
1,0.001,0.0379,0,1000,19561862
1,0.001,0.0354,0,1000,19561863
1,0.001,0.0352,0,1000,19561864
1,0.001,0.0367,0,1000,19561865
1,0.001,0.0361,0,1000,19561866
1,0.001,0.0347,0,1000,19561867
1,0.001,0.0329,0,1000,19561868
1,0.001,0.0361,0,1000,19561869
1,0.001,0.0376,0,1000,19561870
1,0.001,0.0361,0,1000,19561871
1,0.001,0.0351,0,1000,19561872
1,0.001,0.0343,0,1000,19561873
1,0.001,0.0338,0,1000,19561874
1,0.001,0.0348,0,1000,19561875
1,0.001,0.0357,0,1000,19561876
1,0.001,0.0346,0,1000,19561877
1,0.001,0.0368,0,1000,19561878
1,0.001,0.0343,0,1000,19561879
1,0.001,0.0366,0,1000,19561880
1,0.001,0.0329,0,1000,19561881
1,0.001,0.0335,0,1000,19561882
1,0.001,0.0347,0,1000,19561883
1,0.001,0.0368,0,1000,19561884
1,0.001,0.0368,0,1000,19561885
1,0.001,0.0348,0,1000,19561886
1,0.001,0.0354,0,1000,19561887
1,0.001,0.0335,0,1000,19561888
1,0.001,0.0352,0,1000,19561889
1,0.001,0.0348,0,1000,19561890
1,0.001,0.0349,0,1000,19561891
1,0.001,0.0358,0,1000,19561892
1,0.001,0.036,0,1000,19561893
1,0.001,0.0364,0,1000,19561894
1,0.001,0.0365,0,1000,19561895
1,0.001,0.0359,0,1000,19561896
1,0.001,0.0353,0,1000,19561897
1,0.001,0.0356,0,1000,19561898
1,0.001,0.034,0,1000,19561899
1,0.001,0.0372,0,1000,19561900
1,0.001,0.0365,0,1000,19561901
1,0.001,0.0356,0,1000,19561902
1,0.001,0.0349,0,1000,19561903
1,0.001,0.032,0,1000,19561904
1,0.001,0.0355,0,1000,19561905
1,0.001,0.035,0,1000,19561906
1,0.001,0.0348,0,1000,19561907
1,0.001,0.0332,0,1000,19561908
1,0.001,0.0373,0,1000,19561909
1,0.001,0.0369,0,1000,19561910
1,0.001,0.0359,0,1000,19561911
1,0.001,0.0344,0,1000,19561912
1,0.001,0.0365,0,1000,19561913
1,0.001,0.036,0,1000,19561914
1,0.001,0.0377,0,1000,19561915
1,0.001,0.0369,0,1000,19561916
1,0.001,0.0369,0,1000,19561917
1,0.001,0.0364,0,1000,19561918
1,0.001,0.0342,0,1000,19561919
1,0.001,0.0365,0,1000,19561920
1,0.001,0.0357,0,1000,19561921
1,0.001,0.0349,0,1000,19561922
1,0.001,0.036,0,1000,19561923
1,0.001,0.0349,0,1000,19561924
1,0.001,0.0352,0,1000,19561925
1,0.001,0.0364,0,1000,19561926
1,0.001,0.0341,0,1000,19561927
1,0.001,0.0361,0,1000,19561928
1,0.001,0.0364,0,1000,19561929
1,0.001,0.0344,0,1000,19561930
2,0.001,0.2248,0,1000,19561831
2,0.001,0.2291,0,1000,19561832
2,0.001,0.2348,0,1000,19561833
2,0.001,0.2259,0,1000,19561834
2,0.001,0.2464,0,1000,19561835
2,0.001,0.2232,0,1000,19561836
2,0.001,0.2271,0,1000,19561837
2,0.001,0.229,0,1000,19561838
2,0.001,0.2269,0,1000,19561839
2,0.001,0.2409,0,1000,19561840
2,0.001,0.2269,0,1000,19561841
2,0.001,0.2318,0,1000,19561842
2,0.001,0.2356,0,1000,19561843
2,0.001,0.2267,0,1000,19561844
2,0.001,0.233,0,1000,19561845
2,0.001,0.2446,0,1000,19561846
