edge probability,stability,morality,cycle length,generation count,seed
0.008,1.0,0.0,1,9,19561868
0.008,1.0,0.018,1,9,19561869
0.008,0.25,0.018,4,14,19561870
0.008,0.5,0.029,2,8,19561871
0.008,0.5,0.018,2,14,19561872
0.008,1.0,0.015,1,9,19561873
0.008,1.0,0.0,1,10,19561874
0.008,0.5,0.0,2,9,19561875
0.008,1.0,0.053,1,11,19561876
0.008,0.5,0.0685,2,12,19561877
0.008,0.5,0.0,2,16,19561878
0.008,0.5,0.0,2,15,19561879
0.008,1.0,0.0,1,8,19561880
0.008,0.5,0.012,2,10,19561881
0.008,0.5,0.0,2,13,19561882
0.008,1.0,0.067,1,13,19561883
0.008,0.25,0.0,4,12,19561884
0.008,0.5,0.016,2,11,19561885
0.008,1.0,0.026,1,14,19561886
0.008,1.0,0.053,1,10,19561887
0.008,1.0,0.018,1,11,19561888
0.008,0.25,0.016,4,14,19561889
0.008,1.0,0.016,1,9,19561890
0.008,1.0,0.019,1,11,19561891
0.008,1.0,0.0,1,10,19561892
0.008,0.5,0.019,2,10,19561893
0.008,0.5,0.0,2,12,19561894
0.008,1.0,0.027,1,14,19561895
0.008,1.0,0.043,1,11,19561896
0.008,1.0,0.017,1,8,19561897
0.008,1.0,0.0,1,8,19561898
0.008,1.0,0.0,1,9,19561899
0.008,1.0,0.012,1,11,19561900
0.008,0.5,0.0,2,10,19561901
0.008,1.0,0.017,1,9,19561902
0.008,1.0,0.018,1,11,19561903
0.008,1.0,0.0,1,7,19561904
0.008,0.5,0.012,2,18,19561905
0.008,1.0,0.033,1,12,19561906
0.008,1.0,0.022,1,8,19561907
0.008,0.5,0.0,2,12,19561908
0.008,0.5,0.0,2,10,19561909
0.008,0.5,0.049,2,10,19561910
0.008,1.0,0.017,1,9,19561911
0.008,0.5,0.057,2,12,19561912
0.008,1.0,0.026,1,14,19561913
0.008,1.0,0.0,1,14,19561914
0.008,1.0,0.0,1,11,19561915
0.008,0.25,0.049,4,14,19561916
0.008,1.0,0.057,1,9,19561917
0.008,0.5,0.0,2,10,19561918
0.008,1.0,0.0,1,10,19561919
0.008,0.125,0.1005,8,22,19561920
0.008,1.0,0.051,1,10,19561921
0.008,1.0,0.012,1,10,19561922
0.008,1.0,0.0,1,13,19561923
0.008,0.5,0.022,2,13,19561924
0.008,1.0,0.0,1,11,19561925
0.008,0.5,0.0,2,9,19561926
0.008,1.0,0.0,1,9,19561927
0.008,0.5,0.035,2,13,19561928
0.008,0.5,0.048,2,15,19561929
0.008,1.0,0.02,1,9,19561930
0.012,0.5,0.018,2,16,19561831
0.012,0.5,0.0,2,15,19561832
0.012,0.5,0.0,2,15,19561833
0.012,0.5,0.0,2,12,19561834
0.012,1.0,0.067,1,7,19561835
0.012,1.0,0.025,1,13,19561836
0.012,0.5,0.0,2,10,19561837
0.012,1.0,0.0,1,7,19561838
0.012,1.0,0.02,1,8,19561839
0.012,1.0,0.024,1,7,19561840
0.012,1.0,0.0,1,8,19561841
0.012,1.0,0.0,1,8,19561842
0.012,0.5,0.0,2,9,19561843
0.012,1.0,0.0,1,7,19561844
0.012,1.0,0.017,1,8,19561845
0.012,1.0,0.0,1,8,19561846
0.012,1.0,0.0,1,10,19561847
0.012,1.0,0.021,1,7,19561848
0.012,1.0,0.048,1,8,19561849
0.012,1.0,0.021,1,11,19561850
0.012,1.0,0.0,1,7,19561851
0.012,1.0,0.0,1,11,19561852
0.012,1.0,0.0,1,10,19561853
0.012,1.0,0.103,1,9,19561854
0.012,0.5,0.0,2,11,19561855
0.012,1.0,0.0,1,9,19561856
0.012,1.0,0.064,1,11,19561857
0.012,1.0,0.041,1,10,19561858
0.012,1.0,0.022,1,8,19561859
0.012,0.5,0.0,2,15,19561860
0.012,1.0,0.043,1,7,19561861
0.012,0.5,0.0,2,9,19561862
0.012,1.0,0.0,1,10,19561863
0.012,0.25,0.0,4,13,19561864
0.012,1.0,0.0,1,7,19561865
0.012,1.0,0.02,1,7,19561866
0.012,1.0,0.0,1,9,19561867
0.012,0.5,0.0,2,11,19561868
0.012,1.0,0.0,1,10,19561869
0.012,0.5,0.0,2,10,19561870
0.012,1.0,0.0,1,10,19561871
0.012,1.0,0.028,1,12,19561872
0.012,1.0,0.0,1,9,19561873
0.012,1.0,0.025,1,16,19561874
0.012,0.5,0.0,2,11,19561875
0.012,1.0,0.024,1,8,19561876
0.012,1.0,0.0,1,13,19561877
0.012,1.0,0.0,1,8,19561878
0.012,1.0,0.0,1,15,19561879
0.012,1.0,0.0,1,9,19561880
0.012,1.0,0.0,1,8,19561881
0.012,0.5,0.0,2,18,19561882
0.012,1.0,0.0,1,11,19561883
0.012,1.0,0.0,1,8,19561884
0.012,0.25,0.0,4,11,19561885
0.012,1.0,0.0,1,12,19561886
0.012,1.0,0.0,1,8,19561887
0.012,1.0,0.04,1,8,19561888
0.012,1.0,0.0,1,8,19561889
0.012,1.0,0.0,1,7,19561890
0.012,1.0,0.0,1,6,19561891
0.012,0.5,0.0,2,10,19561892
0.012,1.0,0.0,1,8,19561893
0.012,1.0,0.0,1,12,19561894
0.012,0.5,0.0,2,14,19561895
0.012,1.0,0.0,1,7,19561896
0.012,1.0,0.0,1,6,19561897
0.012,1.0,0.026,1,8,19561898
0.012,0.5,0.0,2,12,19561899
0.012,1.0,0.0,1,9,19561900
0.012,1.0,0.0,1,11,19561901
0.012,1.0,0.0,1,8,19561902
0.012,1.0,0.0,1,7,19561903
0.012,0.5,0.0,2,11,19561904
0.012,0.25,0.0428,4,16,19561905
0.012,1.0,0.0,1,9,19561906
0.012,1.0,0.028,1,11,19561907
0.012,1.0,0.0,1,10,19561908
0.012,1.0,0.0,1,8,19561909
0.012,1.0,0.022,1,12,19561910
0.012,1.0,0.046,1,7,19561911
0.012,0.25,0.0,4,15,19561912
0.012,1.0,0.016,1,8,19561913
0.012,0.5,0.026,2,9,19561914
0.012,0.5,0.0,2,11,19561915
0.012,1.0,0.0,1,9,19561916
0.012,1.0,0.0,1,10,19561917
0.012,1.0,0.021,1,12,19561918
0.012,1.0,0.0,1,7,19561919
0.012,1.0,0.0,1,9,19561920
0.012,1.0,0.0,1,8,19561921
0.012,0.25,0.0,4,11,19561922
0.012,1.0,0.0,1,8,19561923
0.012,1.0,0.0,1,7,19561924
0.012,1.0,0.0,1,7,19561925
0.012,1.0,0.0,1,7,19561926
0.012,1.0,0.0,1,10,19561927
0.012,1.0,0.0,1,13,19561928
0.012,1.0,0.019,1,9,19561929
0.012,0.5,0.0,2,10,19561930
