population size,stability,morality,cycle length,generation count,seed
1000,1.0,0.708,1,13,19561881
1000,1.0,0.834,1,15,19561882
1000,0.0833,0.6122,12,27,19561883
1000,0.5,0.799,2,14,19561884
1000,1.0,0.79,1,14,19561885
1000,0.5,0.731,2,13,19561886
1000,0.5,0.7965,2,13,19561887
1000,0.5,0.776,2,14,19561888
1000,0.1667,0.5735,6,23,19561889
1000,0.5,0.6605,2,15,19561890
1000,0.5,0.6615,2,16,19561891
1000,0.5,0.819,2,10,19561892
1000,1.0,0.907,1,8,19561893
1000,1.0,0.871,1,12,19561894
1000,0.5,0.678,2,21,19561895
1000,0.5,0.789,2,12,19561896
1000,0.5,0.645,2,16,19561897
1000,0.5,0.7015,2,15,19561898
1000,1.0,0.788,1,14,19561899
1000,1.0,0.881,1,8,19561900
1000,0.5,0.83,2,13,19561901
1000,0.5,0.81,2,11,19561902
1000,0.5,0.794,2,11,19561903
1000,0.5,0.7915,2,12,19561904
1000,0.5,0.702,2,14,19561905
1000,1.0,0.822,1,11,19561906
1000,0.5,0.755,2,13,19561907
1000,1.0,0.855,1,14,19561908
1000,0.5,0.725,2,15,19561909
1000,0.5,0.71,2,15,19561910
1000,1.0,0.747,1,13,19561911
1000,0.5,0.6585,2,16,19561912
1000,1.0,0.772,1,10,19561913
1000,0.5,0.67,2,12,19561914
1000,1.0,0.838,1,15,19561915
1000,1.0,0.799,1,11,19561916
1000,0.5,0.825,2,11,19561917
1000,0.5,0.707,2,16,19561918
1000,0.5,0.809,2,13,19561919
1000,1.0,0.829,1,16,19561920
1000,0.5,0.763,2,13,19561921
1000,0.5,0.821,2,13,19561922
1000,0.25,0.655,4,21,19561923
1000,0.25,0.69,4,20,19561924
1000,1.0,0.876,1,10,19561925
1000,0.25,0.673,4,14,19561926
1000,1.0,0.915,1,9,19561927
1000,0.5,0.5505,2,15,19561928
1000,1.0,0.881,1,11,19561929
1000,0.5,0.732,2,17,19561930
10000,0.5,0.7628,2,18,19561831
10000,0.1667,0.7569,6,24,19561832
10000,0.5,0.8312,2,18,19561833
10000,0.1667,0.7771,6,20,19561834
10000,0.125,0.8019,8,23,19561835
10000,0.5,0.82,2,15,19561836
10000,0.5,0.7742,2,18,19561837
10000,0.25,0.7266,4,19,19561838
10000,0.25,0.7757,4,23,19561839
10000,0.5,0.8531,2,16,19561840
10000,0.1667,0.7938,6,22,19561841
10000,0.25,0.6956,4,29,19561842
10000,0.25,0.7657,4,16,19561843
10000,0.5,0.7642,2,20,19561844
10000,0.5,0.7774,2,18,19561845
10000,0.0833,0.6705,12,41,19561846
10000,0.5,0.7313,2,20,19561847
10000,0.25,0.8049,4,19,19561848
10000,0.5,0.7052,2,24,19561849
10000,0.1,0.7805,10,25,19561850
10000,0.5,0.745,2,16,19561851
10000,0.25,0.7746,4,17,19561852
10000,0.5,0.7723,2,17,19561853
10000,0.5,0.83,2,14,19561854
10000,0.5,0.7973,2,16,19561855
10000,0.5,0.8332,2,16,19561856
10000,0.5,0.8498,2,14,19561857
10000,0.25,0.7485,4,21,19561858
10000,0.5,0.8159,2,15,19561859
10000,0.5,0.8372,2,15,19561860
10000,0.0833,0.6496,12,38,19561861
10000,0.25,0.6868,4,29,19561862
10000,0.25,0.7918,4,21,19561863
10000,0.5,0.8876,2,14,19561864
10000,0.25,0.8239,4,17,19561865
10000,0.0833,0.7518,12,28,19561866
10000,0.25,0.5863,4,26,19561867
10000,0.25,0.6763,4,24,19561868
10000,0.25,0.6915,4,21,19561869
10000,1.0,0.876,1,12,19561870
10000,0.1667,0.6815,6,25,19561871
10000,0.1667,0.6986,6,25,19561872
10000,0.0833,0.7192,12,30,19561873
10000,0.0833,0.7087,12,31,19561874
10000,0.25,0.8225,4,17,19561875
10000,0.1667,0.7034,6,29,19561876
10000,0.25,0.7267,4,21,19561877
10000,0.1667,0.7792,6,21,19561878
10000,0.5,0.8076,2,14,19561879
10000,0.0833,0.7103,12,36,19561880
10000,0.5,0.8129,2,23,19561881
10000,0.25,0.7501,4,27,19561882
10000,0.125,0.8024,8,23,19561883
10000,0.1667,0.7,6,25,19561884
10000,0.0833,0.65,12,37,19561885
10000,0.0833,0.6765,12,28,19561886
10000,0.25,0.7288,4,20,19561887
10000,0.0417,0.5533,24,43,19561888
10000,0.25,0.7604,4,19,19561889
10000,0.5,0.867,2,16,19561890
10000,0.5,0.694,2,20,19561891
10000,0.25,0.7846,4,19,19561892
10000,0.5,0.8088,2,15,19561893
10000,0.0833,0.648,12,33,19561894
10000,0.5,0.8103,2,23,19561895
10000,0.25,0.7923,4,19,19561896
10000,0.5,0.7862,2,18,19561897
10000,0.5,0.7741,2,17,19561898
10000,0.0833,0.7006,12,38,19561899
10000,0.5,0.7179,2,24,19561900
10000,0.5,0.8139,2,18,19561901
10000,0.0833,0.7042,12,33,19561902
10000,0.5,0.7879,2,17,19561903
10000,0.1667,0.7614,6,26,19561904
10000,0.25,0.7523,4,23,19561905
10000,0.0833,0.7144,12,43,19561906
10000,0.0167,0.6984,60,84,19561907
10000,0.5,0.8149,2,16,19561908
10000,0.0833,0.6908,12,29,19561909
10000,0.5,0.8613,2,14,19561910
10000,0.0833,0.7064,12,32,19561911
10000,0.25,0.7726,4,23,19561912
10000,0.5,0.7765,2,26,19561913
10000,0.25,0.7493,4,27,19561914
10000,0.5,0.792,2,17,19561915
10000,0.5,0.8222,2,14,19561916
10000,0.5,0.7366,2,24,19561917
10000,0.1667,0.7884,6,26,19561918
10000,0.25,0.6943,4,26,19561919
10000,0.5,0.732,2,19,19561920
10000,0.5,0.7298,2,18,19561921
10000,0.5,0.7563,2,24,19561922
10000,0.0833,0.7321,12,28,19561923
10000,0.0417,0.7588,24,40,19561924
10000,0.5,0.8188,2,18,19561925
10000,0.5,0.7386,2,19,19561926
10000,0.5,0.7785,2,19,19561927
10000,0.25,0.7399,4,21,19561928
10000,0.5,0.7651,2,21,19561929
10000,0.0833,0.7137,12,25,19561930
