mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.9336,0,1000,19561831
0,0.001,0.9026,0,1000,19561832
0,0.001,0.9084,0,1000,19561833
0,0.001,0.9223,0,1000,19561834
0,0.001,0.9341,0,1000,19561835
0,0.001,0.9313,0,1000,19561836
0,0.001,0.9337,0,1000,19561837
0,0.001,0.9247,0,1000,19561838
0,0.001,0.9369,0,1000,19561839
0,0.001,0.9391,0,1000,19561840
0,0.001,0.9153,0,1000,19561841
0,0.001,0.9418,0,1000,19561842
0,0.001,0.9283,0,1000,19561843
0,0.001,0.9244,0,1000,19561844
0,0.001,0.9352,0,1000,19561845
0,0.001,0.9345,0,1000,19561846
0,0.001,0.9273,0,1000,19561847
0,0.001,0.9405,0,1000,19561848
0,0.001,0.9292,0,1000,19561849
0,0.001,0.9539,0,1000,19561850
0,0.001,0.9218,0,1000,19561851
0,0.001,0.9385,0,1000,19561852
0,0.001,0.9118,0,1000,19561853
0,0.001,0.906,0,1000,19561854
0,0.001,0.9154,0,1000,19561855
0,0.001,0.9335,0,1000,19561856
0,0.001,0.9431,0,1000,19561857
0,0.001,0.9294,0,1000,19561858
0,0.001,0.9267,0,1000,19561859
0,0.001,0.9333,0,1000,19561860
0,0.001,0.9311,0,1000,19561861
0,0.001,0.9189,0,1000,19561862
0,0.001,0.9399,0,1000,19561863
0,0.001,0.9364,0,1000,19561864
0,0.001,0.9392,0,1000,19561865
0,0.001,0.9416,0,1000,19561866
0,0.001,0.9252,0,1000,19561867
0,0.001,0.9087,0,1000,19561868
0,0.001,0.908,0,1000,19561869
0,0.001,0.9362,0,1000,19561870
0,0.001,0.9162,0,1000,19561871
0,0.001,0.9201,0,1000,19561872
0,0.001,0.9346,0,1000,19561873
0,0.001,0.9201,0,1000,19561874
0,0.001,0.9195,0,1000,19561875
0,0.001,0.9215,0,1000,19561876
0,0.001,0.9242,0,1000,19561877
0,0.001,0.9258,0,1000,19561878
0,0.001,0.929,0,1000,19561879
0,0.001,0.9491,0,1000,19561880
0,0.001,0.9199,0,1000,19561881
0,0.001,0.9227,0,1000,19561882
0,0.001,0.9094,0,1000,19561883
0,0.001,0.9206,0,1000,19561884
0,0.001,0.9178,0,1000,19561885
0,0.001,0.9189,0,1000,19561886
0,0.001,0.9332,0,1000,19561887
0,0.001,0.9423,0,1000,19561888
0,0.001,0.9175,0,1000,19561889
0,0.001,0.9302,0,1000,19561890
0,0.001,0.9087,0,1000,19561891
0,0.001,0.9178,0,1000,19561892
0,0.001,0.9445,0,1000,19561893
0,0.001,0.9498,0,1000,19561894
0,0.001,0.9294,0,1000,19561895
0,0.001,0.9304,0,1000,19561896
0,0.001,0.927,0,1000,19561897
0,0.001,0.921,0,1000,19561898
0,0.001,0.9303,0,1000,19561899
0,0.001,0.9433,0,1000,19561900
0,0.001,0.936,0,1000,19561901
0,0.001,0.9175,0,1000,19561902
0,0.001,0.9216,0,1000,19561903
0,0.001,0.9346,0,1000,19561904
0,0.001,0.9359,0,1000,19561905
0,0.001,0.9226,0,1000,19561906
0,0.001,0.9317,0,1000,19561907
0,0.001,0.9361,0,1000,19561908
0,0.001,0.945,0,1000,19561909
0,0.001,0.9382,0,1000,19561910
0,0.001,0.9229,0,1000,19561911
0,0.001,0.9007,0,1000,19561912
0,0.001,0.9168,0,1000,19561913
0,0.001,0.931,0,1000,19561914
0,0.001,0.9301,0,1000,19561915
0,0.001,0.9378,0,1000,19561916
0,0.001,0.9329,0,1000,19561917
0,0.001,0.9339,0,1000,19561918
0,0.001,0.9269,0,1000,19561919
0,0.001,0.9291,0,1000,19561920
0,0.001,0.9188,0,1000,19561921
0,0.001,0.936,0,1000,19561922
0,0.001,0.9468,0,1000,19561923
0,0.001,0.9243,0,1000,19561924
0,0.001,0.9405,0,1000,19561925
0,0.001,0.9322,0,1000,19561926
0,0.001,0.94,0,1000,19561927
0,0.001,0.9205,0,1000,19561928
0,0.001,0.9524,0,1000,19561929
0,0.001,0.9099,0,1000,19561930
1,0.001,0.8349,0,1000,19561831
1,0.001,0.8483,0,1000,19561832
1,0.001,0.8326,0,1000,19561833
1,0.001,0.818,0,1000,19561834
1,0.001,0.8117,0,1000,19561835
1,0.001,0.8217,0,1000,19561836
1,0.001,0.8246,0,1000,19561837
1,0.001,0.8382,0,1000,19561838
1,0.001,0.8229,0,1000,19561839
1,0.001,0.8303,0,1000,19561840
1,0.001,0.8321,0,1000,19561841
1,0.001,0.8247,0,1000,19561842
1,0.001,0.8044,0,1000,19561843
1,0.001,0.8379,0,1000,19561844
1,0.001,0.8211,0,1000,19561845
1,0.001,0.8346,0,1000,19561846
1,0.001,0.8336,0,1000,19561847
1,0.001,0.828,0,1000,19561848
1,0.001,0.8441,0,1000,19561849
1,0.001,0.8421,0,1000,19561850
1,0.001,0.8228,0,1000,19561851
1,0.001,0.8388,0,1000,19561852
1,0.001,0.8263,0,1000,19561853
1,0.001,0.8346,0,1000,19561854
1,0.001,0.8251,0,1000,19561855
1,0.001,0.804,0,1000,19561856
1,0.001,0.8306,0,1000,19561857
1,0.001,0.8351,0,1000,19561858
1,0.001,0.8199,0,1000,19561859
1,0.001,0.8342,0,1000,19561860
1,0.001,0.8463,0,1000,19561861
1,0.001,0.8432,0,1000,19561862
1,0.001,0.8301,0,1000,19561863
1,0.001,0.8235,0,1000,19561864
1,0.001,0.846,0,1000,19561865
1,0.001,0.8332,0,1000,19561866
1,0.001,0.851,0,1000,19561867
1,0.001,0.8255,0,1000,19561868
1,0.001,0.8275,0,1000,19561869
1,0.001,0.8334,0,1000,19561870
1,0.001,0.8332,0,1000,19561871
