neighborhood,stability,morality,cycle length,generation count,seed
3,1.0,0.9,1,11,19561883
3,1.0,0.94,1,8,19561884
3,1.0,0.924,1,7,19561885
3,1.0,0.963,1,8,19561886
3,1.0,0.967,1,7,19561887
3,1.0,0.966,1,8,19561888
3,1.0,0.933,1,11,19561889
3,1.0,0.964,1,8,19561890
3,1.0,0.963,1,6,19561891
3,1.0,0.966,1,7,19561892
3,1.0,0.947,1,7,19561893
3,1.0,0.958,1,8,19561894
3,1.0,0.972,1,8,19561895
3,1.0,0.975,1,10,19561896
3,1.0,0.974,1,6,19561897
3,1.0,0.965,1,7,19561898
3,1.0,0.931,1,7,19561899
3,1.0,0.961,1,11,19561900
3,1.0,0.956,1,8,19561901
3,1.0,0.973,1,8,19561902
3,1.0,0.949,1,8,19561903
3,1.0,0.962,1,6,19561904
3,1.0,0.95,1,9,19561905
3,1.0,0.949,1,8,19561906
3,1.0,0.928,1,7,19561907
3,1.0,0.97,1,6,19561908
3,1.0,0.985,1,7,19561909
3,1.0,0.95,1,8,19561910
3,1.0,0.937,1,14,19561911
3,1.0,0.937,1,9,19561912
3,1.0,0.943,1,8,19561913
3,1.0,0.958,1,10,19561914
3,1.0,0.956,1,9,19561915
3,1.0,0.975,1,6,19561916
3,1.0,0.941,1,8,19561917
3,1.0,0.967,1,8,19561918
3,1.0,0.931,1,9,19561919
3,1.0,0.996,1,7,19561920
3,1.0,0.947,1,11,19561921
3,1.0,0.94,1,9,19561922
3,1.0,0.984,1,7,19561923
3,1.0,0.906,1,6,19561924
3,1.0,0.959,1,10,19561925
3,1.0,0.953,1,8,19561926
3,1.0,0.971,1,7,19561927
3,1.0,0.966,1,9,19561928
3,1.0,0.975,1,7,19561929
3,1.0,0.972,1,7,19561930
4,1.0,0.99,1,7,19561831
4,1.0,0.995,1,7,19561832
4,1.0,0.994,1,6,19561833
4,1.0,0.986,1,6,19561834
4,1.0,0.998,1,7,19561835
4,1.0,0.999,1,8,19561836
4,1.0,0.997,1,7,19561837
4,1.0,0.995,1,7,19561838
4,1.0,1.0,1,6,19561839
4,1.0,0.995,1,9,19561840
4,1.0,1.0,1,6,19561841
4,1.0,0.985,1,6,19561842
4,1.0,0.984,1,8,19561843
4,1.0,0.991,1,9,19561844
4,1.0,1.0,1,7,19561845
4,1.0,1.0,1,5,19561846
4,1.0,0.998,1,6,19561847
4,1.0,0.989,1,8,19561848
4,1.0,0.985,1,10,19561849
4,1.0,0.983,1,9,19561850
4,1.0,0.995,1,10,19561851
4,1.0,0.999,1,7,19561852
4,1.0,1.0,1,8,19561853
4,1.0,1.0,1,6,19561854
4,1.0,0.976,1,8,19561855
4,1.0,0.992,1,7,19561856
4,1.0,1.0,1,6,19561857
4,1.0,1.0,1,7,19561858
4,1.0,0.996,1,9,19561859
4,1.0,0.995,1,10,19561860
4,1.0,1.0,1,7,19561861
4,1.0,1.0,1,9,19561862
4,1.0,0.997,1,7,19561863
4,1.0,0.976,1,8,19561864
4,1.0,0.968,1,7,19561865
4,1.0,0.985,1,7,19561866
4,1.0,0.994,1,7,19561867
4,1.0,0.985,1,6,19561868
4,1.0,0.999,1,7,19561869
4,1.0,0.993,1,6,19561870
4,1.0,0.999,1,7,19561871
4,1.0,0.984,1,7,19561872
4,1.0,0.989,1,10,19561873
4,1.0,0.988,1,7,19561874
4,1.0,0.983,1,6,19561875
4,1.0,0.993,1,7,19561876
4,1.0,1.0,1,9,19561877
4,1.0,0.99,1,7,19561878
4,1.0,0.998,1,8,19561879
4,1.0,0.996,1,7,19561880
4,1.0,0.978,1,9,19561881
4,1.0,0.996,1,8,19561882
4,1.0,0.986,1,8,19561883
4,1.0,0.999,1,7,19561884
4,1.0,1.0,1,10,19561885
4,1.0,0.996,1,6,19561886
4,1.0,1.0,1,8,19561887
4,1.0,0.999,1,7,19561888
4,1.0,0.986,1,8,19561889
4,1.0,0.992,1,6,19561890
4,1.0,0.999,1,7,19561891
4,1.0,0.996,1,8,19561892
4,1.0,1.0,1,7,19561893
4,1.0,0.998,1,10,19561894
4,1.0,0.999,1,8,19561895
4,1.0,0.998,1,8,19561896
4,1.0,0.99,1,7,19561897
4,1.0,0.997,1,7,19561898
4,1.0,0.982,1,7,19561899
4,1.0,0.99,1,7,19561900
4,1.0,0.99,1,7,19561901
4,1.0,0.996,1,7,19561902
4,1.0,0.998,1,6,19561903
4,1.0,1.0,1,7,19561904
4,1.0,0.989,1,6,19561905
4,1.0,0.98,1,7,19561906
4,1.0,0.99,1,6,19561907
4,1.0,0.996,1,6,19561908
4,1.0,0.995,1,7,19561909
4,1.0,0.999,1,8,19561910
4,1.0,1.0,1,7,19561911
4,1.0,0.993,1,11,19561912
4,1.0,0.996,1,6,19561913
4,1.0,0.989,1,6,19561914
4,1.0,1.0,1,8,19561915
4,1.0,0.997,1,8,19561916
4,1.0,0.974,1,7,19561917
4,1.0,0.994,1,7,19561918
4,1.0,1.0,1,6,19561919
4,1.0,0.996,1,8,19561920
4,1.0,0.995,1,7,19561921
4,1.0,0.979,1,8,19561922
4,1.0,0.99,1,8,19561923
4,1.0,0.975,1,7,19561924
4,1.0,1.0,1,7,19561925
4,1.0,0.983,1,6,19561926
4,1.0,0.999,1,7,19561927
4,1.0,0.997,1,7,19561928
4,1.0,0.997,1,9,19561929
4,1.0,0.968,1,8,19561930
