beta,stability,morality,cycle length,generation count,seed
0.07,0.5,0.632,2,24,19561868
0.07,0.5,0.7075,2,14,19561869
0.07,1.0,0.835,1,19,19561870
0.07,0.5,0.672,2,16,19561871
0.07,0.5,0.63,2,20,19561872
0.07,0.5,0.8175,2,16,19561873
0.07,0.5,0.703,2,17,19561874
0.07,1.0,0.895,1,12,19561875
0.07,0.5,0.863,2,14,19561876
0.07,0.5,0.735,2,29,19561877
0.07,1.0,0.902,1,12,19561878
0.07,0.5,0.772,2,15,19561879
0.07,1.0,0.85,1,32,19561880
0.07,0.5,0.789,2,14,19561881
0.07,0.5,0.739,2,16,19561882
0.07,0.5,0.833,2,15,19561883
0.07,0.5,0.759,2,18,19561884
0.07,0.5,0.8615,2,20,19561885
0.07,0.5,0.847,2,14,19561886
0.07,0.5,0.753,2,18,19561887
0.07,0.5,0.795,2,13,19561888
0.07,0.5,0.858,2,10,19561889
0.07,0.5,0.7665,2,17,19561890
0.07,0.5,0.79,2,32,19561891
0.07,1.0,0.881,1,13,19561892
0.07,0.5,0.7415,2,21,19561893
0.07,0.5,0.797,2,14,19561894
0.07,0.5,0.831,2,15,19561895
0.07,0.5,0.769,2,20,19561896
0.07,0.5,0.827,2,18,19561897
0.07,0.25,0.834,4,19,19561898
0.07,1.0,0.839,1,19,19561899
0.07,0.5,0.559,2,20,19561900
0.07,1.0,0.815,1,13,19561901
0.07,0.5,0.841,2,15,19561902
0.07,0.0833,0.575,12,29,19561903
0.07,0.25,0.8175,4,18,19561904
0.07,0.5,0.822,2,17,19561905
0.07,0.5,0.811,2,20,19561906
0.07,0.5,0.797,2,20,19561907
0.07,0.5,0.693,2,15,19561908
0.07,0.5,0.825,2,13,19561909
0.07,0.5,0.77,2,25,19561910
0.07,0.25,0.677,4,22,19561911
0.07,0.5,0.796,2,11,19561912
0.07,0.5,0.765,2,20,19561913
0.07,0.5,0.845,2,13,19561914
0.07,0.5,0.838,2,23,19561915
0.07,0.5,0.875,2,15,19561916
0.07,0.5,0.635,2,20,19561917
0.07,0.5,0.7515,2,17,19561918
0.07,0.5,0.864,2,15,19561919
0.07,0.5,0.773,2,14,19561920
0.07,0.5,0.757,2,20,19561921
0.07,0.5,0.811,2,15,19561922
0.07,0.5,0.6295,2,20,19561923
0.07,0.5,0.7645,2,18,19561924
0.07,0.5,0.548,2,24,19561925
0.07,0.5,0.761,2,21,19561926
0.07,0.5,0.8145,2,15,19561927
0.07,0.5,0.836,2,11,19561928
0.07,0.5,0.84,2,12,19561929
0.07,0.5,0.817,2,16,19561930
0.125,1.0,0.857,1,10,19561831
0.125,0.5,0.747,2,14,19561832
0.125,0.1667,0.7575,6,20,19561833
0.125,1.0,0.843,1,9,19561834
0.125,0.0833,0.4564,12,22,19561835
0.125,0.5,0.761,2,11,19561836
0.125,0.5,0.7165,2,23,19561837
0.125,0.1667,0.6197,6,16,19561838
