initial moral mean,stability,morality,cycle length,generation count,seed
0.5,1.0,0.831,1,12,19561865
0.5,0.5,0.779,2,14,19561866
0.5,0.5,0.829,2,23,19561867
0.5,0.5,0.6765,2,16,19561868
0.5,0.5,0.7595,2,17,19561869
0.5,0.5,0.799,2,15,19561870
0.5,0.5,0.763,2,19,19561871
0.5,0.5,0.792,2,14,19561872
0.5,1.0,0.882,1,8,19561873
0.5,0.5,0.6925,2,16,19561874
0.5,0.25,0.583,4,20,19561875
0.5,0.5,0.674,2,17,19561876
0.5,0.5,0.744,2,16,19561877
0.5,0.5,0.7655,2,16,19561878
0.5,1.0,0.638,1,15,19561879
0.5,1.0,0.843,1,9,19561880
0.5,0.5,0.715,2,17,19561881
0.5,0.5,0.804,2,14,19561882
0.5,0.5,0.668,2,14,19561883
0.5,0.5,0.76,2,11,19561884
0.5,0.5,0.759,2,16,19561885
0.5,0.25,0.707,4,21,19561886
0.5,1.0,0.839,1,9,19561887
0.5,1.0,0.798,1,12,19561888
0.5,0.5,0.6185,2,16,19561889
0.5,0.5,0.756,2,21,19561890
0.5,0.25,0.562,4,16,19561891
0.5,0.5,0.879,2,14,19561892
0.5,1.0,0.875,1,10,19561893
0.5,0.5,0.794,2,16,19561894
0.5,0.5,0.763,2,26,19561895
0.5,0.5,0.7915,2,13,19561896
0.5,0.5,0.663,2,18,19561897
0.5,0.5,0.727,2,16,19561898
0.5,0.5,0.719,2,19,19561899
0.5,1.0,0.827,1,11,19561900
0.5,1.0,0.826,1,10,19561901
0.5,0.5,0.846,2,10,19561902
0.5,0.0833,0.724,12,23,19561903
0.5,1.0,0.812,1,13,19561904
0.5,1.0,0.843,1,12,19561905
0.5,1.0,0.843,1,17,19561906
0.5,1.0,0.693,1,14,19561907
0.5,0.5,0.8275,2,12,19561908
0.5,0.5,0.689,2,12,19561909
0.5,0.5,0.788,2,14,19561910
0.5,0.5,0.673,2,12,19561911
0.5,0.25,0.479,4,26,19561912
0.5,1.0,0.777,1,9,19561913
0.5,0.5,0.7075,2,16,19561914
0.5,0.5,0.859,2,14,19561915
0.5,1.0,0.871,1,10,19561916
0.5,0.5,0.8155,2,10,19561917
0.5,0.5,0.78,2,12,19561918
0.5,0.5,0.835,2,13,19561919
0.5,0.25,0.702,4,15,19561920
0.5,0.5,0.725,2,17,19561921
0.5,0.5,0.693,2,11,19561922
0.5,0.5,0.6945,2,16,19561923
0.5,0.5,0.641,2,16,19561924
0.5,1.0,0.848,1,9,19561925
0.5,0.5,0.69,2,14,19561926
0.5,1.0,0.955,1,8,19561927
0.5,1.0,0.845,1,19,19561928
0.5,1.0,0.814,1,11,19561929
0.5,0.5,0.851,2,14,19561930
0.75,1.0,0.914,1,9,19561831
0.75,1.0,0.865,1,12,19561832
0.75,1.0,0.811,1,12,19561833
0.75,1.0,0.918,1,7,19561834
0.75,1.0,0.835,1,12,19561835
0.75,0.5,0.889,2,10,19561836
0.75,0.5,0.805,2,13,19561837
0.75,0.5,0.851,2,13,19561838
0.75,0.5,0.8,2,9,19561839
0.75,0.5,0.846,2,8,19561840
0.75,0.5,0.853,2,14,19561841
0.75,0.5,0.8075,2,10,19561842
0.75,0.5,0.755,2,14,19561843
0.75,1.0,0.797,1,13,19561844
0.75,1.0,0.882,1,10,19561845
0.75,0.5,0.864,2,10,19561846
0.75,0.5,0.855,2,11,19561847
0.75,1.0,0.907,1,8,19561848
0.75,0.5,0.845,2,11,19561849
0.75,0.5,0.892,2,11,19561850
0.75,0.5,0.827,2,12,19561851
0.75,1.0,0.899,1,9,19561852
0.75,0.5,0.828,2,19,19561853
0.75,1.0,0.855,1,11,19561854
0.75,0.5,0.83,2,16,19561855
0.75,1.0,0.907,1,9,19561856
0.75,1.0,0.86,1,11,19561857
0.75,0.5,0.783,2,9,19561858
0.75,1.0,0.822,1,13,19561859
0.75,0.5,0.711,2,12,19561860
0.75,0.5,0.891,2,13,19561861
0.75,0.5,0.768,2,13,19561862
0.75,0.5,0.8135,2,12,19561863
0.75,1.0,0.828,1,12,19561864
0.75,1.0,0.91,1,8,19561865
0.75,0.5,0.863,2,11,19561866
0.75,1.0,0.846,1,10,19561867
0.75,1.0,0.829,1,13,19561868
0.75,1.0,0.864,1,13,19561869
0.75,1.0,0.808,1,9,19561870
0.75,1.0,0.801,1,12,19561871
0.75,1.0,0.827,1,9,19561872
0.75,1.0,0.909,1,9,19561873
0.75,0.5,0.835,2,13,19561874
0.75,0.5,0.727,2,15,19561875
0.75,0.5,0.769,2,12,19561876
0.75,0.5,0.8235,2,16,19561877
0.75,1.0,0.839,1,13,19561878
0.75,0.5,0.6745,2,17,19561879
0.75,1.0,0.889,1,12,19561880
0.75,1.0,0.845,1,11,19561881
0.75,1.0,0.79,1,9,19561882
0.75,1.0,0.79,1,17,19561883
0.75,0.5,0.841,2,13,19561884
0.75,1.0,0.839,1,10,19561885
0.75,0.5,0.828,2,11,19561886
0.75,0.5,0.79,2,11,19561887
0.75,1.0,0.891,1,10,19561888
0.75,0.5,0.679,2,13,19561889
0.75,0.5,0.786,2,13,19561890
0.75,0.5,0.796,2,24,19561891
0.75,0.5,0.8925,2,14,19561892
0.75,1.0,0.908,1,10,19561893
0.75,1.0,0.861,1,9,19561894
0.75,0.5,0.778,2,15,19561895
0.75,1.0,0.853,1,7,19561896
0.75,0.5,0.872,2,13,19561897
0.75,0.5,0.785,2,13,19561898
0.75,0.5,0.7585,2,11,19561899
0.75,1.0,0.897,1,8,19561900
0.75,1.0,0.827,1,11,19561901
0.75,1.0,0.868,1,8,19561902
0.75,1.0,0.888,1,9,19561903
0.75,1.0,0.945,1,9,19561904
0.75,1.0,0.877,1,13,19561905
0.75,1.0,0.865,1,8,19561906
0.75,0.5,0.835,2,13,19561907
0.75,1.0,0.853,1,11,19561908
0.75,0.5,0.83,2,10,19561909
0.75,1.0,0.875,1,15,19561910
0.75,0.5,0.887,2,12,19561911
0.75,0.5,0.75,2,11,19561912
0.75,1.0,0.834,1,8,19561913
0.75,0.5,0.812,2,10,19561914
0.75,1.0,0.901,1,8,19561915
0.75,1.0,0.883,1,9,19561916
0.75,1.0,0.929,1,9,19561917
0.75,1.0,0.833,1,11,19561918
0.75,1.0,0.84,1,8,19561919
0.75,0.5,0.894,2,12,19561920
0.75,0.25,0.8223,4,13,19561921
0.75,0.5,0.849,2,13,19561922
0.75,0.5,0.785,2,10,19561923
0.75,1.0,0.855,1,11,19561924
0.75,1.0,0.901,1,11,19561925
0.75,0.5,0.808,2,13,19561926
0.75,1.0,0.935,1,7,19561927
0.75,1.0,0.811,1,12,19561928
0.75,1.0,0.904,1,9,19561929
0.75,0.5,0.866,2,10,19561930
