neighborhood,stability,morality,cycle length,generation count,seed
N4,1.0,0.834,1,12,19561831
N4,0.5,0.8589,2,22,19561832
N4,0.25,0.5669,4,24,19561833
N4,0.5,0.7959,2,14,19561834
N4,0.25,0.8105,4,13,19561835
N4,0.5,0.7876,2,14,19561836
N4,1.0,0.8564,1,15,19561837
N4,0.5,0.813,2,13,19561838
N4,0.5,0.8398,2,15,19561839
N4,0.25,0.8145,4,23,19561840
N4,0.5,0.7607,2,15,19561841
N4,0.5,0.814,2,18,19561842
N4,0.5,0.8066,2,14,19561843
N4,1.0,0.832,1,14,19561844
N4,1.0,0.874,1,11,19561845
N4,0.5,0.8511,2,15,19561846
N4,0.5,0.8848,2,10,19561847
N4,0.5,0.8721,2,16,19561848
N4,0.5,0.7275,2,23,19561849
N4,0.5,0.8262,2,16,19561850
N4,0.5,0.8408,2,13,19561851
N4,0.25,0.7141,4,18,19561852
N4,0.5,0.8169,2,18,19561853
N4,0.5,0.8232,2,11,19561854
N4,1.0,0.8877,1,12,19561855
N4,0.1667,0.7822,6,16,19561856
N4,0.5,0.8711,2,11,19561857
N4,1.0,0.8223,1,12,19561858
N4,1.0,0.8652,1,11,19561859
N4,1.0,0.8711,1,8,19561860
N4,0.5,0.8354,2,12,19561861
N4,0.5,0.813,2,17,19561862
N4,0.5,0.7729,2,16,19561863
N4,0.5,0.8242,2,20,19561864
N4,1.0,0.8428,1,10,19561865
N4,0.5,0.8569,2,13,19561866
N4,0.25,0.793,4,19,19561867
N4,1.0,0.8389,1,17,19561868
N4,0.5,0.7886,2,17,19561869
N4,0.5,0.8638,2,20,19561870
N4,0.5,0.8662,2,13,19561871
N4,0.5,0.8008,2,13,19561872
N4,0.25,0.7539,4,28,19561873
N4,0.5,0.7979,2,13,19561874
N4,0.5,0.8672,2,11,19561875
N4,0.5,0.8389,2,12,19561876
N4,0.5,0.7021,2,16,19561877
N4,0.5,0.7993,2,18,19561878
N4,0.5,0.8394,2,14,19561879
N4,0.5,0.8267,2,15,19561880
N4,0.5,0.8062,2,13,19561881
N4,0.5,0.8354,2,16,19561882
N4,0.5,0.8906,2,12,19561883
N4,0.5,0.895,2,10,19561884
N4,0.25,0.7788,4,14,19561885
N4,0.5,0.791,2,16,19561886
N4,0.5,0.8521,2,15,19561887
N4,1.0,0.8691,1,11,19561888
N4,0.5,0.8384,2,14,19561889
N4,1.0,0.8838,1,10,19561890
N4,0.5,0.8135,2,13,19561891
N4,0.5,0.7949,2,17,19561892
N4,0.5,0.8486,2,13,19561893
N4,0.5,0.7827,2,13,19561894
N4,0.5,0.8281,2,21,19561895
N4,0.5,0.8809,2,10,19561896
N4,1.0,0.8936,1,8,19561897
N4,0.5,0.7192,2,22,19561898
N4,0.25,0.8193,4,13,19561899
N4,0.5,0.835,2,17,19561900
N4,0.5,0.8438,2,18,19561901
N4,1.0,0.873,1,11,19561902
N4,0.25,0.7632,4,21,19561903
N4,0.5,0.8906,2,13,19561904
