edge probability,stability,morality,cycle length,generation count,seed
0.008,1.0,0.996,1,6,19561889
0.008,1.0,0.948,1,6,19561890
0.008,1.0,0.957,1,12,19561891
0.008,1.0,0.924,1,7,19561892
0.008,1.0,0.959,1,11,19561893
0.008,1.0,0.948,1,8,19561894
0.008,1.0,0.938,1,8,19561895
0.008,1.0,0.931,1,10,19561896
0.008,1.0,0.973,1,8,19561897
0.008,1.0,0.933,1,7,19561898
0.008,1.0,0.956,1,8,19561899
0.008,1.0,0.957,1,6,19561900
0.008,1.0,0.962,1,6,19561901
0.008,1.0,0.949,1,10,19561902
0.008,1.0,0.984,1,8,19561903
0.008,1.0,1.0,1,9,19561904
0.008,1.0,0.882,1,7,19561905
0.008,1.0,0.988,1,7,19561906
0.008,1.0,0.951,1,8,19561907
0.008,1.0,0.89,1,9,19561908
0.008,1.0,0.995,1,6,19561909
0.008,1.0,0.868,1,8,19561910
0.008,1.0,0.991,1,7,19561911
0.008,1.0,0.993,1,8,19561912
0.008,1.0,0.954,1,9,19561913
0.008,1.0,0.929,1,7,19561914
0.008,1.0,0.978,1,9,19561915
0.008,1.0,0.944,1,9,19561916
0.008,1.0,0.921,1,8,19561917
0.008,1.0,0.965,1,8,19561918
0.008,1.0,0.958,1,10,19561919
0.008,1.0,0.979,1,6,19561920
0.008,1.0,0.969,1,9,19561921
0.008,1.0,0.99,1,7,19561922
0.008,1.0,0.965,1,8,19561923
0.008,1.0,0.968,1,7,19561924
0.008,1.0,0.902,1,13,19561925
0.008,1.0,0.955,1,9,19561926
0.008,1.0,0.941,1,9,19561927
0.008,1.0,0.945,1,6,19561928
0.008,1.0,0.972,1,10,19561929
0.008,1.0,0.931,1,8,19561930
0.012,1.0,0.941,1,6,19561831
0.012,1.0,0.968,1,7,19561832
0.012,1.0,1.0,1,7,19561833
0.012,1.0,0.97,1,8,19561834
0.012,1.0,1.0,1,12,19561835
0.012,1.0,1.0,1,8,19561836
0.012,1.0,0.983,1,6,19561837
0.012,1.0,0.978,1,7,19561838
0.012,1.0,1.0,1,8,19561839
0.012,1.0,0.986,1,7,19561840
0.012,1.0,0.98,1,7,19561841
0.012,1.0,1.0,1,7,19561842
0.012,1.0,0.955,1,11,19561843
0.012,1.0,0.98,1,6,19561844
0.012,1.0,0.971,1,6,19561845
0.012,1.0,0.996,1,6,19561846
0.012,1.0,0.992,1,9,19561847
0.012,1.0,0.956,1,7,19561848
0.012,1.0,0.966,1,8,19561849
0.012,1.0,0.987,1,9,19561850
0.012,1.0,0.983,1,9,19561851
0.012,1.0,0.979,1,8,19561852
0.012,1.0,0.986,1,7,19561853
0.012,1.0,0.974,1,9,19561854
0.012,1.0,1.0,1,7,19561855
0.012,1.0,1.0,1,6,19561856
0.012,1.0,1.0,1,11,19561857
0.012,1.0,0.954,1,6,19561858
0.012,1.0,0.937,1,8,19561859
0.012,1.0,0.906,1,7,19561860
0.012,1.0,0.973,1,9,19561861
0.012,1.0,0.977,1,9,19561862
0.012,1.0,0.992,1,5,19561863
0.012,1.0,0.976,1,6,19561864
0.012,1.0,0.937,1,8,19561865
0.012,1.0,0.978,1,7,19561866
0.012,1.0,0.975,1,6,19561867
0.012,1.0,1.0,1,9,19561868
0.012,1.0,0.989,1,6,19561869
0.012,1.0,1.0,1,6,19561870
0.012,1.0,0.965,1,10,19561871
0.012,1.0,0.973,1,7,19561872
0.012,1.0,0.989,1,5,19561873
0.012,1.0,1.0,1,7,19561874
0.012,1.0,0.961,1,8,19561875
0.012,1.0,1.0,1,6,19561876
0.012,1.0,0.968,1,7,19561877
0.012,1.0,0.973,1,7,19561878
0.012,1.0,0.949,1,13,19561879
0.012,1.0,1.0,1,6,19561880
0.012,1.0,0.913,1,8,19561881
0.012,1.0,0.969,1,7,19561882
0.012,1.0,0.956,1,8,19561883
0.012,1.0,0.982,1,6,19561884
0.012,1.0,0.961,1,6,19561885
0.012,1.0,0.984,1,6,19561886
0.012,1.0,0.999,1,8,19561887
0.012,1.0,0.923,1,9,19561888
0.012,1.0,1.0,1,6,19561889
0.012,1.0,1.0,1,6,19561890
0.012,1.0,1.0,1,7,19561891
0.012,1.0,0.989,1,8,19561892
0.012,1.0,1.0,1,6,19561893
0.012,1.0,0.893,1,10,19561894
0.012,1.0,1.0,1,6,19561895
0.012,1.0,0.959,1,7,19561896
0.012,1.0,0.964,1,6,19561897
0.012,1.0,0.945,1,6,19561898
0.012,1.0,0.982,1,6,19561899
0.012,1.0,0.981,1,8,19561900
0.012,1.0,0.938,1,9,19561901
0.012,1.0,0.964,1,7,19561902
0.012,1.0,1.0,1,7,19561903
0.012,1.0,0.983,1,8,19561904
0.012,1.0,0.989,1,7,19561905
0.012,1.0,0.982,1,7,19561906
0.012,1.0,0.993,1,8,19561907
0.012,1.0,0.952,1,9,19561908
0.012,1.0,0.979,1,5,19561909
0.012,1.0,0.957,1,6,19561910
0.012,1.0,0.995,1,6,19561911
0.012,1.0,0.979,1,7,19561912
0.012,1.0,0.988,1,11,19561913
0.012,1.0,0.953,1,8,19561914
0.012,1.0,0.998,1,7,19561915
0.012,1.0,0.964,1,7,19561916
0.012,1.0,0.979,1,6,19561917
0.012,1.0,0.981,1,7,19561918
0.012,1.0,0.98,1,5,19561919
0.012,1.0,0.972,1,11,19561920
0.012,1.0,0.991,1,10,19561921
0.012,1.0,0.974,1,6,19561922
0.012,1.0,0.994,1,8,19561923
0.012,1.0,0.977,1,27,19561924
0.012,1.0,1.0,1,7,19561925
0.012,1.0,0.994,1,7,19561926
0.012,1.0,0.961,1,10,19561927
0.012,1.0,0.984,1,8,19561928
0.012,1.0,0.992,1,7,19561929
0.012,1.0,0.971,1,9,19561930
