beta,stability,morality,cycle length,generation count,seed
0.07,1.0,0.0,1,3,19561889
0.07,1.0,0.009,1,4,19561890
0.07,1.0,0.01,1,5,19561891
0.07,1.0,0.007,1,3,19561892
0.07,1.0,0.005,1,5,19561893
0.07,1.0,0.006,1,4,19561894
0.07,1.0,0.0,1,4,19561895
0.07,1.0,0.0,1,4,19561896
0.07,1.0,0.022,1,4,19561897
0.07,1.0,0.0,1,5,19561898
0.07,1.0,0.0,1,4,19561899
0.07,1.0,0.0,1,6,19561900
0.07,1.0,0.013,1,5,19561901
0.07,1.0,0.0,1,5,19561902
0.07,1.0,0.0,1,4,19561903
0.07,1.0,0.0,1,5,19561904
0.07,1.0,0.0,1,3,19561905
0.07,1.0,0.0,1,5,19561906
0.07,1.0,0.0,1,3,19561907
0.07,1.0,0.013,1,4,19561908
0.07,1.0,0.0,1,3,19561909
0.07,1.0,0.0,1,4,19561910
0.07,1.0,0.0,1,3,19561911
0.07,1.0,0.006,1,3,19561912
0.07,1.0,0.006,1,5,19561913
0.07,1.0,0.015,1,4,19561914
0.07,1.0,0.012,1,5,19561915
0.07,1.0,0.0,1,4,19561916
0.07,1.0,0.011,1,6,19561917
0.07,1.0,0.0,1,5,19561918
0.07,1.0,0.0,1,5,19561919
0.07,1.0,0.006,1,5,19561920
0.07,0.5,0.006,2,5,19561921
0.07,1.0,0.005,1,5,19561922
0.07,1.0,0.026,1,5,19561923
0.07,1.0,0.007,1,4,19561924
0.07,1.0,0.008,1,6,19561925
0.07,1.0,0.006,1,4,19561926
0.07,1.0,0.0,1,4,19561927
0.07,1.0,0.0,1,3,19561928
0.07,1.0,0.0,1,3,19561929
0.07,1.0,0.0,1,4,19561930
0.125,1.0,0.0,1,4,19561831
0.125,1.0,0.015,1,4,19561832
0.125,1.0,0.0,1,4,19561833
0.125,1.0,0.0,1,3,19561834
0.125,1.0,0.024,1,5,19561835
0.125,1.0,0.006,1,5,19561836
0.125,1.0,0.005,1,5,19561837
0.125,1.0,0.014,1,6,19561838
0.125,1.0,0.008,1,4,19561839
0.125,1.0,0.008,1,5,19561840
0.125,1.0,0.019,1,5,19561841
0.125,1.0,0.008,1,5,19561842
0.125,1.0,0.0,1,4,19561843
0.125,1.0,0.006,1,5,19561844
0.125,1.0,0.0,1,4,19561845
0.125,1.0,0.0,1,4,19561846
0.125,1.0,0.0,1,4,19561847
0.125,1.0,0.0,1,4,19561848
0.125,1.0,0.03,1,3,19561849
0.125,1.0,0.0,1,3,19561850
0.125,1.0,0.0,1,5,19561851
0.125,1.0,0.013,1,6,19561852
0.125,1.0,0.0,1,4,19561853
0.125,1.0,0.011,1,6,19561854
0.125,1.0,0.041,1,5,19561855
0.125,1.0,0.007,1,5,19561856
0.125,1.0,0.0,1,4,19561857
0.125,1.0,0.022,1,5,19561858
0.125,1.0,0.024,1,4,19561859
0.125,1.0,0.008,1,4,19561860
0.125,1.0,0.0,1,4,19561861
0.125,1.0,0.0,1,5,19561862
0.125,1.0,0.007,1,4,19561863
0.125,1.0,0.007,1,4,19561864
0.125,1.0,0.0,1,4,19561865
0.125,1.0,0.007,1,4,19561866
