defection incentive,stability,morality,cycle length,generation count,seed
0.2,0.5,0.027,2,5,19561927
0.2,1.0,0.061,1,4,19561928
0.2,1.0,0.08,1,5,19561929
0.2,1.0,0.137,1,5,19561930
1.0,1.0,0.0,1,4,19561831
1.0,1.0,0.006,1,4,19561832
1.0,1.0,0.007,1,4,19561833
1.0,1.0,0.008,1,3,19561834
1.0,0.5,0.039,2,6,19561835
1.0,1.0,0.019,1,5,19561836
1.0,1.0,0.012,1,4,19561837
1.0,1.0,0.014,1,5,19561838
1.0,1.0,0.005,1,6,19561839
1.0,1.0,0.0,1,4,19561840
1.0,1.0,0.005,1,6,19561841
1.0,1.0,0.014,1,4,19561842
1.0,1.0,0.016,1,3,19561843
1.0,1.0,0.048,1,5,19561844
1.0,1.0,0.0,1,4,19561845
1.0,1.0,0.0,1,3,19561846
1.0,1.0,0.0,1,4,19561847
1.0,1.0,0.007,1,4,19561848
1.0,1.0,0.009,1,4,19561849
1.0,1.0,0.0,1,3,19561850
1.0,1.0,0.0,1,5,19561851
1.0,1.0,0.007,1,6,19561852
1.0,1.0,0.006,1,5,19561853
1.0,1.0,0.027,1,4,19561854
1.0,1.0,0.007,1,4,19561855
1.0,1.0,0.0,1,3,19561856
1.0,1.0,0.0,1,3,19561857
1.0,1.0,0.023,1,4,19561858
1.0,1.0,0.015,1,5,19561859
1.0,1.0,0.013,1,5,19561860
1.0,1.0,0.008,1,4,19561861
1.0,1.0,0.015,1,5,19561862
1.0,1.0,0.0,1,4,19561863
1.0,1.0,0.012,1,5,19561864
1.0,1.0,0.0,1,4,19561865
1.0,1.0,0.012,1,3,19561866
1.0,1.0,0.031,1,5,19561867
1.0,1.0,0.006,1,5,19561868
1.0,1.0,0.013,1,4,19561869
1.0,1.0,0.0,1,5,19561870
1.0,1.0,0.0,1,4,19561871
1.0,1.0,0.01,1,4,19561872
1.0,1.0,0.0,1,3,19561873
1.0,1.0,0.026,1,4,19561874
1.0,1.0,0.027,1,5,19561875
1.0,1.0,0.009,1,5,19561876
1.0,1.0,0.0,1,4,19561877
1.0,1.0,0.014,1,6,19561878
