neighborhood,stability,morality,cycle length,generation count,seed
N4,1.0,0.127,1,12,19561831
N4,0.5,0.2539,2,15,19561832
N4,0.5,0.0669,2,13,19561833
N4,1.0,0.0605,1,11,19561834
N4,0.5,0.0801,2,18,19561835
N4,1.0,0.2217,1,18,19561836
N4,0.5,0.0439,2,15,19561837
N4,0.5,0.2178,2,16,19561838
N4,1.0,0.1416,1,16,19561839
N4,0.5,0.3345,2,19,19561840
N4,1.0,0.0869,1,13,19561841
N4,1.0,0.1973,1,13,19561842
N4,0.5,0.0391,2,11,19561843
N4,0.25,0.1055,4,17,19561844
N4,1.0,0.2129,1,12,19561845
N4,0.5,0.1338,2,17,19561846
N4,1.0,0.0947,1,10,19561847
N4,1.0,0.1299,1,10,19561848
N4,1.0,0.1182,1,12,19561849
N4,1.0,0.1777,1,21,19561850
N4,1.0,0.0566,1,9,19561851
N4,0.5,0.043,2,11,19561852
N4,1.0,0.1904,1,16,19561853
N4,0.25,0.0415,4,16,19561854
N4,1.0,0.2588,1,15,19561855
N4,1.0,0.1152,1,12,19561856
N4,1.0,0.1914,1,13,19561857
N4,0.5,0.1445,2,15,19561858
N4,0.5,0.0605,2,11,19561859
N4,1.0,0.1016,1,14,19561860
N4,0.5,0.4702,2,13,19561861
N4,0.5,0.3105,2,20,19561862
N4,0.5,0.0889,2,14,19561863
N4,1.0,0.0674,1,12,19561864
N4,0.5,0.0654,2,13,19561865
N4,1.0,0.1006,1,12,19561866
N4,0.5,0.0728,2,17,19561867
N4,1.0,0.0557,1,9,19561868
N4,0.5,0.124,2,12,19561869
N4,1.0,0.1934,1,12,19561870
N4,0.5,0.0137,2,11,19561871
N4,1.0,0.1689,1,15,19561872
N4,0.5,0.1841,2,16,19561873
N4,1.0,0.1318,1,17,19561874
N4,1.0,0.1162,1,18,19561875
N4,0.5,0.1704,2,14,19561876
N4,0.5,0.0962,2,12,19561877
N4,0.5,0.0503,2,14,19561878
N4,1.0,0.123,1,11,19561879
N4,1.0,0.0752,1,12,19561880
N4,1.0,0.1826,1,18,19561881
N4,0.5,0.1411,2,10,19561882
N4,1.0,0.0781,1,10,19561883
N4,0.5,0.1948,2,18,19561884
N4,0.5,0.0815,2,15,19561885
N4,0.5,0.1152,2,17,19561886
N4,0.5,0.2705,2,15,19561887
N4,1.0,0.0859,1,10,19561888
N4,1.0,0.0811,1,11,19561889
N4,1.0,0.2451,1,10,19561890
N4,1.0,0.2803,1,13,19561891
N4,0.5,0.1289,2,13,19561892
N4,0.5,0.1807,2,12,19561893
N4,1.0,0.1035,1,16,19561894
N4,0.5,0.1025,2,11,19561895
N4,0.5,0.124,2,11,19561896
N4,1.0,0.0967,1,18,19561897
N4,1.0,0.0352,1,12,19561898
N4,1.0,0.1631,1,12,19561899
N4,0.5,0.2573,2,17,19561900
N4,1.0,0.2529,1,15,19561901
N4,1.0,0.1279,1,11,19561902
N4,1.0,0.2451,1,12,19561903
N4,0.5,0.0293,2,17,19561904
N4,1.0,0.0596,1,15,19561905
N4,0.5,0.2065,2,13,19561906
N4,1.0,0.1357,1,13,19561907
N4,1.0,0.1934,1,11,19561908
N4,0.5,0.2124,2,15,19561909
N4,1.0,0.0469,1,11,19561910
N4,1.0,0.0508,1,14,19561911
N4,0.5,0.0469,2,14,19561912
N4,1.0,0.0508,1,12,19561913
N4,1.0,0.1885,1,11,19561914
N4,0.5,0.2266,2,12,19561915
N4,1.0,0.1094,1,11,19561916
N4,1.0,0.0596,1,10,19561917
N4,0.5,0.1255,2,13,19561918
N4,1.0,0.1807,1,13,19561919
N4,0.5,0.0308,2,13,19561920
N4,0.5,0.0615,2,12,19561921
N4,0.5,0.1445,2,16,19561922
N4,0.5,0.0293,2,14,19561923
N4,1.0,0.0625,1,11,19561924
N4,1.0,0.0635,1,10,19561925
N4,0.5,0.0845,2,15,19561926
N4,1.0,0.0918,1,16,19561927
N4,1.0,0.0322,1,11,19561928
N4,1.0,0.0518,1,12,19561929
N4,1.0,0.0898,1,10,19561930
N12,1.0,0.0,1,8,19561831
N12,1.0,0.0498,1,8,19561832
N12,1.0,0.0,1,8,19561833
N12,1.0,0.0244,1,8,19561834
N12,0.5,0.0088,2,9,19561835
N12,1.0,0.0,1,10,19561836
N12,0.5,0.0273,2,15,19561837
N12,0.5,0.0,2,10,19561838
N12,1.0,0.0088,1,9,19561839
N12,1.0,0.0098,1,9,19561840
N12,1.0,0.0,1,9,19561841
N12,1.0,0.0117,1,10,19561842
N12,1.0,0.0352,1,8,19561843
N12,1.0,0.0,1,12,19561844
N12,1.0,0.0,1,10,19561845
N12,1.0,0.0176,1,12,19561846
N12,1.0,0.0,1,8,19561847
N12,1.0,0.0,1,8,19561848
N12,1.0,0.0391,1,10,19561849
N12,1.0,0.0,1,9,19561850
N12,1.0,0.0,1,11,19561851
N12,1.0,0.0,1,11,19561852
N12,1.0,0.0107,1,7,19561853
N12,1.0,0.0107,1,7,19561854
N12,1.0,0.0273,1,9,19561855
N12,1.0,0.04,1,11,19561856
N12,1.0,0.0,1,11,19561857
N12,1.0,0.0283,1,9,19561858
N12,0.5,0.0117,2,10,19561859
N12,0.5,0.0,2,9,19561860
N12,1.0,0.0,1,9,19561861
N12,1.0,0.0684,1,12,19561862
N12,1.0,0.0459,1,13,19561863
N12,0.5,0.0117,2,11,19561864
N12,1.0,0.0,1,6,19561865
N12,1.0,0.0107,1,7,19561866
N12,1.0,0.0088,1,14,19561867
N12,1.0,0.0,1,6,19561868
N12,0.5,0.0,2,11,19561869
N12,1.0,0.0,1,9,19561870
N12,0.5,0.0,2,10,19561871
N12,1.0,0.0,1,8,19561872
N12,1.0,0.0283,1,10,19561873
N12,0.5,0.0,2,9,19561874
N12,0.5,0.0166,2,9,19561875
N12,0.5,0.0205,2,9,19561876
N12,1.0,0.0391,1,9,19561877
N12,1.0,0.0,1,10,19561878
N12,1.0,0.0,1,9,19561879
N12,1.0,0.0127,1,8,19561880
N12,1.0,0.04,1,10,19561881
N12,1.0,0.0,1,7,19561882
N12,1.0,0.0,1,8,19561883
N12,1.0,0.0127,1,10,19561884
N12,1.0,0.0107,1,10,19561885
N12,1.0,0.0,1,8,19561886
N12,1.0,0.0,1,7,19561887
N12,1.0,0.0,1,10,19561888
N12,1.0,0.0107,1,10,19561889
N12,0.5,0.0352,2,10,19561890
N12,1.0,0.0,1,9,19561891
N12,1.0,0.0205,1,10,19561892
N12,1.0,0.0078,1,10,19561893
N12,0.5,0.0,2,11,19561894
N12,1.0,0.0195,1,8,19561895
N12,1.0,0.0,1,8,19561896
N12,0.5,0.0293,2,12,19561897
N12,1.0,0.0,1,8,19561898
N12,0.5,0.0137,2,11,19561899
N12,1.0,0.0293,1,9,19561900
N12,1.0,0.0332,1,11,19561901
N12,1.0,0.0,1,8,19561902
N12,1.0,0.0225,1,8,19561903
N12,1.0,0.0322,1,9,19561904
N12,1.0,0.0,1,11,19561905
N12,1.0,0.0371,1,8,19561906
N12,1.0,0.0117,1,9,19561907
N12,1.0,0.0,1,9,19561908
N12,1.0,0.0,1,10,19561909
N12,1.0,0.0107,1,10,19561910
N12,1.0,0.0381,1,9,19561911
N12,1.0,0.0234,1,11,19561912
N12,1.0,0.0117,1,8,19561913
N12,1.0,0.0186,1,8,19561914
N12,1.0,0.0,1,8,19561915
N12,0.5,0.0098,2,12,19561916
N12,1.0,0.0342,1,8,19561917
N12,1.0,0.0,1,9,19561918
N12,0.5,0.0,2,8,19561919
N12,0.5,0.0303,2,12,19561920
N12,1.0,0.0566,1,10,19561921
N12,1.0,0.0098,1,9,19561922
N12,1.0,0.0,1,8,19561923
N12,1.0,0.0,1,9,19561924
N12,0.5,0.0,2,8,19561925
N12,0.5,0.0,2,9,19561926
N12,1.0,0.041,1,9,19561927
N12,0.5,0.0117,2,10,19561928
N12,1.0,0.0107,1,8,19561929
N12,1.0,0.0,1,7,19561930
N24,1.0,0.0,1,7,19561831
N24,1.0,0.0264,1,8,19561832
N24,1.0,0.0,1,6,19561833
N24,1.0,0.0,1,7,19561834
N24,1.0,0.0,1,8,19561835
N24,1.0,0.0,1,8,19561836
N24,1.0,0.0,1,8,19561837
N24,1.0,0.0,1,9,19561838
N24,1.0,0.0,1,6,19561839
N24,1.0,0.0,1,6,19561840
N24,1.0,0.0,1,7,19561841
N24,1.0,0.0,1,6,19561842
N24,1.0,0.0,1,5,19561843
N24,1.0,0.0,1,6,19561844
N24,0.5,0.0298,2,8,19561845
N24,1.0,0.0,1,5,19561846
N24,1.0,0.0,1,6,19561847
N24,1.0,0.0,1,6,19561848
N24,1.0,0.0,1,7,19561849
N24,1.0,0.0,1,5,19561850
N24,1.0,0.0,1,8,19561851
N24,1.0,0.0,1,7,19561852
N24,1.0,0.0156,1,5,19561853
N24,1.0,0.0,1,7,19561854
N24,0.5,0.0,2,8,19561855
N24,0.5,0.0,2,7,19561856
N24,1.0,0.0,1,6,19561857
N24,1.0,0.0166,1,6,19561858
N24,1.0,0.0,1,8,19561859
N24,1.0,0.0,1,9,19561860
N24,1.0,0.0,1,5,19561861
N24,1.0,0.0,1,6,19561862
N24,1.0,0.0,1,6,19561863
N24,0.5,0.04,2,8,19561864
N24,1.0,0.0,1,7,19561865
N24,1.0,0.0,1,9,19561866
N24,1.0,0.0,1,7,19561867
N24,1.0,0.0,1,7,19561868
N24,1.0,0.0,1,7,19561869
N24,1.0,0.0,1,6,19561870
N24,1.0,0.0156,1,7,19561871
N24,0.5,0.0,2,7,19561872
N24,1.0,0.0,1,7,19561873
N24,1.0,0.0,1,5,19561874
N24,1.0,0.0,1,7,19561875
N24,1.0,0.0,1,9,19561876
N24,1.0,0.0,1,6,19561877
N24,1.0,0.0,1,6,19561878
N24,1.0,0.0,1,5,19561879
N24,1.0,0.0156,1,6,19561880
N24,1.0,0.0146,1,7,19561881
N24,1.0,0.0,1,7,19561882
N24,1.0,0.0,1,7,19561883
N24,1.0,0.0,1,6,19561884
N24,1.0,0.0166,1,8,19561885
N24,1.0,0.0,1,6,19561886
N24,1.0,0.0,1,6,19561887
N24,1.0,0.0,1,6,19561888
N24,1.0,0.0,1,7,19561889
N24,1.0,0.0,1,6,19561890
N24,1.0,0.0,1,5,19561891
N24,1.0,0.0,1,5,19561892
N24,1.0,0.0,1,7,19561893
N24,1.0,0.0166,1,9,19561894
