initial moral mean,stability,morality,cycle length,generation count,seed
0.5,1.0,0.0098,1,11,19561867
0.5,0.5,0.0,2,10,19561868
0.5,0.5,0.0,2,10,19561869
0.5,0.5,0.0,2,10,19561870
0.5,0.5,0.0,2,9,19561871
0.5,1.0,0.0,1,10,19561872
0.5,1.0,0.0811,1,9,19561873
0.5,1.0,0.0,1,8,19561874
0.5,1.0,0.0098,1,7,19561875
0.5,0.5,0.0225,2,9,19561876
0.5,1.0,0.082,1,13,19561877
0.5,1.0,0.0352,1,7,19561878
0.5,1.0,0.0928,1,10,19561879
0.5,1.0,0.0127,1,7,19561880
0.5,1.0,0.0859,1,9,19561881
0.5,1.0,0.0,1,8,19561882
0.5,0.5,0.0117,2,11,19561883
0.5,1.0,0.0254,1,10,19561884
0.5,1.0,0.0244,1,10,19561885
0.5,1.0,0.0186,1,8,19561886
0.5,1.0,0.1221,1,10,19561887
0.5,1.0,0.1221,1,13,19561888
0.5,1.0,0.0,1,13,19561889
0.5,0.5,0.0234,2,9,19561890
0.5,1.0,0.0195,1,7,19561891
0.5,1.0,0.041,1,10,19561892
0.5,1.0,0.0098,1,9,19561893
0.5,1.0,0.0,1,7,19561894
0.5,1.0,0.0,1,8,19561895
0.5,1.0,0.0,1,10,19561896
0.5,0.5,0.0186,2,11,19561897
0.5,1.0,0.0342,1,9,19561898
0.5,1.0,0.0098,1,8,19561899
0.5,1.0,0.0156,1,12,19561900
0.5,1.0,0.0,1,8,19561901
0.5,1.0,0.0,1,9,19561902
0.5,0.5,0.0,2,10,19561903
0.5,1.0,0.0,1,8,19561904
0.5,1.0,0.0,1,8,19561905
0.5,0.5,0.0547,2,12,19561906
0.5,1.0,0.0,1,8,19561907
0.5,1.0,0.0,1,9,19561908
0.5,0.25,0.0,4,10,19561909
0.5,1.0,0.0,1,9,19561910
0.5,1.0,0.0566,1,14,19561911
0.5,1.0,0.0586,1,12,19561912
0.5,1.0,0.0,1,9,19561913
0.5,1.0,0.0293,1,8,19561914
0.5,1.0,0.0,1,10,19561915
0.5,1.0,0.0117,1,9,19561916
0.5,0.5,0.0088,2,9,19561917
0.5,1.0,0.0,1,10,19561918
0.5,1.0,0.0,1,7,19561919
0.5,0.5,0.0869,2,10,19561920
0.5,0.5,0.0107,2,11,19561921
0.5,1.0,0.0107,1,9,19561922
0.5,1.0,0.0117,1,10,19561923
0.5,1.0,0.0098,1,9,19561924
0.5,0.5,0.0088,2,10,19561925
0.5,1.0,0.0117,1,8,19561926
0.5,1.0,0.0186,1,7,19561927
0.5,1.0,0.0,1,8,19561928
0.5,1.0,0.0225,1,9,19561929
0.5,1.0,0.0,1,7,19561930
0.75,1.0,0.041,1,11,19561831
0.75,1.0,0.042,1,9,19561832
0.75,1.0,0.0,1,13,19561833
0.75,1.0,0.0361,1,13,19561834
0.75,0.5,0.0322,2,10,19561835
0.75,1.0,0.0127,1,13,19561836
0.75,1.0,0.2266,1,10,19561837
0.75,1.0,0.0117,1,10,19561838
0.75,1.0,0.0381,1,10,19561839
0.75,1.0,0.0645,1,16,19561840
0.75,1.0,0.0537,1,10,19561841
0.75,1.0,0.0205,1,11,19561842
0.75,1.0,0.0107,1,10,19561843
0.75,1.0,0.0371,1,11,19561844
0.75,1.0,0.0,1,14,19561845
0.75,1.0,0.2461,1,12,19561846
0.75,0.5,0.0117,2,11,19561847
0.75,1.0,0.0352,1,8,19561848
0.75,0.5,0.0605,2,15,19561849
0.75,1.0,0.0244,1,10,19561850
0.75,0.5,0.0215,2,8,19561851
0.75,1.0,0.0,1,11,19561852
0.75,1.0,0.0957,1,9,19561853
0.75,1.0,0.04,1,7,19561854
0.75,1.0,0.0,1,8,19561855
0.75,1.0,0.042,1,12,19561856
0.75,1.0,0.04,1,8,19561857
0.75,1.0,0.0,1,8,19561858
0.75,1.0,0.0195,1,9,19561859
0.75,1.0,0.0117,1,10,19561860
0.75,1.0,0.0088,1,9,19561861
0.75,1.0,0.043,1,10,19561862
0.75,1.0,0.1338,1,10,19561863
0.75,0.5,0.0117,2,9,19561864
0.75,1.0,0.0,1,7,19561865
0.75,1.0,0.0215,1,8,19561866
0.75,1.0,0.0449,1,9,19561867
0.75,1.0,0.0342,1,9,19561868
0.75,1.0,0.0723,1,12,19561869
0.75,1.0,0.0293,1,8,19561870
0.75,1.0,0.0391,1,9,19561871
