mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.0032,0,1000,19561885
0,0.001,0.003,0,1000,19561886
0,0.001,0.01,0,1000,19561887
0,0.001,0.0033,0,1000,19561888
0,0.001,0.0032,0,1000,19561889
0,0.001,0.0046,0,1000,19561890
0,0.001,0.0055,0,1000,19561891
0,0.001,0.0035,0,1000,19561892
0,0.001,0.0031,0,1000,19561893
0,0.001,0.0031,0,1000,19561894
0,0.001,0.003,0,1000,19561895
0,0.001,0.0029,0,1000,19561896
0,0.001,0.0035,0,1000,19561897
0,0.001,0.003,0,1000,19561898
0,0.001,0.0045,0,1000,19561899
0,0.001,0.0066,0,1000,19561900
0,0.001,0.0055,0,1000,19561901
0,0.001,0.0035,0,1000,19561902
0,0.001,0.0032,0,1000,19561903
0,0.001,0.0039,0,1000,19561904
0,0.001,0.0031,0,1000,19561905
0,0.001,0.0065,0,1000,19561906
0,0.001,0.003,0,1000,19561907
0,0.001,0.0033,0,1000,19561908
0,0.001,0.003,0,1000,19561909
0,0.001,0.0033,0,1000,19561910
0,0.001,0.006,0,1000,19561911
0,0.001,0.004,0,1000,19561912
0,0.001,0.0042,0,1000,19561913
0,0.001,0.0047,0,1000,19561914
0,0.001,0.0029,0,1000,19561915
0,0.001,0.004,0,1000,19561916
0,0.001,0.0077,0,1000,19561917
0,0.001,0.003,0,1000,19561918
0,0.001,0.0031,0,1000,19561919
0,0.001,0.0149,0,1000,19561920
0,0.001,0.0044,0,1000,19561921
0,0.001,0.0032,0,1000,19561922
0,0.001,0.0043,0,1000,19561923
0,0.001,0.0047,0,1000,19561924
0,0.001,0.0031,0,1000,19561925
0,0.001,0.0055,0,1000,19561926
0,0.001,0.0034,0,1000,19561927
0,0.001,0.0031,0,1000,19561928
0,0.001,0.0033,0,1000,19561929
0,0.001,0.0031,0,1000,19561930
1,0.001,0.0416,0,1000,19561831
1,0.001,0.0401,0,1000,19561832
1,0.001,0.0387,0,1000,19561833
1,0.001,0.0415,0,1000,19561834
1,0.001,0.0409,0,1000,19561835
1,0.001,0.0392,0,1000,19561836
1,0.001,0.04,0,1000,19561837
1,0.001,0.0408,0,1000,19561838
1,0.001,0.0413,0,1000,19561839
1,0.001,0.0426,0,1000,19561840
1,0.001,0.0399,0,1000,19561841
1,0.001,0.0406,0,1000,19561842
1,0.001,0.0433,0,1000,19561843
1,0.001,0.0414,0,1000,19561844
1,0.001,0.0404,0,1000,19561845
1,0.001,0.042,0,1000,19561846
1,0.001,0.0386,0,1000,19561847
1,0.001,0.0414,0,1000,19561848
1,0.001,0.0425,0,1000,19561849
1,0.001,0.0408,0,1000,19561850
1,0.001,0.0411,0,1000,19561851
1,0.001,0.0396,0,1000,19561852
1,0.001,0.0399,0,1000,19561853
1,0.001,0.0397,0,1000,19561854
1,0.001,0.0423,0,1000,19561855
1,0.001,0.0435,0,1000,19561856
1,0.001,0.0405,0,1000,19561857
1,0.001,0.0393,0,1000,19561858
1,0.001,0.0393,0,1000,19561859
1,0.001,0.0419,0,1000,19561860
1,0.001,0.0412,0,1000,19561861
1,0.001,0.0403,0,1000,19561862
1,0.001,0.0435,0,1000,19561863
1,0.001,0.0393,0,1000,19561864
1,0.001,0.0389,0,1000,19561865
1,0.001,0.0404,0,1000,19561866
1,0.001,0.0401,0,1000,19561867
1,0.001,0.0411,0,1000,19561868
1,0.001,0.0407,0,1000,19561869
1,0.001,0.0418,0,1000,19561870
1,0.001,0.0389,0,1000,19561871
1,0.001,0.0383,0,1000,19561872
1,0.001,0.0418,0,1000,19561873
1,0.001,0.0409,0,1000,19561874
1,0.001,0.0399,0,1000,19561875
1,0.001,0.0409,0,1000,19561876
1,0.001,0.0408,0,1000,19561877
1,0.001,0.0413,0,1000,19561878
1,0.001,0.0392,0,1000,19561879
1,0.001,0.0436,0,1000,19561880
1,0.001,0.0405,0,1000,19561881
1,0.001,0.0395,0,1000,19561882
1,0.001,0.0399,0,1000,19561883
1,0.001,0.0398,0,1000,19561884
1,0.001,0.0405,0,1000,19561885
1,0.001,0.0392,0,1000,19561886
1,0.001,0.0401,0,1000,19561887
1,0.001,0.0392,0,1000,19561888
1,0.001,0.0395,0,1000,19561889
1,0.001,0.0418,0,1000,19561890
1,0.001,0.0389,0,1000,19561891
1,0.001,0.0416,0,1000,19561892
1,0.001,0.0408,0,1000,19561893
1,0.001,0.0435,0,1000,19561894
1,0.001,0.0412,0,1000,19561895
1,0.001,0.0398,0,1000,19561896
1,0.001,0.0405,0,1000,19561897
1,0.001,0.0412,0,1000,19561898
1,0.001,0.0398,0,1000,19561899
1,0.001,0.0417,0,1000,19561900
1,0.001,0.0416,0,1000,19561901
1,0.001,0.0415,0,1000,19561902
1,0.001,0.0416,0,1000,19561903
1,0.001,0.0379,0,1000,19561904
1,0.001,0.0416,0,1000,19561905
1,0.001,0.0403,0,1000,19561906
1,0.001,0.0407,0,1000,19561907
1,0.001,0.0393,0,1000,19561908
1,0.001,0.0407,0,1000,19561909
1,0.001,0.0399,0,1000,19561910
1,0.001,0.0423,0,1000,19561911
1,0.001,0.0408,0,1000,19561912
1,0.001,0.0383,0,1000,19561913
1,0.001,0.0427,0,1000,19561914
1,0.001,0.0426,0,1000,19561915
1,0.001,0.0407,0,1000,19561916
1,0.001,0.0409,0,1000,19561917
1,0.001,0.0386,0,1000,19561918
1,0.001,0.0408,0,1000,19561919
1,0.001,0.0415,0,1000,19561920
1,0.001,0.0395,0,1000,19561921
1,0.001,0.0416,0,1000,19561922
1,0.001,0.0402,0,1000,19561923
1,0.001,0.0434,0,1000,19561924
1,0.001,0.042,0,1000,19561925
1,0.001,0.0398,0,1000,19561926
1,0.001,0.0392,0,1000,19561927
1,0.001,0.0401,0,1000,19561928
1,0.001,0.0396,0,1000,19561929
1,0.001,0.0398,0,1000,19561930
2,0.001,0.1718,0,1000,19561831
2,0.001,0.1707,0,1000,19561832
2,0.001,0.1659,0,1000,19561833
2,0.001,0.1636,0,1000,19561834
2,0.001,0.1678,0,1000,19561835
2,0.001,0.1567,0,1000,19561836
2,0.001,0.1641,0,1000,19561837
2,0.001,0.1625,0,1000,19561838
2,0.001,0.1647,0,1000,19561839
2,0.001,0.165,0,1000,19561840
2,0.001,0.1691,0,1000,19561841
2,0.001,0.1691,0,1000,19561842
2,0.001,0.1688,0,1000,19561843
2,0.001,0.1665,0,1000,19561844
2,0.001,0.1669,0,1000,19561845
2,0.001,0.1634,0,1000,19561846
2,0.001,0.1666,0,1000,19561847
2,0.001,0.1649,0,1000,19561848
2,0.001,0.1668,0,1000,19561849
2,0.001,0.1692,0,1000,19561850
2,0.001,0.1651,0,1000,19561851
2,0.001,0.1605,0,1000,19561852
2,0.001,0.16,0,1000,19561853
2,0.001,0.1692,0,1000,19561854
2,0.001,0.1631,0,1000,19561855
2,0.001,0.1669,0,1000,19561856
2,0.001,0.1674,0,1000,19561857
2,0.001,0.1736,0,1000,19561858
2,0.001,0.1589,0,1000,19561859
2,0.001,0.168,0,1000,19561860
2,0.001,0.1691,0,1000,19561861
2,0.001,0.1632,0,1000,19561862
2,0.001,0.1627,0,1000,19561863
2,0.001,0.1615,0,1000,19561864
