learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.0,1,9,19561831
IBest,1.0,0.0576,1,10,19561832
IBest,1.0,0.0,1,9,19561833
IBest,1.0,0.0186,1,9,19561834
IBest,0.5,0.0,2,9,19561835
IBest,1.0,0.0186,1,8,19561836
IBest,1.0,0.1348,1,10,19561837
IBest,1.0,0.0,1,9,19561838
IBest,0.5,0.0,2,9,19561839
IBest,1.0,0.0352,1,9,19561840
IBest,0.5,0.0,2,9,19561841
IBest,0.5,0.0586,2,9,19561842
IBest,0.5,0.0,2,12,19561843
IBest,1.0,0.0215,1,7,19561844
IBest,1.0,0.0,1,8,19561845
IBest,0.5,0.0859,2,16,19561846
IBest,1.0,0.0,1,9,19561847
IBest,1.0,0.0146,1,10,19561848
IBest,1.0,0.1387,1,9,19561849
IBest,1.0,0.0195,1,10,19561850
IBest,1.0,0.0293,1,9,19561851
IBest,1.0,0.0117,1,9,19561852
IBest,1.0,0.0176,1,10,19561853
IBest,1.0,0.0098,1,8,19561854
IBest,1.0,0.0,1,8,19561855
IBest,1.0,0.0439,1,13,19561856
IBest,1.0,0.0,1,9,19561857
IBest,1.0,0.0,1,7,19561858
IBest,1.0,0.0,1,11,19561859
IBest,1.0,0.0166,1,9,19561860
IBest,1.0,0.0,1,9,19561861
IBest,0.5,0.0591,2,11,19561862
IBest,1.0,0.0566,1,11,19561863
IBest,1.0,0.0,1,7,19561864
IBest,1.0,0.0,1,7,19561865
IBest,1.0,0.0,1,7,19561866
IBest,1.0,0.0117,1,10,19561867
IBest,1.0,0.0332,1,8,19561868
IBest,1.0,0.0166,1,8,19561869
IBest,0.5,0.0283,2,9,19561870
IBest,1.0,0.0225,1,7,19561871
IBest,1.0,0.0,1,9,19561872
IBest,1.0,0.0186,1,8,19561873
IBest,1.0,0.0,1,6,19561874
IBest,1.0,0.0,1,10,19561875
IBest,1.0,0.0342,1,10,19561876
IBest,1.0,0.0332,1,10,19561877
IBest,1.0,0.0244,1,8,19561878
IBest,1.0,0.0254,1,9,19561879
IBest,1.0,0.0156,1,8,19561880
IBest,1.0,0.0293,1,10,19561881
IBest,0.5,0.0107,2,11,19561882
IBest,1.0,0.0,1,10,19561883
IBest,0.5,0.0,2,10,19561884
IBest,1.0,0.0,1,9,19561885
IBest,1.0,0.0098,1,10,19561886
IBest,1.0,0.0439,1,18,19561887
IBest,1.0,0.0264,1,12,19561888
IBest,1.0,0.0088,1,10,19561889
IBest,1.0,0.1582,1,11,19561890
IBest,1.0,0.043,1,11,19561891
IBest,1.0,0.0371,1,8,19561892
IBest,1.0,0.0,1,9,19561893
IBest,1.0,0.0,1,9,19561894
IBest,1.0,0.0,1,11,19561895
IBest,1.0,0.0,1,10,19561896
IBest,1.0,0.0654,1,8,19561897
