mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.0,1,10,19561831
0.0,1.0,0.031,1,11,19561832
0.0,1.0,0.008,1,9,19561833
0.0,1.0,0.0,1,11,19561834
0.0,1.0,0.008,1,11,19561835
0.0,1.0,0.0,1,10,19561836
0.0,1.0,0.016,1,9,19561837
0.0,0.5,0.0,2,11,19561838
0.0,1.0,0.0,1,9,19561839
0.0,1.0,0.008,1,11,19561840
0.0,1.0,0.008,1,9,19561841
0.0,1.0,0.006,1,10,19561842
0.0,1.0,0.0,1,8,19561843
0.0,1.0,0.008,1,12,19561844
0.0,1.0,0.008,1,9,19561845
0.0,1.0,0.015,1,12,19561846
0.0,1.0,0.0,1,10,19561847
0.0,0.5,0.079,2,14,19561848
0.0,1.0,0.023,1,10,19561849
0.0,1.0,0.0,1,8,19561850
0.0,1.0,0.0,1,9,19561851
0.0,1.0,0.008,1,11,19561852
0.0,1.0,0.0,1,10,19561853
0.0,1.0,0.0,1,11,19561854
0.0,1.0,0.0,1,9,19561855
0.0,1.0,0.0,1,9,19561856
0.0,1.0,0.008,1,9,19561857
0.0,1.0,0.016,1,14,19561858
0.0,1.0,0.04,1,11,19561859
0.0,1.0,0.016,1,12,19561860
0.0,1.0,0.0,1,9,19561861
0.0,1.0,0.008,1,11,19561862
0.0,1.0,0.0,1,12,19561863
0.0,1.0,0.008,1,9,19561864
0.0,1.0,0.0,1,12,19561865
0.0,1.0,0.0,1,8,19561866
0.0,1.0,0.008,1,9,19561867
0.0,1.0,0.008,1,9,19561868
0.0,1.0,0.008,1,8,19561869
0.0,1.0,0.008,1,12,19561870
0.0,1.0,0.0,1,11,19561871
0.0,1.0,0.023,1,10,19561872
0.0,1.0,0.008,1,10,19561873
0.0,1.0,0.0,1,10,19561874
0.0,1.0,0.016,1,11,19561875
0.0,1.0,0.008,1,10,19561876
0.0,1.0,0.015,1,10,19561877
0.0,1.0,0.0,1,9,19561878
0.0,1.0,0.008,1,10,19561879
0.0,1.0,0.0,1,8,19561880
0.0,1.0,0.015,1,8,19561881
0.0,1.0,0.008,1,10,19561882
0.0,1.0,0.053,1,10,19561883
0.0,1.0,0.008,1,9,19561884
0.0,1.0,0.008,1,11,19561885
0.0,1.0,0.031,1,11,19561886
0.0,1.0,0.0,1,12,19561887
0.0,1.0,0.016,1,11,19561888
0.0,0.5,0.0,2,12,19561889
0.0,1.0,0.0,1,9,19561890
0.0,1.0,0.038,1,12,19561891
0.0,1.0,0.008,1,8,19561892
0.0,1.0,0.016,1,10,19561893
0.0,1.0,0.024,1,10,19561894
0.0,1.0,0.036,1,9,19561895
0.0,1.0,0.0,1,10,19561896
0.0,1.0,0.0,1,10,19561897
0.0,1.0,0.0,1,9,19561898
0.0,1.0,0.0,1,9,19561899
0.0,1.0,0.0,1,10,19561900
0.0,1.0,0.007,1,8,19561901
0.0,1.0,0.0,1,9,19561902
0.0,1.0,0.0,1,9,19561903
0.0,1.0,0.021,1,12,19561904
0.0,1.0,0.048,1,11,19561905
0.0,1.0,0.017,1,12,19561906
0.0,1.0,0.237,1,17,19561907
0.0,1.0,0.016,1,12,19561908
0.0,1.0,0.017,1,12,19561909
0.0,0.5,0.0,2,10,19561910
0.0,1.0,0.008,1,9,19561911
0.0,1.0,0.05,1,10,19561912
0.0,1.0,0.0,1,9,19561913
0.0,1.0,0.008,1,8,19561914
0.0,1.0,0.02,1,13,19561915
0.0,1.0,0.032,1,9,19561916
0.0,1.0,0.0,1,10,19561917
0.0,1.0,0.018,1,9,19561918
0.0,1.0,0.025,1,10,19561919
0.0,1.0,0.034,1,10,19561920
0.0,1.0,0.0,1,9,19561921
0.0,1.0,0.008,1,13,19561922
0.0,1.0,0.0,1,11,19561923
0.0,1.0,0.0,1,10,19561924
0.0,1.0,0.053,1,11,19561925
