learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.058,1,10,19561912
IBest,1.0,0.0,1,8,19561913
IBest,1.0,0.008,1,7,19561914
IBest,1.0,0.023,1,12,19561915
IBest,1.0,0.039,1,11,19561916
IBest,1.0,0.0,1,11,19561917
IBest,1.0,0.027,1,9,19561918
IBest,1.0,0.022,1,9,19561919
IBest,1.0,0.034,1,11,19561920
IBest,1.0,0.0,1,9,19561921
IBest,1.0,0.008,1,13,19561922
IBest,1.0,0.0,1,10,19561923
IBest,1.0,0.008,1,10,19561924
IBest,1.0,0.064,1,12,19561925
IBest,1.0,0.008,1,10,19561926
IBest,1.0,0.008,1,8,19561927
IBest,1.0,0.008,1,8,19561928
IBest,1.0,0.0,1,10,19561929
IBest,1.0,0.023,1,10,19561930
IProb,0.001,0.0002,0,1000,19561831
IProb,0.001,0.0008,0,1000,19561832
IProb,0.001,0.0007,0,1000,19561833
IProb,0.001,0.0008,0,1000,19561834
IProb,0.001,0.0007,0,1000,19561835
IProb,0.001,0.0003,0,1000,19561836
IProb,0.001,0.0013,0,1000,19561837
IProb,0.001,0.0006,0,1000,19561838
IProb,0.001,0.0004,0,1000,19561839
IProb,0.001,0.0004,0,1000,19561840
IProb,0.001,0.0005,0,1000,19561841
IProb,0.001,0.0008,0,1000,19561842
IProb,0.001,0.0003,0,1000,19561843
IProb,0.001,0.0004,0,1000,19561844
IProb,0.001,0.0014,0,1000,19561845
IProb,0.001,0.0004,0,1000,19561846
IProb,0.001,0.0002,0,1000,19561847
IProb,0.001,0.001,0,1000,19561848
IProb,0.001,0.0013,0,1000,19561849
IProb,0.001,0.0003,0,1000,19561850
IProb,0.001,0.0003,0,1000,19561851
IProb,0.001,0.0006,0,1000,19561852
IProb,0.001,0.0003,0,1000,19561853
IProb,0.001,0.0002,0,1000,19561854
IProb,0.001,0.001,0,1000,19561855
IProb,0.001,0.0004,0,1000,19561856
IProb,0.001,0.0005,0,1000,19561857
IProb,0.001,0.0009,0,1000,19561858
IProb,0.001,0.0014,0,1000,19561859
IProb,0.001,0.0007,0,1000,19561860
IProb,0.001,0.0005,0,1000,19561861
IProb,0.001,0.0006,0,1000,19561862
IProb,0.001,0.001,0,1000,19561863
IProb,0.001,0.0009,0,1000,19561864
IProb,0.001,0.0008,0,1000,19561865
IProb,0.001,0.0004,0,1000,19561866
IProb,0.001,0.0006,0,1000,19561867
IProb,0.001,0.0011,0,1000,19561868
IProb,0.001,0.0004,0,1000,19561869
IProb,0.001,0.0003,0,1000,19561870
IProb,0.001,0.0007,0,1000,19561871
IProb,0.001,0.0009,0,1000,19561872
IProb,0.001,0.0011,0,1000,19561873
IProb,0.001,0.0003,0,1000,19561874
IProb,0.001,0.0007,0,1000,19561875
IProb,0.001,0.0012,0,1000,19561876
IProb,0.001,0.001,0,1000,19561877
IProb,0.001,0.0005,0,1000,19561878
IProb,0.001,0.0005,0,1000,19561879
IProb,0.001,0.0004,0,1000,19561880
IProb,0.001,0.0008,0,1000,19561881
IProb,0.001,0.0009,0,1000,19561882
IProb,0.001,0.0014,0,1000,19561883
IProb,0.001,0.0005,0,1000,19561884
IProb,0.001,0.0009,0,1000,19561885
IProb,0.001,0.0009,0,1000,19561886
