population size,stability,morality,cycle length,generation count,seed
1000,0.5,0.262,2,21,19561903
1000,0.5,0.286,2,12,19561904
1000,0.5,0.355,2,21,19561905
1000,0.5,0.43,2,14,19561906
1000,0.5,0.203,2,16,19561907
1000,1.0,0.108,1,11,19561908
1000,0.5,0.273,2,15,19561909
1000,0.5,0.387,2,12,19561910
1000,0.5,0.196,2,12,19561911
1000,0.5,0.27,2,23,19561912
1000,0.5,0.31,2,17,19561913
1000,0.5,0.349,2,12,19561914
1000,0.5,0.261,2,10,19561915
1000,0.5,0.271,2,9,19561916
1000,0.5,0.153,2,17,19561917
1000,0.5,0.304,2,22,19561918
1000,0.5,0.351,2,28,19561919
1000,0.5,0.229,2,20,19561920
1000,0.5,0.125,2,12,19561921
1000,0.5,0.315,2,13,19561922
1000,0.5,0.283,2,14,19561923
1000,0.5,0.156,2,15,19561924
1000,0.5,0.271,2,32,19561925
1000,1.0,0.115,1,17,19561926
1000,0.5,0.174,2,14,19561927
1000,0.5,0.241,2,13,19561928
1000,0.5,0.165,2,11,19561929
1000,1.0,0.137,1,15,19561930
10000,0.5,0.1948,2,34,19561831
10000,0.5,0.3003,2,18,19561832
10000,0.5,0.2003,2,25,19561833
10000,0.5,0.2042,2,24,19561834
10000,0.5,0.3136,2,32,19561835
10000,0.5,0.3407,2,21,19561836
10000,0.5,0.2814,2,21,19561837
10000,0.5,0.2121,2,31,19561838
10000,0.5,0.207,2,21,19561839
10000,0.5,0.3312,2,18,19561840
10000,0.5,0.3583,2,26,19561841
10000,0.5,0.2049,2,25,19561842
10000,0.5,0.2745,2,24,19561843
10000,0.5,0.2386,2,20,19561844
10000,0.5,0.1696,2,19,19561845
10000,0.5,0.2527,2,17,19561846
10000,0.5,0.2744,2,16,19561847
10000,0.5,0.2107,2,22,19561848
10000,0.5,0.362,2,21,19561849
10000,0.5,0.1967,2,19,19561850
10000,0.5,0.2153,2,20,19561851
10000,0.5,0.2329,2,19,19561852
10000,0.5,0.1754,2,21,19561853
10000,0.5,0.2153,2,24,19561854
10000,0.5,0.2421,2,23,19561855
10000,0.5,0.2598,2,18,19561856
10000,0.5,0.2193,2,21,19561857
10000,0.5,0.1135,2,28,19561858
10000,0.5,0.2365,2,24,19561859
10000,0.5,0.1763,2,17,19561860
10000,0.5,0.2371,2,22,19561861
10000,0.5,0.2109,2,28,19561862
10000,0.5,0.2832,2,18,19561863
10000,0.5,0.2417,2,25,19561864
10000,0.5,0.2821,2,21,19561865
10000,0.5,0.256,2,21,19561866
10000,0.5,0.2095,2,15,19561867
10000,0.5,0.3097,2,20,19561868
10000,0.5,0.1245,2,19,19561869
10000,0.5,0.4704,2,19,19561870
10000,0.5,0.3707,2,53,19561871
10000,0.5,0.2975,2,18,19561872
10000,0.5,0.2398,2,19,19561873
10000,0.5,0.2858,2,21,19561874
10000,0.5,0.175,2,29,19561875
10000,0.5,0.2745,2,20,19561876
10000,0.5,0.2171,2,25,19561877
10000,0.5,0.2926,2,24,19561878
10000,0.5,0.2467,2,21,19561879
10000,0.5,0.2684,2,22,19561880
10000,0.5,0.2928,2,20,19561881
10000,0.5,0.2215,2,21,19561882
10000,0.5,0.215,2,20,19561883
10000,0.5,0.215,2,27,19561884
10000,0.5,0.1921,2,25,19561885
10000,0.5,0.2253,2,18,19561886
10000,0.5,0.1878,2,20,19561887
10000,0.5,0.2503,2,22,19561888
10000,0.5,0.3213,2,24,19561889
10000,0.5,0.2525,2,27,19561890
10000,0.5,0.2405,2,22,19561891
10000,0.5,0.386,2,22,19561892
10000,0.5,0.1171,2,18,19561893
