wrap around,stability,morality,cycle length,generation count,seed
false,0.5,0.203,2,16,19561907
false,1.0,0.108,1,11,19561908
false,0.5,0.273,2,15,19561909
false,0.5,0.404,2,12,19561910
false,0.5,0.197,2,12,19561911
false,0.5,0.27,2,23,19561912
false,0.5,0.31,2,17,19561913
false,0.5,0.353,2,12,19561914
false,0.5,0.269,2,10,19561915
false,0.5,0.271,2,9,19561916
false,0.5,0.151,2,17,19561917
false,0.5,0.308,2,22,19561918
false,0.5,0.351,2,28,19561919
false,0.5,0.229,2,20,19561920
false,0.5,0.125,2,12,19561921
false,0.5,0.315,2,13,19561922
false,0.5,0.29,2,14,19561923
false,0.5,0.156,2,15,19561924
false,0.5,0.264,2,32,19561925
false,1.0,0.115,1,17,19561926
false,0.5,0.174,2,14,19561927
false,0.5,0.244,2,13,19561928
false,0.5,0.165,2,11,19561929
false,1.0,0.137,1,15,19561930
