neighborhood,stability,morality,cycle length,generation count,seed
3,0.5,0.233,2,20,19561905
3,0.5,0.2975,2,26,19561906
3,0.5,0.1535,2,15,19561907
3,1.0,0.031,1,10,19561908
3,0.5,0.351,2,13,19561909
3,0.5,0.3065,2,25,19561910
3,0.5,0.1225,2,17,19561911
3,0.5,0.1965,2,13,19561912
3,0.5,0.2545,2,15,19561913
3,0.5,0.2545,2,14,19561914
3,0.5,0.0955,2,14,19561915
3,0.5,0.197,2,13,19561916
3,0.5,0.1135,2,16,19561917
3,0.5,0.2355,2,14,19561918
3,0.5,0.2635,2,15,19561919
3,0.5,0.2075,2,13,19561920
3,0.5,0.0685,2,12,19561921
3,1.0,0.237,1,16,19561922
3,0.5,0.114,2,13,19561923
3,1.0,0.052,1,11,19561924
3,0.5,0.299,2,13,19561925
3,0.5,0.068,2,10,19561926
3,0.5,0.095,2,13,19561927
3,1.0,0.091,1,18,19561928
3,0.5,0.103,2,11,19561929
3,0.5,0.1635,2,27,19561930
4,0.5,0.152,2,12,19561831
4,0.5,0.132,2,10,19561832
4,0.5,0.061,2,12,19561833
4,0.5,0.079,2,12,19561834
4,1.0,0.168,1,11,19561835
4,0.5,0.111,2,12,19561836
4,1.0,0.201,1,12,19561837
4,0.5,0.129,2,13,19561838
4,0.5,0.119,2,14,19561839
4,0.5,0.31,2,21,19561840
4,0.5,0.098,2,19,19561841
4,0.5,0.042,2,11,19561842
4,0.5,0.157,2,12,19561843
4,0.5,0.143,2,10,19561844
4,0.5,0.028,2,16,19561845
4,0.5,0.114,2,10,19561846
4,1.0,0.09,1,12,19561847
4,1.0,0.153,1,9,19561848
4,0.5,0.164,2,10,19561849
4,0.5,0.027,2,12,19561850
4,0.5,0.158,2,16,19561851
4,1.0,0.118,1,9,19561852
4,0.5,0.055,2,11,19561853
4,0.5,0.047,2,10,19561854
4,0.5,0.076,2,13,19561855
4,0.5,0.153,2,8,19561856
4,0.5,0.123,2,8,19561857
4,0.5,0.057,2,10,19561858
4,0.5,0.053,2,21,19561859
4,1.0,0.057,1,9,19561860
4,0.5,0.089,2,13,19561861
4,0.5,0.06,2,11,19561862
4,0.5,0.151,2,9,19561863
4,0.5,0.117,2,15,19561864
4,1.0,0.067,1,9,19561865
4,0.5,0.138,2,25,19561866
4,1.0,0.065,1,10,19561867
4,0.5,0.18,2,10,19561868
4,1.0,0.03,1,7,19561869
4,0.5,0.524,2,10,19561870
4,0.5,0.258,2,24,19561871
4,0.5,0.184,2,11,19561872
4,0.5,0.258,2,11,19561873
4,0.5,0.216,2,14,19561874
4,1.0,0.017,1,10,19561875
4,0.5,0.156,2,13,19561876
4,0.5,0.156,2,13,19561877
4,0.5,0.154,2,14,19561878
4,0.5,0.105,2,17,19561879
4,1.0,0.074,1,8,19561880
4,0.5,0.129,2,13,19561881
4,0.5,0.025,2,14,19561882
4,0.5,0.132,2,16,19561883
4,0.5,0.09,2,18,19561884
4,1.0,0.09,1,10,19561885
4,0.5,0.08,2,10,19561886
4,1.0,0.027,1,21,19561887
4,0.5,0.119,2,13,19561888
4,0.5,0.205,2,10,19561889
4,1.0,0.052,1,7,19561890
4,1.0,0.165,1,14,19561891
4,0.5,0.177,2,17,19561892
4,0.5,0.052,2,11,19561893
4,0.5,0.076,2,14,19561894
4,0.5,0.118,2,27,19561895
