learning rule,stability,morality,cycle length,generation count,seed
IProb,0.001,0.1297,0,1000,19561866
IProb,0.001,0.0913,0,1000,19561867
IProb,0.001,0.0868,0,1000,19561868
IProb,0.001,0.0414,0,1000,19561869
IProb,0.001,0.6635,0,1000,19561870
IProb,0.001,0.3791,0,1000,19561871
IProb,0.001,0.2067,0,1000,19561872
IProb,0.001,0.325,0,1000,19561873
IProb,0.001,0.3431,0,1000,19561874
IProb,0.001,0.1695,0,1000,19561875
IProb,0.001,0.141,0,1000,19561876
IProb,0.001,0.2338,0,1000,19561877
IProb,0.001,0.3372,0,1000,19561878
IProb,0.001,0.2271,0,1000,19561879
IProb,0.001,0.0437,0,1000,19561880
IProb,0.001,0.2671,0,1000,19561881
IProb,0.001,0.2311,0,1000,19561882
IProb,0.001,0.1504,0,1000,19561883
IProb,0.001,0.15,0,1000,19561884
IProb,0.001,0.3209,0,1000,19561885
IProb,0.001,0.172,0,1000,19561886
IProb,0.001,0.121,0,1000,19561887
IProb,0.001,0.1163,0,1000,19561888
IProb,0.001,0.3417,0,1000,19561889
IProb,0.001,0.2362,0,1000,19561890
IProb,0.001,0.2131,0,1000,19561891
IProb,0.001,0.2076,0,1000,19561892
IProb,0.001,0.199,0,1000,19561893
IProb,0.001,0.297,0,1000,19561894
IProb,0.001,0.236,0,1000,19561895
IProb,0.001,0.0988,0,1000,19561896
IProb,0.001,0.3453,0,1000,19561897
IProb,0.001,0.1935,0,1000,19561898
IProb,0.001,0.1558,0,1000,19561899
IProb,0.001,0.4089,0,1000,19561900
IProb,0.001,0.0948,0,1000,19561901
IProb,0.001,0.1995,0,1000,19561902
IProb,0.001,0.1294,0,1000,19561903
IProb,0.001,0.2532,0,1000,19561904
IProb,0.001,0.2532,0,1000,19561905
IProb,0.001,0.3517,0,1000,19561906
IProb,0.001,0.1253,0,1000,19561907
IProb,0.001,0.0976,0,1000,19561908
IProb,0.001,0.2018,0,1000,19561909
IProb,0.001,0.2964,0,1000,19561910
IProb,0.001,0.2446,0,1000,19561911
IProb,0.001,0.1119,0,1000,19561912
IProb,0.001,0.2809,0,1000,19561913
IProb,0.001,0.3221,0,1000,19561914
IProb,0.001,0.1433,0,1000,19561915
IProb,0.001,0.2669,0,1000,19561916
IProb,0.001,0.0819,0,1000,19561917
IProb,0.001,0.3896,0,1000,19561918
IProb,0.001,0.4037,0,1000,19561919
