mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.9897,0,1000,19561881
0,0.001,0.9887,0,1000,19561882
0,0.001,0.9882,0,1000,19561883
0,0.001,0.9891,0,1000,19561884
0,0.001,0.9892,0,1000,19561885
0,0.001,0.989,0,1000,19561886
0,0.001,0.9897,0,1000,19561887
0,0.001,0.9894,0,1000,19561888
0,0.001,0.9876,0,1000,19561889
0,0.001,0.9893,0,1000,19561890
0,0.001,0.988,0,1000,19561891
0,0.001,0.9885,0,1000,19561892
0,0.001,0.989,0,1000,19561893
0,0.001,0.9891,0,1000,19561894
0,0.001,0.9886,0,1000,19561895
0,0.001,0.9888,0,1000,19561896
0,0.001,0.9867,0,1000,19561897
0,0.001,0.9893,0,1000,19561898
0,0.001,0.9879,0,1000,19561899
0,0.001,0.9891,0,1000,19561900
0,0.001,0.989,0,1000,19561901
0,0.001,0.9894,0,1000,19561902
0,0.001,0.9896,0,1000,19561903
0,0.001,0.9884,0,1000,19561904
0,0.001,0.9891,0,1000,19561905
0,0.001,0.9888,0,1000,19561906
0,0.001,0.9888,0,1000,19561907
0,0.001,0.9876,0,1000,19561908
0,0.001,0.9889,0,1000,19561909
0,0.001,0.9882,0,1000,19561910
0,0.001,0.9897,0,1000,19561911
0,0.001,0.9896,0,1000,19561912
0,0.001,0.9896,0,1000,19561913
0,0.001,0.9892,0,1000,19561914
0,0.001,0.9819,0,1000,19561915
0,0.001,0.9892,0,1000,19561916
0,0.001,0.9893,0,1000,19561917
0,0.001,0.9887,0,1000,19561918
0,0.001,0.9886,0,1000,19561919
0,0.001,0.9891,0,1000,19561920
0,0.001,0.989,0,1000,19561921
0,0.001,0.9884,0,1000,19561922
0,0.001,0.989,0,1000,19561923
0,0.001,0.9877,0,1000,19561924
0,0.001,0.9867,0,1000,19561925
0,0.001,0.9888,0,1000,19561926
0,0.001,0.9887,0,1000,19561927
0,0.001,0.9898,0,1000,19561928
0,0.001,0.9892,0,1000,19561929
0,0.001,0.9891,0,1000,19561930
1,0.001,0.9278,0,1000,19561831
1,0.001,0.928,0,1000,19561832
1,0.001,0.9272,0,1000,19561833
1,0.001,0.928,0,1000,19561834
1,0.001,0.9296,0,1000,19561835
1,0.001,0.9299,0,1000,19561836
1,0.001,0.9296,0,1000,19561837
1,0.001,0.9287,0,1000,19561838
1,0.001,0.9282,0,1000,19561839
1,0.001,0.9269,0,1000,19561840
1,0.001,0.9283,0,1000,19561841
1,0.001,0.9299,0,1000,19561842
1,0.001,0.9264,0,1000,19561843
1,0.001,0.9284,0,1000,19561844
1,0.001,0.9276,0,1000,19561845
1,0.001,0.9252,0,1000,19561846
1,0.001,0.927,0,1000,19561847
1,0.001,0.9289,0,1000,19561848
1,0.001,0.928,0,1000,19561849
1,0.001,0.929,0,1000,19561850
1,0.001,0.9285,0,1000,19561851
1,0.001,0.9264,0,1000,19561852
1,0.001,0.9276,0,1000,19561853
1,0.001,0.9279,0,1000,19561854
1,0.001,0.9275,0,1000,19561855
1,0.001,0.9277,0,1000,19561856
1,0.001,0.9276,0,1000,19561857
1,0.001,0.9279,0,1000,19561858
1,0.001,0.9271,0,1000,19561859
1,0.001,0.9268,0,1000,19561860
1,0.001,0.9278,0,1000,19561861
1,0.001,0.9286,0,1000,19561862
1,0.001,0.9274,0,1000,19561863
1,0.001,0.9277,0,1000,19561864
1,0.001,0.9282,0,1000,19561865
1,0.001,0.9282,0,1000,19561866
1,0.001,0.9263,0,1000,19561867
1,0.001,0.9286,0,1000,19561868
1,0.001,0.9282,0,1000,19561869
1,0.001,0.9265,0,1000,19561870
1,0.001,0.9285,0,1000,19561871
1,0.001,0.927,0,1000,19561872
1,0.001,0.9278,0,1000,19561873
1,0.001,0.9277,0,1000,19561874
1,0.001,0.9275,0,1000,19561875
1,0.001,0.9278,0,1000,19561876
1,0.001,0.9278,0,1000,19561877
1,0.001,0.9279,0,1000,19561878
1,0.001,0.93,0,1000,19561879
1,0.001,0.926,0,1000,19561880
1,0.001,0.929,0,1000,19561881
1,0.001,0.9282,0,1000,19561882
1,0.001,0.9278,0,1000,19561883
1,0.001,0.9273,0,1000,19561884
1,0.001,0.9279,0,1000,19561885
1,0.001,0.9283,0,1000,19561886
1,0.001,0.93,0,1000,19561887
1,0.001,0.9292,0,1000,19561888
1,0.001,0.9276,0,1000,19561889
1,0.001,0.9293,0,1000,19561890
1,0.001,0.9282,0,1000,19561891
1,0.001,0.9281,0,1000,19561892
1,0.001,0.9282,0,1000,19561893
1,0.001,0.9286,0,1000,19561894
1,0.001,0.9291,0,1000,19561895
1,0.001,0.9289,0,1000,19561896
1,0.001,0.927,0,1000,19561897
1,0.001,0.9294,0,1000,19561898
1,0.001,0.9268,0,1000,19561899
1,0.001,0.9277,0,1000,19561900
1,0.001,0.927,0,1000,19561901
1,0.001,0.9281,0,1000,19561902
1,0.001,0.9294,0,1000,19561903
1,0.001,0.9278,0,1000,19561904
1,0.001,0.929,0,1000,19561905
1,0.001,0.9281,0,1000,19561906
1,0.001,0.9275,0,1000,19561907
1,0.001,0.9262,0,1000,19561908
1,0.001,0.9284,0,1000,19561909
1,0.001,0.9252,0,1000,19561910
1,0.001,0.9284,0,1000,19561911
1,0.001,0.9295,0,1000,19561912
1,0.001,0.9289,0,1000,19561913
1,0.001,0.9273,0,1000,19561914
1,0.001,0.9259,0,1000,19561915
1,0.001,0.9278,0,1000,19561916
1,0.001,0.9286,0,1000,19561917
1,0.001,0.9285,0,1000,19561918
1,0.001,0.9272,0,1000,19561919
1,0.001,0.9282,0,1000,19561920
1,0.001,0.9287,0,1000,19561921
1,0.001,0.9275,0,1000,19561922
1,0.001,0.9273,0,1000,19561923
1,0.001,0.9277,0,1000,19561924
1,0.001,0.9273,0,1000,19561925
1,0.001,0.9279,0,1000,19561926
1,0.001,0.9288,0,1000,19561927
1,0.001,0.9312,0,1000,19561928
1,0.001,0.9281,0,1000,19561929
