degree interval,stability,morality,cycle length,generation count,seed
5-6,1.0,1.0,1,5,19561835
5-6,1.0,1.0,1,6,19561836
5-6,1.0,1.0,1,5,19561837
5-6,1.0,1.0,1,4,19561838
5-6,1.0,1.0,1,7,19561839
5-6,1.0,1.0,1,6,19561840
5-6,1.0,1.0,1,5,19561841
5-6,1.0,1.0,1,8,19561842
5-6,1.0,1.0,1,5,19561843
5-6,1.0,1.0,1,4,19561844
5-6,1.0,1.0,1,4,19561845
5-6,1.0,1.0,1,6,19561846
5-6,1.0,1.0,1,6,19561847
5-6,1.0,0.999,1,5,19561848
5-6,1.0,1.0,1,5,19561849
5-6,1.0,0.999,1,5,19561850
5-6,1.0,1.0,1,6,19561851
5-6,1.0,0.999,1,7,19561852
5-6,1.0,0.999,1,5,19561853
5-6,1.0,1.0,1,6,19561854
5-6,1.0,1.0,1,6,19561855
5-6,1.0,1.0,1,4,19561856
5-6,1.0,1.0,1,6,19561857
5-6,1.0,1.0,1,7,19561858
5-6,1.0,0.999,1,5,19561859
5-6,1.0,1.0,1,6,19561860
5-6,1.0,1.0,1,5,19561861
5-6,1.0,0.998,1,7,19561862
5-6,1.0,1.0,1,4,19561863
5-6,1.0,1.0,1,4,19561864
5-6,1.0,0.999,1,5,19561865
5-6,1.0,1.0,1,5,19561866
5-6,1.0,1.0,1,5,19561867
5-6,1.0,0.998,1,7,19561868
5-6,1.0,1.0,1,6,19561869
5-6,1.0,1.0,1,5,19561870
5-6,1.0,1.0,1,6,19561871
5-6,1.0,0.999,1,6,19561872
5-6,1.0,1.0,1,6,19561873
5-6,1.0,1.0,1,4,19561874
5-6,1.0,1.0,1,5,19561875
5-6,1.0,1.0,1,5,19561876
5-6,1.0,1.0,1,6,19561877
5-6,1.0,1.0,1,9,19561878
5-6,1.0,1.0,1,5,19561879
5-6,1.0,0.999,1,5,19561880
5-6,1.0,1.0,1,5,19561881
5-6,1.0,1.0,1,6,19561882
5-6,1.0,1.0,1,6,19561883
5-6,1.0,0.999,1,7,19561884
5-6,1.0,1.0,1,7,19561885
5-6,1.0,1.0,1,5,19561886
5-6,1.0,0.999,1,6,19561887
5-6,1.0,1.0,1,5,19561888
5-6,1.0,1.0,1,5,19561889
5-6,1.0,0.999,1,5,19561890
5-6,1.0,1.0,1,6,19561891
5-6,1.0,1.0,1,6,19561892
5-6,1.0,1.0,1,6,19561893
5-6,1.0,0.999,1,5,19561894
5-6,1.0,1.0,1,5,19561895
5-6,1.0,1.0,1,6,19561896
5-6,1.0,0.999,1,5,19561897
5-6,1.0,0.999,1,7,19561898
5-6,1.0,1.0,1,4,19561899
5-6,1.0,1.0,1,7,19561900
5-6,1.0,0.998,1,7,19561901
5-6,1.0,1.0,1,5,19561902
5-6,1.0,0.999,1,7,19561903
5-6,1.0,1.0,1,6,19561904
5-6,1.0,1.0,1,6,19561905
5-6,1.0,1.0,1,6,19561906
5-6,1.0,1.0,1,7,19561907
5-6,1.0,0.999,1,5,19561908
5-6,1.0,1.0,1,5,19561909
5-6,1.0,1.0,1,5,19561910
5-6,1.0,1.0,1,6,19561911
5-6,1.0,1.0,1,5,19561912
5-6,1.0,1.0,1,5,19561913
5-6,1.0,1.0,1,5,19561914
5-6,1.0,1.0,1,8,19561915
5-6,1.0,1.0,1,5,19561916
5-6,1.0,1.0,1,6,19561917
5-6,1.0,1.0,1,5,19561918
5-6,1.0,1.0,1,4,19561919
5-6,1.0,0.999,1,7,19561920
5-6,1.0,1.0,1,6,19561921
5-6,1.0,1.0,1,5,19561922
5-6,1.0,1.0,1,5,19561923
5-6,1.0,1.0,1,5,19561924
5-6,1.0,0.999,1,5,19561925
5-6,1.0,1.0,1,7,19561926
5-6,1.0,1.0,1,3,19561927
5-6,1.0,1.0,1,5,19561928
5-6,1.0,1.0,1,5,19561929
5-6,1.0,1.0,1,5,19561930
8-9,1.0,1.0,1,3,19561831
8-9,1.0,1.0,1,3,19561832
8-9,1.0,1.0,1,3,19561833
8-9,1.0,1.0,1,5,19561834
8-9,1.0,1.0,1,3,19561835
8-9,1.0,1.0,1,4,19561836
8-9,1.0,1.0,1,3,19561837
8-9,1.0,1.0,1,4,19561838
8-9,1.0,1.0,1,4,19561839
8-9,1.0,1.0,1,4,19561840
8-9,1.0,1.0,1,4,19561841
8-9,1.0,1.0,1,5,19561842
8-9,1.0,1.0,1,3,19561843
8-9,1.0,1.0,1,4,19561844
8-9,1.0,1.0,1,4,19561845
8-9,1.0,1.0,1,3,19561846
8-9,1.0,1.0,1,3,19561847
8-9,1.0,1.0,1,4,19561848
8-9,1.0,1.0,1,4,19561849
8-9,1.0,1.0,1,4,19561850
8-9,1.0,1.0,1,4,19561851
8-9,1.0,1.0,1,4,19561852
8-9,1.0,1.0,1,3,19561853
8-9,1.0,1.0,1,3,19561854
8-9,1.0,1.0,1,4,19561855
8-9,1.0,1.0,1,5,19561856
8-9,1.0,1.0,1,3,19561857
8-9,1.0,1.0,1,4,19561858
8-9,1.0,1.0,1,5,19561859
8-9,1.0,1.0,1,4,19561860
8-9,1.0,1.0,1,3,19561861
8-9,1.0,1.0,1,3,19561862
8-9,1.0,1.0,1,4,19561863
8-9,1.0,1.0,1,4,19561864
8-9,1.0,1.0,1,3,19561865
8-9,1.0,1.0,1,3,19561866
8-9,1.0,1.0,1,3,19561867
8-9,1.0,1.0,1,4,19561868
8-9,1.0,1.0,1,3,19561869
8-9,1.0,1.0,1,3,19561870
8-9,1.0,1.0,1,3,19561871
8-9,1.0,1.0,1,3,19561872
8-9,1.0,1.0,1,3,19561873
8-9,1.0,1.0,1,5,19561874
8-9,1.0,1.0,1,4,19561875
8-9,1.0,1.0,1,4,19561876
8-9,1.0,1.0,1,4,19561877
8-9,1.0,1.0,1,4,19561878
8-9,1.0,1.0,1,4,19561879
8-9,1.0,1.0,1,3,19561880
8-9,1.0,1.0,1,3,19561881
8-9,1.0,1.0,1,3,19561882
8-9,1.0,1.0,1,4,19561883
8-9,1.0,1.0,1,4,19561884
8-9,1.0,1.0,1,6,19561885
8-9,1.0,1.0,1,3,19561886
8-9,1.0,1.0,1,4,19561887
8-9,1.0,1.0,1,3,19561888
8-9,1.0,1.0,1,4,19561889
8-9,1.0,1.0,1,3,19561890
8-9,1.0,1.0,1,4,19561891
8-9,1.0,1.0,1,3,19561892
8-9,1.0,1.0,1,3,19561893
8-9,1.0,1.0,1,3,19561894
8-9,1.0,1.0,1,4,19561895
8-9,1.0,1.0,1,3,19561896
8-9,1.0,1.0,1,4,19561897
8-9,1.0,1.0,1,4,19561898
8-9,1.0,1.0,1,3,19561899
8-9,1.0,1.0,1,4,19561900
8-9,1.0,1.0,1,4,19561901
8-9,1.0,1.0,1,4,19561902
8-9,1.0,1.0,1,4,19561903
8-9,1.0,1.0,1,3,19561904
8-9,1.0,1.0,1,4,19561905
8-9,1.0,1.0,1,3,19561906
8-9,1.0,1.0,1,4,19561907
8-9,1.0,1.0,1,3,19561908
8-9,1.0,1.0,1,3,19561909
8-9,1.0,1.0,1,4,19561910
8-9,1.0,1.0,1,4,19561911
8-9,1.0,1.0,1,4,19561912
8-9,1.0,1.0,1,4,19561913
8-9,1.0,1.0,1,3,19561914
8-9,1.0,1.0,1,3,19561915
8-9,1.0,1.0,1,5,19561916
8-9,1.0,1.0,1,3,19561917
8-9,1.0,1.0,1,4,19561918
8-9,1.0,1.0,1,4,19561919
8-9,1.0,1.0,1,4,19561920
8-9,1.0,1.0,1,4,19561921
8-9,1.0,1.0,1,3,19561922
8-9,1.0,1.0,1,4,19561923
8-9,1.0,1.0,1,3,19561924
8-9,1.0,1.0,1,4,19561925
8-9,1.0,1.0,1,4,19561926
8-9,1.0,1.0,1,3,19561927
8-9,1.0,1.0,1,4,19561928
8-9,1.0,1.0,1,4,19561929
8-9,1.0,1.0,1,4,19561930
4-7,1.0,1.0,1,5,19561831
4-7,1.0,1.0,1,7,19561832
4-7,1.0,1.0,1,9,19561833
4-7,1.0,1.0,1,7,19561834
4-7,1.0,1.0,1,5,19561835
4-7,1.0,1.0,1,6,19561836
4-7,1.0,0.999,1,5,19561837
4-7,1.0,1.0,1,6,19561838
4-7,1.0,1.0,1,6,19561839
4-7,1.0,1.0,1,4,19561840
4-7,1.0,1.0,1,6,19561841
4-7,1.0,1.0,1,5,19561842
4-7,1.0,1.0,1,6,19561843
4-7,1.0,1.0,1,6,19561844
4-7,1.0,1.0,1,8,19561845
4-7,1.0,0.998,1,6,19561846
4-7,1.0,1.0,1,8,19561847
4-7,1.0,1.0,1,6,19561848
4-7,1.0,1.0,1,6,19561849
4-7,1.0,1.0,1,6,19561850
4-7,1.0,0.999,1,5,19561851
4-7,1.0,0.999,1,7,19561852
4-7,1.0,1.0,1,6,19561853
4-7,1.0,1.0,1,6,19561854
4-7,1.0,1.0,1,6,19561855
4-7,1.0,1.0,1,7,19561856
4-7,1.0,0.998,1,5,19561857
4-7,1.0,1.0,1,8,19561858
4-7,1.0,1.0,1,8,19561859
4-7,1.0,1.0,1,7,19561860
4-7,1.0,0.998,1,6,19561861
4-7,1.0,1.0,1,7,19561862
4-7,1.0,1.0,1,7,19561863
4-7,1.0,0.999,1,8,19561864
4-7,1.0,1.0,1,6,19561865
4-7,1.0,1.0,1,6,19561866
4-7,1.0,1.0,1,5,19561867
4-7,1.0,1.0,1,6,19561868
4-7,1.0,0.999,1,7,19561869
4-7,1.0,1.0,1,5,19561870
4-7,1.0,1.0,1,5,19561871
4-7,1.0,0.998,1,6,19561872
4-7,1.0,0.999,1,7,19561873
4-7,1.0,1.0,1,6,19561874
4-7,1.0,0.999,1,7,19561875
4-7,1.0,1.0,1,7,19561876
4-7,1.0,1.0,1,6,19561877
4-7,1.0,1.0,1,5,19561878
4-7,1.0,0.999,1,6,19561879
4-7,1.0,0.999,1,7,19561880
4-7,1.0,1.0,1,5,19561881
4-7,1.0,1.0,1,6,19561882
4-7,1.0,1.0,1,7,19561883
4-7,1.0,1.0,1,6,19561884
4-7,1.0,1.0,1,6,19561885
4-7,1.0,1.0,1,7,19561886
4-7,1.0,1.0,1,5,19561887
4-7,1.0,1.0,1,5,19561888
4-7,1.0,0.999,1,8,19561889
4-7,1.0,1.0,1,6,19561890
4-7,1.0,1.0,1,9,19561891
4-7,1.0,1.0,1,6,19561892
4-7,1.0,1.0,1,6,19561893
4-7,1.0,1.0,1,5,19561894
4-7,1.0,1.0,1,7,19561895
4-7,1.0,1.0,1,5,19561896
4-7,1.0,0.998,1,9,19561897
4-7,1.0,1.0,1,6,19561898
4-7,1.0,0.999,1,7,19561899
4-7,1.0,0.999,1,6,19561900
4-7,1.0,1.0,1,6,19561901
4-7,1.0,1.0,1,5,19561902
4-7,1.0,1.0,1,6,19561903
4-7,1.0,0.998,1,7,19561904
4-7,1.0,1.0,1,5,19561905
4-7,1.0,1.0,1,6,19561906
4-7,1.0,1.0,1,7,19561907
4-7,1.0,0.999,1,6,19561908
4-7,1.0,0.999,1,6,19561909
4-7,1.0,0.999,1,5,19561910
4-7,1.0,1.0,1,5,19561911
4-7,1.0,1.0,1,5,19561912
4-7,1.0,1.0,1,5,19561913
4-7,1.0,1.0,1,5,19561914
4-7,1.0,1.0,1,16,19561915
4-7,1.0,1.0,1,5,19561916
4-7,1.0,1.0,1,6,19561917
4-7,1.0,1.0,1,7,19561918
4-7,1.0,1.0,1,6,19561919
4-7,1.0,1.0,1,6,19561920
4-7,1.0,1.0,1,5,19561921
4-7,1.0,1.0,1,7,19561922
4-7,1.0,1.0,1,5,19561923
4-7,1.0,1.0,1,8,19561924
4-7,1.0,0.998,1,10,19561925
4-7,1.0,1.0,1,6,19561926
4-7,1.0,1.0,1,7,19561927
4-7,1.0,1.0,1,5,19561928
4-7,1.0,0.998,1,5,19561929
4-7,1.0,1.0,1,6,19561930
3-8,1.0,1.0,1,5,19561831
3-8,1.0,1.0,1,5,19561832
3-8,1.0,1.0,1,6,19561833
3-8,1.0,1.0,1,7,19561834
3-8,1.0,1.0,1,6,19561835
3-8,1.0,1.0,1,5,19561836
3-8,1.0,1.0,1,6,19561837
3-8,1.0,0.999,1,5,19561838
3-8,1.0,0.998,1,4,19561839
3-8,1.0,1.0,1,6,19561840
3-8,1.0,1.0,1,5,19561841
3-8,1.0,1.0,1,7,19561842
3-8,1.0,1.0,1,6,19561843
3-8,1.0,1.0,1,5,19561844
3-8,1.0,1.0,1,5,19561845
3-8,1.0,0.083,1,4,19561846
3-8,1.0,1.0,1,9,19561847
3-8,1.0,1.0,1,6,19561848
3-8,1.0,1.0,1,5,19561849
3-8,1.0,1.0,1,6,19561850
3-8,1.0,1.0,1,6,19561851
3-8,1.0,0.999,1,7,19561852
3-8,1.0,1.0,1,5,19561853
3-8,1.0,0.998,1,6,19561854
3-8,1.0,1.0,1,9,19561855
3-8,1.0,1.0,1,6,19561856
3-8,1.0,1.0,1,6,19561857
3-8,1.0,1.0,1,5,19561858
3-8,1.0,1.0,1,7,19561859
3-8,1.0,1.0,1,8,19561860
3-8,1.0,0.999,1,6,19561861
3-8,1.0,1.0,1,5,19561862
3-8,1.0,0.999,1,7,19561863
3-8,1.0,1.0,1,6,19561864
3-8,1.0,1.0,1,7,19561865
3-8,1.0,0.998,1,5,19561866
3-8,1.0,1.0,1,5,19561867
3-8,1.0,0.999,1,7,19561868
3-8,1.0,1.0,1,6,19561869
3-8,1.0,1.0,1,5,19561870
3-8,1.0,1.0,1,5,19561871
3-8,1.0,0.998,1,8,19561872
3-8,1.0,0.999,1,6,19561873
3-8,1.0,1.0,1,8,19561874
3-8,1.0,1.0,1,6,19561875
3-8,1.0,1.0,1,5,19561876
3-8,1.0,1.0,1,6,19561877
3-8,1.0,1.0,1,6,19561878
3-8,1.0,1.0,1,6,19561879
3-8,1.0,1.0,1,6,19561880
3-8,1.0,1.0,1,6,19561881
3-8,1.0,1.0,1,6,19561882
3-8,1.0,1.0,1,6,19561883
3-8,1.0,1.0,1,5,19561884
3-8,1.0,1.0,1,5,19561885
3-8,1.0,0.997,1,8,19561886
3-8,1.0,0.998,1,9,19561887
3-8,1.0,1.0,1,6,19561888
3-8,1.0,1.0,1,6,19561889
3-8,1.0,0.999,1,6,19561890
3-8,1.0,1.0,1,5,19561891
3-8,1.0,1.0,1,5,19561892
3-8,1.0,1.0,1,6,19561893
3-8,1.0,0.999,1,5,19561894
3-8,1.0,1.0,1,5,19561895
3-8,1.0,1.0,1,6,19561896
3-8,1.0,0.998,1,7,19561897
3-8,1.0,1.0,1,9,19561898
3-8,1.0,1.0,1,7,19561899
3-8,1.0,0.999,1,6,19561900
3-8,1.0,1.0,1,7,19561901
3-8,1.0,1.0,1,7,19561902
3-8,1.0,1.0,1,5,19561903
3-8,1.0,0.997,1,5,19561904
3-8,1.0,0.999,1,8,19561905
3-8,1.0,0.999,1,6,19561906
3-8,1.0,0.999,1,7,19561907
3-8,1.0,0.998,1,7,19561908
3-8,1.0,1.0,1,6,19561909
3-8,1.0,1.0,1,7,19561910
3-8,1.0,1.0,1,7,19561911
3-8,1.0,1.0,1,8,19561912
3-8,1.0,1.0,1,8,19561913
3-8,1.0,1.0,1,5,19561914
3-8,1.0,1.0,1,6,19561915
3-8,1.0,1.0,1,7,19561916
3-8,1.0,1.0,1,8,19561917
3-8,1.0,0.999,1,7,19561918
3-8,1.0,1.0,1,6,19561919
3-8,1.0,0.998,1,7,19561920
3-8,1.0,0.999,1,8,19561921
3-8,1.0,1.0,1,5,19561922
3-8,1.0,0.999,1,9,19561923
3-8,1.0,0.999,1,8,19561924
3-8,1.0,1.0,1,5,19561925
3-8,1.0,0.997,1,6,19561926
3-8,1.0,0.998,1,7,19561927
3-8,1.0,1.0,1,7,19561928
3-8,1.0,1.0,1,6,19561929
3-8,1.0,1.0,1,6,19561930
