learning distance,stability,morality,cycle length,generation count,seed
2,1.0,0.0,1,5,19561926
2,1.0,0.0,1,5,19561927
2,1.0,0.0,1,6,19561928
2,1.0,0.0,1,5,19561929
2,1.0,0.0,1,4,19561930
3,1.0,0.0,1,5,19561831
3,1.0,0.0,1,4,19561832
3,1.0,0.0,1,4,19561833
3,1.0,0.0,1,5,19561834
3,1.0,0.0,1,4,19561835
3,1.0,0.0,1,4,19561836
3,1.0,0.0,1,4,19561837
3,1.0,0.0,1,4,19561838
3,1.0,0.0,1,4,19561839
3,1.0,0.0,1,4,19561840
3,1.0,0.0,1,4,19561841
3,1.0,0.0,1,4,19561842
3,1.0,0.0,1,4,19561843
3,1.0,0.0,1,4,19561844
3,1.0,0.0,1,3,19561845
3,1.0,0.0,1,4,19561846
3,1.0,0.0,1,5,19561847
3,1.0,0.0,1,11,19561848
3,1.0,0.0,1,6,19561849
3,1.0,0.0,1,4,19561850
3,1.0,0.0,1,5,19561851
3,1.0,0.0,1,4,19561852
3,1.0,0.0,1,4,19561853
3,1.0,0.0,1,4,19561854
3,1.0,0.0,1,8,19561855
3,1.0,0.0,1,4,19561856
3,1.0,0.0,1,4,19561857
3,1.0,0.0,1,4,19561858
3,1.0,0.0,1,4,19561859
3,1.0,0.0,1,4,19561860
3,1.0,0.0,1,4,19561861
3,1.0,0.0,1,4,19561862
3,1.0,0.0,1,4,19561863
3,1.0,0.0,1,5,19561864
3,1.0,0.0,1,4,19561865
3,1.0,0.0,1,4,19561866
3,1.0,0.0,1,4,19561867
3,1.0,0.0,1,4,19561868
3,1.0,0.0,1,4,19561869
3,1.0,0.0,1,11,19561870
3,1.0,0.0,1,4,19561871
3,1.0,0.0,1,4,19561872
3,1.0,0.0,1,4,19561873
3,1.0,0.0,1,6,19561874
3,1.0,0.0,1,4,19561875
3,1.0,0.0,1,4,19561876
3,1.0,0.0,1,4,19561877
3,1.0,0.0,1,4,19561878
3,1.0,0.0,1,4,19561879
3,1.0,0.0,1,5,19561880
3,1.0,0.0,1,5,19561881
3,1.0,0.0,1,5,19561882
3,1.0,0.0,1,4,19561883
3,1.0,0.0,1,4,19561884
3,1.0,0.0,1,4,19561885
3,1.0,0.0,1,4,19561886
3,1.0,0.0,1,4,19561887
3,1.0,0.0,1,4,19561888
3,1.0,0.0,1,4,19561889
3,1.0,0.0,1,4,19561890
