learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.0635,1,9,19561831
IBest,1.0,0.082,1,9,19561832
IBest,1.0,0.0,1,8,19561833
IBest,1.0,0.0234,1,8,19561834
IBest,1.0,0.0518,1,9,19561835
IBest,1.0,0.0576,1,9,19561836
IBest,1.0,0.0791,1,8,19561837
IBest,1.0,0.0088,1,9,19561838
IBest,1.0,0.0156,1,6,19561839
IBest,1.0,0.0781,1,9,19561840
IBest,1.0,0.042,1,10,19561841
IBest,1.0,0.0137,1,7,19561842
IBest,1.0,0.1035,1,8,19561843
IBest,1.0,0.0293,1,9,19561844
IBest,1.0,0.0,1,6,19561845
IBest,1.0,0.0518,1,7,19561846
IBest,1.0,0.0967,1,6,19561847
IBest,1.0,0.0566,1,7,19561848
IBest,1.0,0.1035,1,10,19561849
IBest,1.0,0.0,1,6,19561850
IBest,1.0,0.0605,1,8,19561851
IBest,1.0,0.0996,1,9,19561852
IBest,1.0,0.0,1,7,19561853
IBest,1.0,0.0,1,8,19561854
IBest,1.0,0.126,1,9,19561855
IBest,1.0,0.1318,1,8,19561856
IBest,1.0,0.0879,1,7,19561857
IBest,1.0,0.0088,1,6,19561858
IBest,1.0,0.0,1,9,19561859
IBest,1.0,0.0,1,9,19561860
IBest,1.0,0.0,1,6,19561861
IBest,1.0,0.0557,1,7,19561862
IBest,1.0,0.0674,1,7,19561863
IBest,1.0,0.0,1,8,19561864
IBest,1.0,0.0146,1,9,19561865
IBest,1.0,0.0254,1,8,19561866
IBest,1.0,0.0,1,6,19561867
IBest,1.0,0.168,1,8,19561868
IBest,1.0,0.0,1,6,19561869
IBest,1.0,0.2168,1,14,19561870
IBest,1.0,0.126,1,12,19561871
IBest,1.0,0.0557,1,7,19561872
IBest,1.0,0.125,1,10,19561873
IBest,1.0,0.1055,1,9,19561874
IBest,1.0,0.0,1,6,19561875
IBest,1.0,0.0537,1,8,19561876
IBest,1.0,0.0342,1,8,19561877
IBest,1.0,0.085,1,7,19561878
IBest,1.0,0.084,1,8,19561879
IBest,1.0,0.0293,1,8,19561880
IBest,1.0,0.0801,1,8,19561881
IBest,1.0,0.0273,1,9,19561882
IBest,1.0,0.0518,1,8,19561883
IBest,1.0,0.0146,1,9,19561884
IBest,1.0,0.0645,1,9,19561885
IBest,1.0,0.0557,1,7,19561886
IBest,1.0,0.0273,1,7,19561887
IBest,1.0,0.0146,1,8,19561888
IBest,1.0,0.0645,1,8,19561889
IBest,1.0,0.0264,1,7,19561890
IBest,1.0,0.0205,1,10,19561891
IBest,1.0,0.0449,1,9,19561892
IBest,1.0,0.0,1,6,19561893
IBest,1.0,0.0527,1,9,19561894
IBest,1.0,0.0801,1,10,19561895
IBest,1.0,0.0293,1,8,19561896
IBest,1.0,0.0625,1,9,19561897
IBest,1.0,0.0635,1,8,19561898
IBest,1.0,0.0176,1,9,19561899
IBest,1.0,0.168,1,12,19561900
IBest,1.0,0.0371,1,9,19561901
IBest,1.0,0.0586,1,8,19561902
IBest,1.0,0.0479,1,9,19561903
IBest,1.0,0.1201,1,8,19561904
IBest,1.0,0.1475,1,8,19561905
IBest,1.0,0.0918,1,8,19561906
IBest,1.0,0.042,1,9,19561907
IBest,1.0,0.0186,1,7,19561908
IBest,1.0,0.0713,1,9,19561909
IBest,1.0,0.1455,1,11,19561910
IBest,1.0,0.0176,1,9,19561911
IBest,1.0,0.1104,1,10,19561912
IBest,1.0,0.1064,1,10,19561913
IBest,1.0,0.041,1,9,19561914
IBest,1.0,0.0938,1,8,19561915
IBest,1.0,0.0488,1,9,19561916
IBest,1.0,0.0,1,9,19561917
IBest,1.0,0.0771,1,9,19561918
IBest,1.0,0.1123,1,10,19561919
IBest,1.0,0.0781,1,8,19561920
IBest,1.0,0.0,1,6,19561921
IBest,1.0,0.0723,1,9,19561922
IBest,1.0,0.1162,1,7,19561923
IBest,1.0,0.0439,1,9,19561924
IBest,1.0,0.082,1,12,19561925
IBest,1.0,0.0449,1,7,19561926
IBest,1.0,0.0,1,8,19561927
IBest,1.0,0.0264,1,6,19561928
IBest,1.0,0.0,1,7,19561929
IBest,1.0,0.0225,1,6,19561930
IProb,0.001,0.002,0,1000,19561831
IProb,0.001,0.0021,0,1000,19561832
IProb,0.001,0.0005,0,1000,19561833
IProb,0.001,0.0006,0,1000,19561834
IProb,0.001,0.0021,0,1000,19561835
IProb,0.001,0.001,0,1000,19561836
IProb,0.001,0.0049,0,1000,19561837
IProb,0.001,0.001,0,1000,19561838
IProb,0.001,0.0008,0,1000,19561839
IProb,0.001,0.0025,0,1000,19561840
IProb,0.001,0.0014,0,1000,19561841
IProb,0.001,0.0005,0,1000,19561842
IProb,0.001,0.0021,0,1000,19561843
IProb,0.001,0.0008,0,1000,19561844
IProb,0.001,0.0003,0,1000,19561845
IProb,0.001,0.0009,0,1000,19561846
IProb,0.001,0.0014,0,1000,19561847
IProb,0.001,0.0011,0,1000,19561848
IProb,0.001,0.0021,0,1000,19561849
IProb,0.001,0.0005,0,1000,19561850
IProb,0.001,0.0019,0,1000,19561851
IProb,0.001,0.0022,0,1000,19561852
IProb,0.001,0.0003,0,1000,19561853
IProb,0.001,0.0007,0,1000,19561854
IProb,0.001,0.0027,0,1000,19561855
IProb,0.001,0.002,0,1000,19561856
IProb,0.001,0.0013,0,1000,19561857
IProb,0.001,0.0002,0,1000,19561858
IProb,0.001,0.0008,0,1000,19561859
IProb,0.001,0.0005,0,1000,19561860
IProb,0.001,0.0008,0,1000,19561861
IProb,0.001,0.001,0,1000,19561862
IProb,0.001,0.0008,0,1000,19561863
IProb,0.001,0.0004,0,1000,19561864
IProb,0.001,0.0011,0,1000,19561865
IProb,0.001,0.001,0,1000,19561866
IProb,0.001,0.0007,0,1000,19561867
IProb,0.001,0.0033,0,1000,19561868
IProb,0.001,0.0002,0,1000,19561869
IProb,0.001,0.0055,0,1000,19561870
IProb,0.001,0.0029,0,1000,19561871
IProb,0.001,0.0008,0,1000,19561872
IProb,0.001,0.0041,0,1000,19561873
IProb,0.001,0.0027,0,1000,19561874
IProb,0.001,0.0003,0,1000,19561875
IProb,0.001,0.0008,0,1000,19561876
IProb,0.001,0.0006,0,1000,19561877
IProb,0.001,0.0017,0,1000,19561878
IProb,0.001,0.0011,0,1000,19561879
IProb,0.001,0.0014,0,1000,19561880
IProb,0.001,0.0017,0,1000,19561881
IProb,0.001,0.0009,0,1000,19561882
IProb,0.001,0.0008,0,1000,19561883
IProb,0.001,0.0008,0,1000,19561884
IProb,0.001,0.0009,0,1000,19561885
IProb,0.001,0.0005,0,1000,19561886
IProb,0.001,0.0006,0,1000,19561887
IProb,0.001,0.0006,0,1000,19561888
IProb,0.001,0.002,0,1000,19561889
IProb,0.001,0.0007,0,1000,19561890
IProb,0.001,0.0014,0,1000,19561891
IProb,0.001,0.0022,0,1000,19561892
IProb,0.001,0.0002,0,1000,19561893
IProb,0.001,0.0027,0,1000,19561894
IProb,0.001,0.0034,0,1000,19561895
IProb,0.001,0.0005,0,1000,19561896
IProb,0.001,0.0013,0,1000,19561897
IProb,0.001,0.0009,0,1000,19561898
IProb,0.001,0.0004,0,1000,19561899
IProb,0.001,0.0049,0,1000,19561900
IProb,0.001,0.0006,0,1000,19561901
IProb,0.001,0.0022,0,1000,19561902
IProb,0.001,0.0008,0,1000,19561903
IProb,0.001,0.0016,0,1000,19561904
IProb,0.001,0.001,0,1000,19561905
IProb,0.001,0.0047,0,1000,19561906
IProb,0.001,0.0007,0,1000,19561907
IProb,0.001,0.0003,0,1000,19561908
IProb,0.001,0.0016,0,1000,19561909
IProb,0.001,0.0026,0,1000,19561910
IProb,0.001,0.0009,0,1000,19561911
IProb,0.001,0.0049,0,1000,19561912
IProb,0.001,0.0025,0,1000,19561913
IProb,0.001,0.0008,0,1000,19561914
IProb,0.001,0.0008,0,1000,19561915
IProb,0.001,0.0012,0,1000,19561916
IProb,0.001,0.0015,0,1000,19561917
IProb,0.001,0.0013,0,1000,19561918
IProb,0.001,0.0022,0,1000,19561919
IProb,0.001,0.0014,0,1000,19561920
IProb,0.001,0.0001,0,1000,19561921
IProb,0.001,0.0021,0,1000,19561922
IProb,0.001,0.0022,0,1000,19561923
IProb,0.001,0.0006,0,1000,19561924
IProb,0.001,0.0052,0,1000,19561925
IProb,0.001,0.0007,0,1000,19561926
IProb,0.001,0.0006,0,1000,19561927
IProb,0.001,0.0009,0,1000,19561928
IProb,0.001,0.0006,0,1000,19561929
IProb,0.001,0.0003,0,1000,19561930
IAvg,0.5,0.0,2,18,19561831
IAvg,1.0,0.0352,1,11,19561832
IAvg,1.0,0.0,1,9,19561833
IAvg,1.0,0.0,1,10,19561834
IAvg,1.0,0.041,1,11,19561835
IAvg,1.0,0.0,1,9,19561836
IAvg,0.5,0.0,2,12,19561837
IAvg,0.5,0.0,2,10,19561838
IAvg,0.5,0.0,2,9,19561839
IAvg,0.5,0.0,2,11,19561840
IAvg,0.5,0.0,2,12,19561841
IAvg,0.5,0.0,2,9,19561842
IAvg,1.0,0.0,1,13,19561843
IAvg,1.0,0.0,1,11,19561844
IAvg,1.0,0.0,1,9,19561845
IAvg,1.0,0.0,1,10,19561846
IAvg,1.0,0.0,1,8,19561847
IAvg,1.0,0.0,1,8,19561848
IAvg,1.0,0.0,1,11,19561849
IAvg,0.5,0.0,2,9,19561850
IAvg,1.0,0.0,1,11,19561851
IAvg,0.5,0.0215,2,28,19561852
IAvg,0.5,0.0,2,10,19561853
IAvg,1.0,0.0,1,7,19561854
IAvg,1.0,0.0225,1,19,19561855
IAvg,1.0,0.0,1,13,19561856
IAvg,0.5,0.0,2,12,19561857
IAvg,1.0,0.0,1,9,19561858
IAvg,1.0,0.0,1,8,19561859
IAvg,0.5,0.0,2,9,19561860
IAvg,0.5,0.0,2,9,19561861
IAvg,1.0,0.0,1,11,19561862
IAvg,1.0,0.0,1,8,19561863
IAvg,1.0,0.0,1,8,19561864
IAvg,1.0,0.0244,1,14,19561865
IAvg,0.5,0.0293,2,10,19561866
IAvg,1.0,0.0,1,8,19561867
IAvg,1.0,0.042,1,12,19561868
IAvg,0.5,0.0,2,8,19561869
IAvg,1.0,0.0,1,22,19561870
IAvg,1.0,0.0,1,13,19561871
IAvg,1.0,0.0186,1,12,19561872
IAvg,0.5,0.0,2,33,19561873
IAvg,1.0,0.0,1,19,19561874
IAvg,0.5,0.0,2,8,19561875
IAvg,1.0,0.0,1,15,19561876
IAvg,1.0,0.0,1,10,19561877
IAvg,0.5,0.0,2,10,19561878
IAvg,1.0,0.0,1,7,19561879
IAvg,0.5,0.0,2,19,19561880
IAvg,1.0,0.0,1,15,19561881
IAvg,1.0,0.0,1,9,19561882
IAvg,1.0,0.0,1,7,19561883
IAvg,1.0,0.0,1,12,19561884
IAvg,1.0,0.0264,1,10,19561885
IAvg,0.5,0.0,2,13,19561886
IAvg,0.5,0.0,2,8,19561887
IAvg,0.5,0.0,2,10,19561888
IAvg,1.0,0.0,1,10,19561889
IAvg,0.5,0.0,2,14,19561890
IAvg,1.0,0.0322,1,10,19561891
IAvg,1.0,0.0,1,9,19561892
IAvg,0.5,0.0,2,10,19561893
IAvg,1.0,0.0342,1,10,19561894
IAvg,0.5,0.0,2,12,19561895
IAvg,1.0,0.0,1,9,19561896
IAvg,0.5,0.0,2,10,19561897
IAvg,1.0,0.0,1,10,19561898
IAvg,1.0,0.0,1,9,19561899
IAvg,1.0,0.0879,1,15,19561900
IAvg,0.5,0.0,2,9,19561901
IAvg,1.0,0.0605,1,11,19561902
IAvg,0.5,0.0,2,11,19561903
IAvg,1.0,0.04,1,12,19561904
IAvg,1.0,0.0,1,10,19561905
IAvg,1.0,0.04,1,10,19561906
IAvg,0.5,0.0,2,11,19561907
IAvg,0.5,0.0,2,9,19561908
