mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.0102,0,1000,19561831
0,0.001,0.01,0,1000,19561832
0,0.001,0.01,0,1000,19561833
0,0.001,0.01,0,1000,19561834
0,0.001,0.0099,0,1000,19561835
0,0.001,0.0099,0,1000,19561836
0,0.001,0.0099,0,1000,19561837
0,0.001,0.01,0,1000,19561838
0,0.001,0.0101,0,1000,19561839
0,0.001,0.0101,0,1000,19561840
0,0.001,0.0101,0,1000,19561841
0,0.001,0.0099,0,1000,19561842
0,0.001,0.0102,0,1000,19561843
0,0.001,0.0101,0,1000,19561844
0,0.001,0.0101,0,1000,19561845
0,0.001,0.0102,0,1000,19561846
0,0.001,0.01,0,1000,19561847
0,0.001,0.01,0,1000,19561848
0,0.001,0.0101,0,1000,19561849
0,0.001,0.0099,0,1000,19561850
0,0.001,0.0101,0,1000,19561851
0,0.001,0.0103,0,1000,19561852
0,0.001,0.0101,0,1000,19561853
0,0.001,0.01,0,1000,19561854
0,0.001,0.0101,0,1000,19561855
0,0.001,0.01,0,1000,19561856
0,0.001,0.0102,0,1000,19561857
0,0.001,0.01,0,1000,19561858
0,0.001,0.0104,0,1000,19561859
0,0.001,0.0103,0,1000,19561860
0,0.001,0.01,0,1000,19561861
0,0.001,0.0099,0,1000,19561862
0,0.001,0.0101,0,1000,19561863
0,0.001,0.01,0,1000,19561864
0,0.001,0.0099,0,1000,19561865
0,0.001,0.01,0,1000,19561866
0,0.001,0.0101,0,1000,19561867
0,0.001,0.01,0,1000,19561868
0,0.001,0.0101,0,1000,19561869
0,0.001,0.0103,0,1000,19561870
0,0.001,0.0101,0,1000,19561871
0,0.001,0.01,0,1000,19561872
0,0.001,0.0102,0,1000,19561873
0,0.001,0.01,0,1000,19561874
0,0.001,0.0102,0,1000,19561875
0,0.001,0.0101,0,1000,19561876
0,0.001,0.0101,0,1000,19561877
0,0.001,0.0103,0,1000,19561878
0,0.001,0.0099,0,1000,19561879
0,0.001,0.0103,0,1000,19561880
0,0.001,0.0116,0,1000,19561881
0,0.001,0.01,0,1000,19561882
0,0.001,0.0101,0,1000,19561883
0,0.001,0.0102,0,1000,19561884
0,0.001,0.0112,0,1000,19561885
0,0.001,0.0104,0,1000,19561886
0,0.001,0.0099,0,1000,19561887
0,0.001,0.01,0,1000,19561888
0,0.001,0.01,0,1000,19561889
0,0.001,0.01,0,1000,19561890
0,0.001,0.01,0,1000,19561891
0,0.001,0.0099,0,1000,19561892
0,0.001,0.0101,0,1000,19561893
0,0.001,0.0101,0,1000,19561894
0,0.001,0.0099,0,1000,19561895
0,0.001,0.0098,0,1000,19561896
0,0.001,0.0109,0,1000,19561897
0,0.001,0.0106,0,1000,19561898
0,0.001,0.0101,0,1000,19561899
0,0.001,0.0101,0,1000,19561900
0,0.001,0.0102,0,1000,19561901
0,0.001,0.0101,0,1000,19561902
0,0.001,0.01,0,1000,19561903
0,0.001,0.0108,0,1000,19561904
0,0.001,0.01,0,1000,19561905
0,0.001,0.01,0,1000,19561906
0,0.001,0.0111,0,1000,19561907
0,0.001,0.0101,0,1000,19561908
0,0.001,0.01,0,1000,19561909
0,0.001,0.0104,0,1000,19561910
0,0.001,0.0103,0,1000,19561911
0,0.001,0.0099,0,1000,19561912
0,0.001,0.0101,0,1000,19561913
0,0.001,0.0103,0,1000,19561914
0,0.001,0.01,0,1000,19561915
0,0.001,0.0101,0,1000,19561916
0,0.001,0.0122,0,1000,19561917
0,0.001,0.01,0,1000,19561918
0,0.001,0.0101,0,1000,19561919
0,0.001,0.0101,0,1000,19561920
0,0.001,0.0106,0,1000,19561921
0,0.001,0.0101,0,1000,19561922
0,0.001,0.0101,0,1000,19561923
0,0.001,0.01,0,1000,19561924
0,0.001,0.0099,0,1000,19561925
0,0.001,0.0126,0,1000,19561926
0,0.001,0.01,0,1000,19561927
0,0.001,0.0098,0,1000,19561928
0,0.001,0.0101,0,1000,19561929
0,0.001,0.0098,0,1000,19561930
1,0.001,0.1667,0,1000,19561831
1,0.001,0.1633,0,1000,19561832
1,0.001,0.1637,0,1000,19561833
1,0.001,0.1632,0,1000,19561834
1,0.001,0.1641,0,1000,19561835
1,0.001,0.1611,0,1000,19561836
1,0.001,0.1606,0,1000,19561837
1,0.001,0.1635,0,1000,19561838
1,0.001,0.1691,0,1000,19561839
1,0.001,0.1638,0,1000,19561840
1,0.001,0.1656,0,1000,19561841
1,0.001,0.163,0,1000,19561842
1,0.001,0.1664,0,1000,19561843
1,0.001,0.1649,0,1000,19561844
1,0.001,0.1647,0,1000,19561845
1,0.001,0.1659,0,1000,19561846
1,0.001,0.1642,0,1000,19561847
1,0.001,0.167,0,1000,19561848
1,0.001,0.1671,0,1000,19561849
1,0.001,0.1635,0,1000,19561850
1,0.001,0.1663,0,1000,19561851
1,0.001,0.1672,0,1000,19561852
1,0.001,0.167,0,1000,19561853
1,0.001,0.1616,0,1000,19561854
1,0.001,0.1662,0,1000,19561855
1,0.001,0.1656,0,1000,19561856
1,0.001,0.1649,0,1000,19561857
1,0.001,0.1601,0,1000,19561858
1,0.001,0.1632,0,1000,19561859
1,0.001,0.1666,0,1000,19561860
1,0.001,0.1666,0,1000,19561861
1,0.001,0.1633,0,1000,19561862
1,0.001,0.1643,0,1000,19561863
1,0.001,0.1622,0,1000,19561864
1,0.001,0.1628,0,1000,19561865
1,0.001,0.1655,0,1000,19561866
1,0.001,0.1627,0,1000,19561867
1,0.001,0.1667,0,1000,19561868
1,0.001,0.1658,0,1000,19561869
1,0.001,0.1648,0,1000,19561870
1,0.001,0.1635,0,1000,19561871
1,0.001,0.1662,0,1000,19561872
1,0.001,0.1663,0,1000,19561873
1,0.001,0.1662,0,1000,19561874
1,0.001,0.1649,0,1000,19561875
1,0.001,0.1607,0,1000,19561876
1,0.001,0.1652,0,1000,19561877
1,0.001,0.1634,0,1000,19561878
1,0.001,0.1606,0,1000,19561879
1,0.001,0.1661,0,1000,19561880
1,0.001,0.1653,0,1000,19561881
1,0.001,0.1651,0,1000,19561882
1,0.001,0.1637,0,1000,19561883
1,0.001,0.1639,0,1000,19561884
1,0.001,0.1654,0,1000,19561885
1,0.001,0.1672,0,1000,19561886
1,0.001,0.1615,0,1000,19561887
1,0.001,0.1662,0,1000,19561888
1,0.001,0.1658,0,1000,19561889
1,0.001,0.167,0,1000,19561890
1,0.001,0.1647,0,1000,19561891
1,0.001,0.1639,0,1000,19561892
1,0.001,0.1638,0,1000,19561893
1,0.001,0.1634,0,1000,19561894
1,0.001,0.1626,0,1000,19561895
1,0.001,0.1665,0,1000,19561896
1,0.001,0.1664,0,1000,19561897
1,0.001,0.1632,0,1000,19561898
1,0.001,0.1645,0,1000,19561899
1,0.001,0.1654,0,1000,19561900
1,0.001,0.1636,0,1000,19561901
1,0.001,0.166,0,1000,19561902
1,0.001,0.1641,0,1000,19561903
1,0.001,0.169,0,1000,19561904
1,0.001,0.166,0,1000,19561905
1,0.001,0.1628,0,1000,19561906
1,0.001,0.1673,0,1000,19561907
1,0.001,0.1659,0,1000,19561908
1,0.001,0.1663,0,1000,19561909
1,0.001,0.1638,0,1000,19561910
1,0.001,0.1649,0,1000,19561911
1,0.001,0.1607,0,1000,19561912
1,0.001,0.1622,0,1000,19561913
1,0.001,0.1643,0,1000,19561914
1,0.001,0.1638,0,1000,19561915
1,0.001,0.1651,0,1000,19561916
1,0.001,0.1667,0,1000,19561917
1,0.001,0.1629,0,1000,19561918
1,0.001,0.1646,0,1000,19561919
1,0.001,0.1688,0,1000,19561920
1,0.001,0.1657,0,1000,19561921
1,0.001,0.1676,0,1000,19561922
1,0.001,0.1674,0,1000,19561923
1,0.001,0.1631,0,1000,19561924
1,0.001,0.1627,0,1000,19561925
1,0.001,0.1684,0,1000,19561926
1,0.001,0.1661,0,1000,19561927
1,0.001,0.1609,0,1000,19561928
