degree interval,stability,morality,cycle length,generation count,seed
3-8,1.0,0.0,1,3,19561872
3-8,1.0,0.0,1,3,19561873
3-8,1.0,0.0,1,3,19561874
3-8,1.0,0.0,1,4,19561875
3-8,1.0,0.0,1,5,19561876
3-8,1.0,0.0,1,4,19561877
3-8,1.0,0.0,1,4,19561878
3-8,1.0,0.0,1,4,19561879
3-8,1.0,0.0,1,4,19561880
3-8,1.0,0.008,1,4,19561881
3-8,1.0,0.0,1,3,19561882
3-8,1.0,0.0,1,4,19561883
3-8,1.0,0.0,1,4,19561884
3-8,1.0,0.017,1,4,19561885
3-8,1.0,0.0,1,4,19561886
3-8,1.0,0.0,1,3,19561887
3-8,1.0,0.0,1,3,19561888
3-8,1.0,0.0,1,4,19561889
3-8,1.0,0.009,1,4,19561890
3-8,1.0,0.0,1,4,19561891
3-8,1.0,0.0,1,4,19561892
3-8,1.0,0.0,1,4,19561893
3-8,1.0,0.009,1,4,19561894
3-8,1.0,0.0,1,3,19561895
3-8,1.0,0.0,1,4,19561896
3-8,1.0,0.0,1,5,19561897
3-8,1.0,0.0,1,4,19561898
3-8,1.0,0.0,1,4,19561899
3-8,1.0,0.0,1,3,19561900
3-8,1.0,0.0,1,4,19561901
3-8,1.0,0.0,1,4,19561902
3-8,1.0,0.0,1,4,19561903
3-8,1.0,0.0,1,5,19561904
3-8,1.0,0.0,1,4,19561905
3-8,1.0,0.0,1,4,19561906
3-8,1.0,0.0,1,4,19561907
3-8,1.0,0.0,1,3,19561908
3-8,1.0,0.0,1,3,19561909
3-8,1.0,0.0,1,3,19561910
3-8,1.0,0.0,1,4,19561911
3-8,1.0,0.0,1,3,19561912
3-8,1.0,0.0,1,3,19561913
3-8,1.0,0.0,1,4,19561914
3-8,1.0,0.0,1,3,19561915
3-8,1.0,0.0,1,3,19561916
3-8,1.0,0.009,1,4,19561917
3-8,1.0,0.0,1,4,19561918
3-8,1.0,0.0,1,4,19561919
3-8,1.0,0.0,1,4,19561920
3-8,1.0,0.0,1,3,19561921
3-8,1.0,0.009,1,5,19561922
3-8,1.0,0.009,1,5,19561923
3-8,1.0,0.0,1,3,19561924
3-8,1.0,0.009,1,5,19561925
3-8,1.0,0.009,1,4,19561926
3-8,1.0,0.0,1,4,19561927
3-8,1.0,0.0,1,3,19561928
3-8,1.0,0.0,1,4,19561929
3-8,1.0,0.0,1,4,19561930
