wrap around,stability,morality,cycle length,generation count,seed
false,1.0,0.923,1,20,19561885
false,1.0,0.935,1,18,19561886
false,1.0,0.96,1,14,19561887
false,1.0,0.955,1,19,19561888
false,1.0,0.924,1,31,19561889
false,1.0,0.921,1,22,19561890
false,1.0,0.955,1,15,19561891
false,1.0,0.981,1,11,19561892
false,1.0,0.931,1,18,19561893
false,1.0,0.946,1,15,19561894
false,1.0,0.949,1,15,19561895
false,1.0,0.962,1,13,19561896
false,1.0,0.886,1,17,19561897
false,1.0,0.98,1,16,19561898
false,1.0,0.957,1,22,19561899
false,1.0,0.948,1,57,19561900
false,1.0,0.935,1,26,19561901
false,1.0,0.919,1,19,19561902
false,1.0,0.964,1,13,19561903
false,1.0,0.973,1,18,19561904
false,1.0,0.965,1,8,19561905
false,1.0,0.947,1,29,19561906
false,1.0,0.946,1,15,19561907
false,1.0,0.941,1,28,19561908
false,1.0,0.957,1,19,19561909
false,1.0,0.893,1,23,19561910
false,1.0,0.982,1,12,19561911
false,1.0,0.145,1,10,19561912
false,1.0,0.95,1,17,19561913
false,1.0,0.943,1,15,19561914
false,1.0,0.952,1,16,19561915
false,1.0,0.945,1,30,19561916
false,1.0,0.978,1,20,19561917
false,1.0,0.937,1,22,19561918
false,1.0,0.981,1,11,19561919
false,1.0,0.868,1,26,19561920
false,1.0,0.984,1,16,19561921
false,1.0,0.91,1,27,19561922
false,1.0,0.972,1,19,19561923
false,1.0,0.953,1,41,19561924
false,1.0,0.977,1,18,19561925
false,1.0,0.944,1,42,19561926
false,1.0,0.948,1,18,19561927
false,1.0,0.905,1,23,19561928
false,1.0,0.935,1,20,19561929
false,1.0,0.971,1,17,19561930
