beta,stability,morality,cycle length,generation count,seed
0.03,1.0,0.959,1,37,19561831
0.03,1.0,0.892,1,29,19561832
0.03,1.0,0.996,1,19,19561833
0.03,1.0,0.983,1,30,19561834
0.03,1.0,0.997,1,77,19561835
0.03,1.0,0.995,1,25,19561836
0.03,1.0,0.9,1,33,19561837
0.03,1.0,0.976,1,47,19561838
0.03,1.0,0.985,1,16,19561839
0.03,1.0,0.942,1,34,19561840
0.03,1.0,0.992,1,21,19561841
0.03,1.0,0.999,1,21,19561842
0.03,1.0,0.993,1,25,19561843
0.03,1.0,0.926,1,26,19561844
0.03,1.0,0.959,1,33,19561845
0.03,1.0,0.89,1,30,19561846
0.03,1.0,0.976,1,35,19561847
0.03,1.0,0.995,1,16,19561848
0.03,1.0,0.995,1,19,19561849
0.03,1.0,0.98,1,36,19561850
0.03,1.0,0.994,1,36,19561851
0.03,1.0,0.996,1,10,19561852
0.03,1.0,0.996,1,17,19561853
0.03,1.0,0.988,1,29,19561854
0.03,1.0,0.957,1,29,19561855
0.03,1.0,0.999,1,33,19561856
0.03,1.0,0.969,1,28,19561857
0.03,1.0,0.998,1,33,19561858
0.03,1.0,0.994,1,28,19561859
0.03,1.0,0.994,1,39,19561860
0.03,1.0,0.979,1,43,19561861
0.03,1.0,0.957,1,29,19561862
0.03,1.0,0.99,1,35,19561863
0.03,1.0,0.998,1,11,19561864
0.03,1.0,0.973,1,29,19561865
0.03,1.0,0.995,1,13,19561866
0.03,1.0,0.99,1,10,19561867
0.03,1.0,1.0,1,28,19561868
0.03,1.0,0.989,1,17,19561869
0.03,1.0,0.94,1,45,19561870
0.03,1.0,0.996,1,33,19561871
0.03,1.0,0.991,1,37,19561872
0.03,1.0,0.984,1,22,19561873
0.03,1.0,0.969,1,48,19561874
0.03,1.0,0.954,1,28,19561875
0.03,1.0,0.978,1,40,19561876
0.03,1.0,0.978,1,28,19561877
0.03,1.0,0.968,1,27,19561878
0.03,1.0,0.987,1,77,19561879
0.03,1.0,0.993,1,15,19561880
0.03,1.0,0.996,1,23,19561881
0.03,1.0,0.993,1,29,19561882
0.03,1.0,0.995,1,35,19561883
0.03,1.0,0.997,1,22,19561884
0.03,1.0,1.0,1,38,19561885
0.03,1.0,0.936,1,27,19561886
0.03,1.0,0.995,1,44,19561887
0.03,1.0,0.98,1,24,19561888
0.03,1.0,0.967,1,15,19561889
0.03,1.0,0.981,1,22,19561890
0.03,1.0,0.949,1,25,19561891
0.03,1.0,0.965,1,24,19561892
0.03,1.0,0.948,1,58,19561893
0.03,1.0,0.969,1,32,19561894
0.03,1.0,0.968,1,31,19561895
0.03,1.0,0.997,1,25,19561896
0.03,1.0,0.977,1,21,19561897
0.03,1.0,0.878,1,23,19561898
0.03,1.0,0.985,1,36,19561899
0.03,1.0,0.983,1,27,19561900
0.03,1.0,0.964,1,44,19561901
0.03,1.0,0.993,1,16,19561902
0.03,1.0,0.969,1,31,19561903
0.03,1.0,0.996,1,24,19561904
0.03,1.0,0.987,1,16,19561905
0.03,1.0,0.988,1,20,19561906
0.03,1.0,0.995,1,25,19561907
0.03,1.0,0.996,1,46,19561908
0.03,1.0,0.998,1,16,19561909
0.03,1.0,0.997,1,14,19561910
0.03,1.0,0.975,1,29,19561911
0.03,1.0,0.983,1,14,19561912
0.03,1.0,0.972,1,21,19561913
0.03,1.0,0.997,1,13,19561914
0.03,1.0,0.991,1,36,19561915
0.03,1.0,0.947,1,40,19561916
0.03,1.0,0.966,1,26,19561917
0.03,1.0,0.934,1,21,19561918
0.03,1.0,0.99,1,26,19561919
0.03,1.0,0.977,1,45,19561920
0.03,1.0,0.998,1,39,19561921
0.03,1.0,0.991,1,14,19561922
0.03,1.0,0.992,1,30,19561923
0.03,1.0,0.995,1,25,19561924
0.03,1.0,0.906,1,16,19561925
0.03,1.0,1.0,1,57,19561926
0.03,1.0,0.991,1,21,19561927
0.03,1.0,0.993,1,27,19561928
0.03,1.0,0.989,1,53,19561929
0.03,1.0,0.976,1,21,19561930
0.07,1.0,0.957,1,24,19561831
0.07,1.0,0.962,1,32,19561832
0.07,1.0,0.874,1,32,19561833
0.07,1.0,0.913,1,48,19561834
0.07,1.0,0.846,1,26,19561835
0.07,1.0,0.992,1,14,19561836
0.07,1.0,0.919,1,44,19561837
0.07,1.0,0.98,1,35,19561838
0.07,1.0,0.738,1,37,19561839
0.07,1.0,0.991,1,10,19561840
0.07,1.0,0.985,1,24,19561841
0.07,1.0,0.972,1,13,19561842
0.07,1.0,0.988,1,39,19561843
0.07,1.0,0.93,1,49,19561844
0.07,1.0,0.954,1,14,19561845
0.07,1.0,0.942,1,27,19561846
0.07,1.0,0.885,1,83,19561847
0.07,1.0,0.959,1,11,19561848
0.07,1.0,0.937,1,21,19561849
0.07,1.0,0.954,1,24,19561850
0.07,1.0,0.848,1,37,19561851
0.07,1.0,0.927,1,26,19561852
0.07,1.0,0.957,1,19,19561853
0.07,1.0,0.937,1,21,19561854
0.07,1.0,0.969,1,52,19561855
0.07,1.0,0.993,1,13,19561856
0.07,1.0,0.94,1,80,19561857
0.07,1.0,0.987,1,15,19561858
0.07,1.0,0.968,1,17,19561859
0.07,1.0,0.968,1,21,19561860
0.07,1.0,0.851,1,28,19561861
