initial moral mean,stability,morality,cycle length,generation count,seed
0.5,1.0,0.952,1,22,19561869
0.5,1.0,0.921,1,15,19561870
0.5,1.0,0.913,1,15,19561871
0.5,1.0,0.927,1,29,19561872
0.5,1.0,0.895,1,32,19561873
0.5,1.0,0.963,1,12,19561874
0.5,1.0,0.97,1,9,19561875
0.5,1.0,0.954,1,17,19561876
0.5,1.0,0.981,1,25,19561877
0.5,1.0,0.974,1,22,19561878
0.5,1.0,0.961,1,14,19561879
0.5,1.0,0.888,1,24,19561880
0.5,1.0,0.885,1,17,19561881
0.5,1.0,0.87,1,22,19561882
0.5,1.0,0.982,1,10,19561883
0.5,1.0,0.85,1,22,19561884
0.5,1.0,0.929,1,15,19561885
0.5,1.0,0.961,1,44,19561886
0.5,1.0,0.849,1,25,19561887
0.5,1.0,0.945,1,26,19561888
0.5,1.0,0.937,1,12,19561889
0.5,1.0,0.948,1,14,19561890
0.5,1.0,0.959,1,14,19561891
0.5,1.0,0.928,1,48,19561892
0.5,1.0,0.81,1,21,19561893
0.5,1.0,0.976,1,20,19561894
0.5,1.0,0.97,1,13,19561895
0.5,1.0,0.893,1,31,19561896
0.5,1.0,0.964,1,12,19561897
0.5,1.0,0.963,1,10,19561898
0.5,1.0,0.897,1,19,19561899
0.5,1.0,0.882,1,22,19561900
0.5,1.0,0.938,1,21,19561901
0.5,1.0,0.958,1,27,19561902
0.5,1.0,0.945,1,19,19561903
0.5,1.0,0.87,1,55,19561904
0.5,1.0,0.903,1,17,19561905
0.5,1.0,0.975,1,16,19561906
0.5,1.0,0.821,1,37,19561907
0.5,1.0,0.926,1,20,19561908
0.5,1.0,0.975,1,19,19561909
0.5,1.0,0.928,1,16,19561910
0.5,1.0,0.95,1,21,19561911
0.5,1.0,0.96,1,14,19561912
0.5,1.0,0.944,1,21,19561913
0.5,1.0,0.983,1,14,19561914
0.5,1.0,0.947,1,15,19561915
0.5,1.0,0.964,1,26,19561916
0.5,1.0,0.869,1,23,19561917
0.5,1.0,0.984,1,13,19561918
0.5,1.0,0.925,1,23,19561919
0.5,1.0,0.947,1,17,19561920
0.5,1.0,0.976,1,13,19561921
0.5,1.0,0.908,1,21,19561922
0.5,1.0,0.963,1,17,19561923
0.5,1.0,0.887,1,18,19561924
0.5,1.0,0.881,1,22,19561925
0.5,1.0,0.941,1,17,19561926
0.5,1.0,0.867,1,48,19561927
0.5,1.0,0.965,1,21,19561928
0.5,1.0,0.936,1,26,19561929
0.5,1.0,0.914,1,13,19561930
0.75,1.0,0.954,1,18,19561831
0.75,1.0,0.975,1,13,19561832
0.75,1.0,0.962,1,9,19561833
0.75,1.0,0.956,1,19,19561834
0.75,1.0,0.977,1,9,19561835
0.75,1.0,0.976,1,15,19561836
0.75,1.0,0.947,1,9,19561837
0.75,1.0,0.988,1,12,19561838
0.75,1.0,0.949,1,17,19561839
0.75,1.0,0.987,1,11,19561840
0.75,1.0,0.963,1,11,19561841
0.75,1.0,0.957,1,11,19561842
0.75,1.0,0.929,1,14,19561843
0.75,1.0,0.989,1,7,19561844
0.75,1.0,0.937,1,34,19561845
0.75,1.0,0.954,1,26,19561846
0.75,1.0,0.987,1,16,19561847
0.75,1.0,0.94,1,11,19561848
0.75,1.0,0.989,1,14,19561849
0.75,1.0,0.961,1,19,19561850
0.75,1.0,0.968,1,14,19561851
0.75,1.0,0.967,1,9,19561852
0.75,1.0,0.98,1,10,19561853
0.75,1.0,0.969,1,10,19561854
0.75,1.0,0.954,1,12,19561855
0.75,1.0,0.964,1,15,19561856
0.75,1.0,0.981,1,15,19561857
0.75,1.0,0.967,1,8,19561858
0.75,1.0,0.989,1,10,19561859
0.75,1.0,0.979,1,10,19561860
0.75,1.0,0.955,1,15,19561861
0.75,1.0,0.988,1,23,19561862
0.75,1.0,0.956,1,13,19561863
0.75,1.0,0.949,1,16,19561864
0.75,1.0,0.96,1,15,19561865
0.75,1.0,0.953,1,11,19561866
0.75,1.0,0.981,1,13,19561867
0.75,1.0,0.976,1,12,19561868
0.75,1.0,0.988,1,13,19561869
0.75,1.0,0.94,1,13,19561870
0.75,1.0,0.975,1,10,19561871
0.75,1.0,0.974,1,20,19561872
0.75,1.0,0.942,1,21,19561873
0.75,1.0,0.989,1,12,19561874
0.75,1.0,0.98,1,8,19561875
0.75,1.0,0.948,1,11,19561876
0.75,1.0,0.983,1,16,19561877
0.75,1.0,0.984,1,11,19561878
0.75,1.0,0.971,1,12,19561879
0.75,1.0,0.951,1,18,19561880
0.75,1.0,0.965,1,11,19561881
0.75,1.0,0.935,1,15,19561882
0.75,1.0,0.992,1,9,19561883
0.75,1.0,0.973,1,16,19561884
0.75,1.0,0.977,1,11,19561885
0.75,1.0,0.952,1,18,19561886
0.75,1.0,0.954,1,29,19561887
0.75,1.0,0.963,1,14,19561888
0.75,1.0,0.972,1,11,19561889
0.75,1.0,0.968,1,11,19561890
0.75,1.0,0.972,1,11,19561891
0.75,1.0,0.951,1,12,19561892
0.75,1.0,0.969,1,23,19561893
0.75,1.0,0.988,1,12,19561894
0.75,1.0,0.981,1,10,19561895
0.75,1.0,0.96,1,23,19561896
0.75,1.0,0.978,1,10,19561897
0.75,1.0,0.989,1,10,19561898
0.75,1.0,0.975,1,12,19561899
0.75,1.0,0.939,1,15,19561900
0.75,1.0,0.964,1,12,19561901
0.75,1.0,0.97,1,13,19561902
0.75,1.0,0.952,1,17,19561903
0.75,1.0,0.838,1,21,19561904
0.75,1.0,0.97,1,12,19561905
0.75,1.0,0.981,1,11,19561906
0.75,1.0,0.952,1,18,19561907
0.75,1.0,0.956,1,15,19561908
0.75,1.0,0.967,1,11,19561909
0.75,1.0,0.994,1,14,19561910
0.75,1.0,0.955,1,14,19561911
0.75,1.0,0.978,1,8,19561912
0.75,1.0,0.942,1,18,19561913
0.75,1.0,0.971,1,13,19561914
0.75,1.0,0.943,1,11,19561915
0.75,1.0,0.954,1,16,19561916
0.75,1.0,0.928,1,14,19561917
0.75,1.0,0.965,1,16,19561918
0.75,1.0,0.983,1,12,19561919
0.75,1.0,0.95,1,13,19561920
0.75,1.0,0.962,1,11,19561921
0.75,1.0,0.968,1,12,19561922
0.75,1.0,0.959,1,10,19561923
0.75,1.0,0.952,1,11,19561924
0.75,1.0,0.971,1,15,19561925
0.75,1.0,0.947,1,12,19561926
0.75,1.0,0.853,1,19,19561927
0.75,1.0,0.962,1,12,19561928
0.75,1.0,0.968,1,17,19561929
0.75,1.0,0.956,1,10,19561930
