defection incentive,stability,morality,cycle length,generation count,seed
0.2,1.0,0.069,1,3,19561831
0.2,1.0,0.048,1,3,19561832
0.2,1.0,0.051,1,3,19561833
0.2,1.0,0.042,1,3,19561834
0.2,1.0,0.064,1,3,19561835
0.2,1.0,0.056,1,3,19561836
0.2,1.0,0.06,1,3,19561837
0.2,1.0,0.124,1,3,19561838
0.2,1.0,0.06,1,3,19561839
0.2,1.0,0.053,1,3,19561840
0.2,1.0,0.06,1,3,19561841
0.2,1.0,0.049,1,3,19561842
0.2,1.0,0.038,1,3,19561843
0.2,1.0,0.047,1,3,19561844
0.2,1.0,0.055,1,3,19561845
0.2,1.0,0.161,1,3,19561846
0.2,1.0,0.063,1,3,19561847
0.2,1.0,0.064,1,3,19561848
0.2,1.0,0.061,1,3,19561849
0.2,1.0,0.088,1,3,19561850
0.2,1.0,0.14,1,3,19561851
0.2,1.0,0.078,1,3,19561852
0.2,1.0,0.095,1,3,19561853
0.2,1.0,0.146,1,3,19561854
0.2,1.0,0.125,1,3,19561855
0.2,1.0,0.078,1,3,19561856
0.2,1.0,0.128,1,3,19561857
0.2,1.0,0.172,1,3,19561858
0.2,1.0,0.016,1,3,19561859
0.2,1.0,0.034,1,3,19561860
0.2,1.0,0.031,1,3,19561861
0.2,1.0,0.087,1,3,19561862
0.2,1.0,0.059,1,3,19561863
0.2,1.0,0.116,1,3,19561864
0.2,1.0,0.086,1,3,19561865
0.2,1.0,0.049,1,3,19561866
0.2,1.0,0.081,1,3,19561867
0.2,1.0,0.067,1,2,19561868
0.2,1.0,0.099,1,3,19561869
0.2,1.0,0.016,1,2,19561870
0.2,1.0,0.028,1,3,19561871
0.2,1.0,0.079,1,3,19561872
0.2,1.0,0.031,1,3,19561873
0.2,1.0,0.053,1,3,19561874
0.2,1.0,0.12,1,3,19561875
0.2,1.0,0.048,1,3,19561876
0.2,1.0,0.074,1,3,19561877
0.2,1.0,0.096,1,3,19561878
0.2,1.0,0.039,1,3,19561879
0.2,1.0,0.134,1,3,19561880
0.2,1.0,0.103,1,3,19561881
0.2,1.0,0.055,1,3,19561882
0.2,1.0,0.055,1,3,19561883
0.2,1.0,0.149,1,3,19561884
0.2,1.0,0.053,1,3,19561885
0.2,1.0,0.076,1,3,19561886
0.2,1.0,0.13,1,3,19561887
0.2,1.0,0.035,1,3,19561888
0.2,1.0,0.063,1,3,19561889
0.2,1.0,0.037,1,3,19561890
0.2,1.0,0.064,1,3,19561891
0.2,1.0,0.03,1,3,19561892
0.2,1.0,0.119,1,3,19561893
0.2,1.0,0.042,1,3,19561894
0.2,1.0,0.064,1,3,19561895
0.2,1.0,0.089,1,3,19561896
0.2,1.0,0.051,1,3,19561897
0.2,1.0,0.081,1,3,19561898
0.2,1.0,0.066,1,3,19561899
0.2,1.0,0.006,1,2,19561900
0.2,1.0,0.07,1,3,19561901
0.2,1.0,0.169,1,3,19561902
0.2,1.0,0.015,1,3,19561903
0.2,1.0,0.027,1,3,19561904
0.2,1.0,0.056,1,3,19561905
0.2,1.0,0.064,1,3,19561906
0.2,1.0,0.068,1,3,19561907
0.2,1.0,0.152,1,3,19561908
0.2,1.0,0.049,1,3,19561909
0.2,1.0,0.025,1,3,19561910
0.2,1.0,0.09,1,3,19561911
0.2,1.0,0.046,1,3,19561912
0.2,1.0,0.026,1,3,19561913
0.2,1.0,0.095,1,3,19561914
0.2,1.0,0.053,1,3,19561915
0.2,1.0,0.063,1,3,19561916
0.2,1.0,0.037,1,3,19561917
0.2,1.0,0.111,1,2,19561918
0.2,1.0,0.063,1,3,19561919
0.2,1.0,0.062,1,3,19561920
0.2,1.0,0.085,1,3,19561921
0.2,1.0,0.044,1,3,19561922
0.2,1.0,0.055,1,3,19561923
0.2,1.0,0.073,1,3,19561924
0.2,1.0,0.022,1,2,19561925
0.2,1.0,0.131,1,3,19561926
0.2,1.0,0.052,1,3,19561927
0.2,1.0,0.139,1,3,19561928
0.2,1.0,0.105,1,3,19561929
0.2,1.0,0.058,1,3,19561930
1.0,1.0,0.0,1,4,19561831
1.0,1.0,0.0,1,4,19561832
1.0,1.0,0.0,1,4,19561833
1.0,1.0,0.0,1,3,19561834
1.0,1.0,0.0,1,4,19561835
1.0,1.0,0.0,1,4,19561836
1.0,1.0,0.0,1,4,19561837
1.0,1.0,0.006,1,6,19561838
1.0,1.0,0.0,1,4,19561839
1.0,1.0,0.0,1,4,19561840
1.0,1.0,0.0,1,4,19561841
1.0,1.0,0.0,1,3,19561842
1.0,1.0,0.0,1,5,19561843
1.0,1.0,0.0,1,4,19561844
1.0,1.0,0.0,1,3,19561845
1.0,1.0,0.0,1,6,19561846
1.0,1.0,0.0,1,5,19561847
1.0,1.0,0.0,1,4,19561848
1.0,1.0,0.0,1,5,19561849
1.0,1.0,0.0,1,8,19561850
1.0,1.0,0.0,1,6,19561851
1.0,1.0,0.0,1,4,19561852
1.0,1.0,0.0,1,4,19561853
1.0,1.0,0.0,1,6,19561854
1.0,1.0,0.0,1,4,19561855
1.0,1.0,0.0,1,5,19561856
1.0,1.0,0.0,1,4,19561857
1.0,1.0,0.0,1,6,19561858
