mutation probability,stability,morality,cycle length,generation count,seed
0.01,0.001,0.9876,0,1000,19561837
0.01,0.001,0.9835,0,1000,19561838
0.01,0.001,0.9886,0,1000,19561839
0.01,0.001,0.9882,0,1000,19561840
0.01,0.001,0.9869,0,1000,19561841
0.01,0.001,0.987,0,1000,19561842
0.01,0.001,0.9874,0,1000,19561843
0.01,0.001,0.9875,0,1000,19561844
0.01,0.001,0.9872,0,1000,19561845
0.01,0.001,0.9855,0,1000,19561846
0.01,0.001,0.9873,0,1000,19561847
0.01,0.001,0.9876,0,1000,19561848
0.01,0.001,0.9868,0,1000,19561849
0.01,0.001,0.9874,0,1000,19561850
0.01,0.001,0.9859,0,1000,19561851
0.01,0.001,0.9867,0,1000,19561852
0.01,0.001,0.988,0,1000,19561853
0.01,0.001,0.987,0,1000,19561854
0.01,0.001,0.9855,0,1000,19561855
0.01,0.001,0.9876,0,1000,19561856
0.01,0.001,0.9863,0,1000,19561857
0.01,0.001,0.9871,0,1000,19561858
0.01,0.001,0.9874,0,1000,19561859
0.01,0.001,0.9881,0,1000,19561860
0.01,0.001,0.989,0,1000,19561861
0.01,0.001,0.9875,0,1000,19561862
0.01,0.001,0.9871,0,1000,19561863
0.01,0.001,0.9871,0,1000,19561864
0.01,0.001,0.9852,0,1000,19561865
0.01,0.001,0.9873,0,1000,19561866
0.01,0.001,0.988,0,1000,19561867
0.01,0.001,0.988,0,1000,19561868
0.01,0.001,0.9876,0,1000,19561869
0.01,0.001,0.9879,0,1000,19561870
0.01,0.001,0.9871,0,1000,19561871
0.01,0.001,0.9874,0,1000,19561872
0.01,0.001,0.9879,0,1000,19561873
0.01,0.001,0.987,0,1000,19561874
0.01,0.001,0.9871,0,1000,19561875
0.01,0.001,0.9876,0,1000,19561876
0.01,0.001,0.9873,0,1000,19561877
0.01,0.001,0.9867,0,1000,19561878
0.01,0.001,0.9878,0,1000,19561879
0.01,0.001,0.9857,0,1000,19561880
0.01,0.001,0.9868,0,1000,19561881
0.01,0.001,0.9879,0,1000,19561882
0.01,0.001,0.9869,0,1000,19561883
0.01,0.001,0.9864,0,1000,19561884
0.01,0.001,0.9886,0,1000,19561885
0.01,0.001,0.9863,0,1000,19561886
0.01,0.001,0.9851,0,1000,19561887
0.01,0.001,0.9893,0,1000,19561888
0.01,0.001,0.987,0,1000,19561889
