learning rule,stability,morality,cycle length,generation count,seed
IAvg,1.0,1.0,1,24,19561884
IAvg,1.0,1.0,1,11,19561885
IAvg,1.0,1.0,1,20,19561886
IAvg,1.0,1.0,1,17,19561887
IAvg,1.0,1.0,1,7,19561888
IAvg,1.0,1.0,1,15,19561889
IAvg,1.0,1.0,1,15,19561890
IAvg,1.0,1.0,1,13,19561891
IAvg,1.0,1.0,1,14,19561892
IAvg,1.0,1.0,1,28,19561893
IAvg,1.0,1.0,1,20,19561894
IAvg,1.0,1.0,1,17,19561895
IAvg,1.0,1.0,1,29,19561896
IAvg,1.0,1.0,1,23,19561897
IAvg,1.0,1.0,1,12,19561898
IAvg,1.0,1.0,1,14,19561899
IAvg,1.0,1.0,1,13,19561900
IAvg,1.0,1.0,1,19,19561901
IAvg,1.0,1.0,1,24,19561902
IAvg,1.0,1.0,1,12,19561903
IAvg,1.0,1.0,1,11,19561904
IAvg,1.0,1.0,1,17,19561905
IAvg,1.0,1.0,1,18,19561906
IAvg,1.0,1.0,1,15,19561907
IAvg,1.0,1.0,1,24,19561908
IAvg,1.0,1.0,1,16,19561909
IAvg,1.0,1.0,1,15,19561910
IAvg,1.0,1.0,1,16,19561911
IAvg,1.0,1.0,1,14,19561912
IAvg,1.0,1.0,1,16,19561913
IAvg,1.0,1.0,1,23,19561914
IAvg,1.0,1.0,1,12,19561915
IAvg,1.0,1.0,1,15,19561916
IAvg,1.0,1.0,1,15,19561917
IAvg,1.0,1.0,1,23,19561918
IAvg,1.0,1.0,1,17,19561919
IAvg,1.0,1.0,1,17,19561920
IAvg,1.0,1.0,1,18,19561921
IAvg,1.0,1.0,1,22,19561922
IAvg,1.0,1.0,1,13,19561923
IAvg,1.0,1.0,1,20,19561924
IAvg,1.0,1.0,1,9,19561925
IAvg,1.0,1.0,1,21,19561926
IAvg,1.0,1.0,1,12,19561927
IAvg,1.0,1.0,1,21,19561928
IAvg,1.0,1.0,1,12,19561929
IAvg,1.0,1.0,1,11,19561930
BestR,0.5,0.17,2,9,19561831
BestR,0.5,0.3065,2,9,19561832
BestR,0.5,0.411,2,9,19561833
BestR,0.5,0.236,2,9,19561834
