population size,stability,morality,cycle length,generation count,seed
100,1.0,1.0,1,17,19561895
100,1.0,1.0,1,11,19561896
100,1.0,1.0,1,10,19561897
100,1.0,1.0,1,8,19561898
100,1.0,1.0,1,10,19561899
100,1.0,1.0,1,10,19561900
100,1.0,1.0,1,13,19561901
100,1.0,1.0,1,31,19561902
100,1.0,1.0,1,12,19561903
100,1.0,1.0,1,6,19561904
100,1.0,1.0,1,16,19561905
100,1.0,1.0,1,10,19561906
100,1.0,1.0,1,8,19561907
100,1.0,1.0,1,19,19561908
100,1.0,1.0,1,11,19561909
100,1.0,1.0,1,17,19561910
100,1.0,1.0,1,10,19561911
100,1.0,1.0,1,12,19561912
100,1.0,1.0,1,19,19561913
100,1.0,1.0,1,26,19561914
100,1.0,1.0,1,8,19561915
100,1.0,1.0,1,13,19561916
100,1.0,1.0,1,9,19561917
100,1.0,1.0,1,7,19561918
100,1.0,1.0,1,9,19561919
100,1.0,1.0,1,18,19561920
100,1.0,1.0,1,16,19561921
100,1.0,1.0,1,12,19561922
100,1.0,1.0,1,18,19561923
100,1.0,1.0,1,19,19561924
100,1.0,1.0,1,8,19561925
100,1.0,1.0,1,9,19561926
100,1.0,1.0,1,9,19561927
100,1.0,1.0,1,11,19561928
100,1.0,1.0,1,9,19561929
100,1.0,1.0,1,10,19561930
1000,1.0,1.0,1,29,19561831
1000,1.0,1.0,1,18,19561832
1000,1.0,1.0,1,14,19561833
1000,1.0,1.0,1,20,19561834
1000,1.0,1.0,1,18,19561835
1000,1.0,1.0,1,18,19561836
1000,1.0,1.0,1,16,19561837
1000,1.0,1.0,1,44,19561838
1000,1.0,1.0,1,11,19561839
1000,1.0,1.0,1,11,19561840
1000,1.0,1.0,1,23,19561841
1000,1.0,1.0,1,17,19561842
1000,1.0,1.0,1,15,19561843
1000,1.0,1.0,1,14,19561844
1000,1.0,1.0,1,18,19561845
1000,1.0,1.0,1,28,19561846
1000,1.0,1.0,1,16,19561847
1000,1.0,1.0,1,17,19561848
1000,1.0,1.0,1,21,19561849
1000,1.0,1.0,1,15,19561850
1000,1.0,1.0,1,29,19561851
1000,1.0,1.0,1,15,19561852
1000,1.0,1.0,1,20,19561853
1000,1.0,1.0,1,22,19561854
1000,1.0,1.0,1,27,19561855
1000,1.0,1.0,1,18,19561856
