degree interval,stability,morality,cycle length,generation count,seed
3-8,1.0,0.998,1,7,19561874
3-8,1.0,0.997,1,8,19561875
3-8,1.0,0.998,1,9,19561876
3-8,1.0,0.998,1,7,19561877
3-8,1.0,1.0,1,8,19561878
3-8,1.0,1.0,1,7,19561879
3-8,1.0,1.0,1,6,19561880
3-8,1.0,1.0,1,7,19561881
3-8,1.0,0.998,1,6,19561882
3-8,1.0,0.989,1,7,19561883
3-8,1.0,0.999,1,8,19561884
3-8,1.0,0.994,1,7,19561885
3-8,1.0,0.996,1,9,19561886
3-8,1.0,1.0,1,7,19561887
3-8,1.0,1.0,1,9,19561888
3-8,1.0,1.0,1,6,19561889
3-8,1.0,0.995,1,6,19561890
3-8,1.0,0.999,1,7,19561891
3-8,1.0,1.0,1,6,19561892
3-8,1.0,1.0,1,7,19561893
3-8,1.0,0.998,1,7,19561894
3-8,1.0,0.99,1,7,19561895
3-8,1.0,0.998,1,7,19561896
3-8,1.0,0.998,1,7,19561897
3-8,1.0,0.999,1,5,19561898
3-8,1.0,1.0,1,8,19561899
3-8,1.0,1.0,1,8,19561900
3-8,1.0,1.0,1,7,19561901
3-8,1.0,0.997,1,9,19561902
3-8,1.0,0.997,1,7,19561903
3-8,1.0,0.997,1,7,19561904
3-8,1.0,0.994,1,8,19561905
3-8,1.0,0.999,1,7,19561906
3-8,1.0,1.0,1,7,19561907
3-8,1.0,0.993,1,7,19561908
3-8,1.0,0.998,1,7,19561909
3-8,1.0,0.996,1,6,19561910
3-8,1.0,0.998,1,7,19561911
3-8,1.0,0.997,1,5,19561912
3-8,1.0,1.0,1,8,19561913
3-8,1.0,1.0,1,8,19561914
3-8,1.0,0.999,1,7,19561915
3-8,1.0,0.996,1,6,19561916
3-8,1.0,0.997,1,5,19561917
3-8,1.0,0.997,1,8,19561918
3-8,1.0,1.0,1,8,19561919
3-8,1.0,0.992,1,7,19561920
3-8,1.0,1.0,1,6,19561921
3-8,1.0,0.997,1,7,19561922
3-8,1.0,0.998,1,9,19561923
3-8,1.0,1.0,1,6,19561924
3-8,1.0,1.0,1,8,19561925
3-8,1.0,0.998,1,7,19561926
3-8,1.0,0.999,1,10,19561927
3-8,1.0,0.999,1,7,19561928
3-8,1.0,1.0,1,7,19561929
3-8,1.0,0.995,1,8,19561930
