risk dominance,stability,morality,cycle length,generation count,seed
false,1.0,1.0,1,5,19561913
false,1.0,1.0,1,6,19561914
false,1.0,0.082,1,4,19561915
false,1.0,1.0,1,4,19561916
false,1.0,1.0,1,4,19561917
false,1.0,1.0,1,6,19561918
false,1.0,0.193,1,8,19561919
false,1.0,0.021,1,4,19561920
false,1.0,1.0,1,5,19561921
false,1.0,1.0,1,5,19561922
false,1.0,1.0,1,6,19561923
false,1.0,1.0,1,7,19561924
false,1.0,1.0,1,4,19561925
false,1.0,1.0,1,5,19561926
false,1.0,1.0,1,5,19561927
false,1.0,1.0,1,10,19561928
false,1.0,1.0,1,6,19561929
false,1.0,1.0,1,6,19561930
