population size,stability,morality,cycle length,generation count,seed
1000,0.5,0.2825,2,13,19561881
1000,1.0,0.276,1,12,19561882
1000,1.0,0.087,1,11,19561883
1000,0.25,0.038,4,24,19561884
1000,0.5,0.1235,2,17,19561885
1000,0.5,0.158,2,11,19561886
1000,0.5,0.2525,2,18,19561887
1000,0.5,0.1575,2,13,19561888
1000,0.5,0.221,2,15,19561889
1000,1.0,0.325,1,12,19561890
1000,0.5,0.197,2,13,19561891
1000,0.5,0.2715,2,14,19561892
1000,0.5,0.181,2,17,19561893
1000,0.5,0.292,2,18,19561894
1000,0.5,0.0985,2,11,19561895
1000,1.0,0.18,1,10,19561896
1000,0.5,0.1095,2,12,19561897
1000,0.5,0.253,2,16,19561898
1000,1.0,0.266,1,16,19561899
1000,1.0,0.343,1,13,19561900
1000,0.5,0.2305,2,13,19561901
1000,0.5,0.1205,2,13,19561902
1000,0.5,0.1435,2,16,19561903
1000,1.0,0.4,1,13,19561904
1000,1.0,0.167,1,10,19561905
1000,0.5,0.1765,2,12,19561906
1000,0.5,0.155,2,16,19561907
1000,0.5,0.424,2,12,19561908
1000,1.0,0.117,1,11,19561909
1000,0.5,0.259,2,17,19561910
1000,1.0,0.086,1,13,19561911
1000,0.5,0.242,2,16,19561912
1000,1.0,0.265,1,11,19561913
1000,1.0,0.097,1,13,19561914
1000,0.5,0.1875,2,14,19561915
1000,1.0,0.17,1,9,19561916
1000,1.0,0.212,1,14,19561917
1000,0.5,0.1335,2,17,19561918
1000,0.5,0.237,2,13,19561919
1000,0.5,0.163,2,15,19561920
1000,0.5,0.1435,2,11,19561921
1000,0.5,0.342,2,14,19561922
1000,0.5,0.247,2,13,19561923
1000,0.5,0.275,2,14,19561924
1000,0.5,0.183,2,12,19561925
1000,0.5,0.256,2,12,19561926
1000,1.0,0.103,1,21,19561927
1000,0.5,0.244,2,19,19561928
1000,0.5,0.076,2,14,19561929
1000,0.5,0.119,2,14,19561930
10000,0.1667,0.1326,6,23,19561831
10000,0.5,0.0849,2,16,19561832
10000,0.1667,0.0862,6,21,19561833
10000,0.5,0.1711,2,17,19561834
10000,0.5,0.0888,2,20,19561835
10000,0.1667,0.1749,6,19,19561836
10000,0.1667,0.1303,6,19,19561837
10000,0.25,0.1309,4,17,19561838
10000,0.5,0.1895,2,18,19561839
10000,0.25,0.2045,4,23,19561840
10000,0.0833,0.127,12,31,19561841
10000,0.5,0.1401,2,18,19561842
10000,0.25,0.3896,4,21,19561843
10000,0.5,0.2,2,16,19561844
10000,0.5,0.1726,2,15,19561845
10000,0.25,0.1815,4,20,19561846
10000,0.5,0.2049,2,16,19561847
10000,0.5,0.1367,2,15,19561848
10000,0.1,0.1342,10,28,19561849
10000,0.25,0.3126,4,17,19561850
10000,0.5,0.0943,2,21,19561851
10000,0.1667,0.1755,6,29,19561852
10000,0.5,0.2214,2,20,19561853
10000,0.1667,0.3819,6,23,19561854
10000,0.25,0.1565,4,19,19561855
10000,0.5,0.2011,2,18,19561856
10000,0.5,0.1239,2,18,19561857
10000,0.5,0.2,2,24,19561858
10000,0.0833,0.3619,12,36,19561859
10000,0.25,0.3422,4,23,19561860
10000,0.0833,0.1668,12,27,19561861
10000,0.1667,0.3023,6,25,19561862
10000,0.25,0.1974,4,18,19561863
10000,0.0833,0.2073,12,26,19561864
10000,0.0833,0.2613,12,29,19561865
10000,0.5,0.2696,2,17,19561866
10000,0.5,0.1625,2,17,19561867
10000,0.5,0.1574,2,17,19561868
10000,0.1667,0.1055,6,21,19561869
10000,0.25,0.2159,4,22,19561870
10000,0.0833,0.1937,12,28,19561871
