neighborhood,stability,morality,cycle length,generation count,seed
3,1.0,0.114,1,11,19561883
3,1.0,0.175,1,12,19561884
3,0.5,0.0815,2,12,19561885
3,0.25,0.1457,4,15,19561886
3,1.0,0.094,1,11,19561887
3,0.5,0.039,2,11,19561888
3,1.0,0.08,1,10,19561889
3,1.0,0.166,1,17,19561890
3,1.0,0.157,1,12,19561891
3,1.0,0.102,1,11,19561892
3,1.0,0.142,1,14,19561893
3,0.5,0.1175,2,12,19561894
3,1.0,0.052,1,9,19561895
3,1.0,0.096,1,11,19561896
3,1.0,0.054,1,12,19561897
3,1.0,0.123,1,11,19561898
3,1.0,0.056,1,10,19561899
3,1.0,0.039,1,11,19561900
3,1.0,0.092,1,14,19561901
3,1.0,0.166,1,11,19561902
3,0.5,0.2125,2,13,19561903
3,0.5,0.0755,2,14,19561904
3,1.0,0.019,1,9,19561905
3,1.0,0.083,1,11,19561906
3,1.0,0.061,1,12,19561907
3,1.0,0.034,1,8,19561908
3,1.0,0.015,1,11,19561909
3,1.0,0.071,1,14,19561910
3,0.5,0.011,2,11,19561911
3,0.5,0.046,2,10,19561912
3,0.5,0.022,2,14,19561913
3,1.0,0.066,1,7,19561914
3,0.5,0.0835,2,10,19561915
3,1.0,0.0,1,9,19561916
3,0.5,0.011,2,15,19561917
3,1.0,0.119,1,13,19561918
3,1.0,0.026,1,9,19561919
3,1.0,0.232,1,16,19561920
3,0.5,0.095,2,16,19561921
3,0.5,0.1705,2,12,19561922
3,1.0,0.108,1,11,19561923
3,1.0,0.0,1,7,19561924
3,1.0,0.13,1,11,19561925
3,1.0,0.129,1,17,19561926
3,1.0,0.101,1,11,19561927
3,1.0,0.14,1,9,19561928
3,0.5,0.1225,2,13,19561929
3,1.0,0.035,1,7,19561930
4,1.0,0.012,1,11,19561831
4,1.0,0.0,1,9,19561832
4,1.0,0.063,1,10,19561833
4,1.0,0.026,1,11,19561834
4,1.0,0.011,1,9,19561835
4,1.0,0.012,1,8,19561836
4,1.0,0.019,1,9,19561837
4,1.0,0.0,1,7,19561838
4,1.0,0.169,1,11,19561839
4,1.0,0.055,1,11,19561840
4,1.0,0.0,1,11,19561841
4,1.0,0.041,1,11,19561842
4,0.5,0.0,2,8,19561843
4,1.0,0.0,1,7,19561844
4,1.0,0.0,1,13,19561845
4,1.0,0.028,1,14,19561846
4,1.0,0.011,1,9,19561847
4,1.0,0.013,1,10,19561848
4,1.0,0.025,1,9,19561849
4,1.0,0.0,1,9,19561850
4,1.0,0.07,1,12,19561851
4,1.0,0.0,1,9,19561852
4,1.0,0.021,1,8,19561853
4,1.0,0.034,1,8,19561854
4,0.5,0.0,2,10,19561855
4,1.0,0.0,1,11,19561856
4,1.0,0.018,1,8,19561857
