beta,stability,morality,cycle length,generation count,seed
0.07,0.5,0.2675,2,13,19561867
0.07,0.5,0.1205,2,13,19561868
0.07,0.5,0.2205,2,13,19561869
0.07,0.5,0.2335,2,12,19561870
0.07,0.25,0.2392,4,17,19561871
0.07,0.5,0.1195,2,13,19561872
0.07,0.5,0.163,2,12,19561873
0.07,0.25,0.1315,4,14,19561874
0.07,0.5,0.3505,2,13,19561875
0.07,0.5,0.219,2,18,19561876
0.07,0.5,0.24,2,12,19561877
0.07,0.5,0.565,2,14,19561878
0.07,1.0,0.287,1,12,19561879
0.07,0.1667,0.1573,6,18,19561880
0.07,0.5,0.246,2,13,19561881
0.07,1.0,0.277,1,11,19561882
0.07,0.5,0.2795,2,16,19561883
0.07,0.5,0.3605,2,18,19561884
0.07,0.5,0.161,2,22,19561885
0.07,0.5,0.152,2,22,19561886
0.07,0.5,0.1365,2,9,19561887
0.07,1.0,0.181,1,11,19561888
0.07,0.5,0.4255,2,17,19561889
0.07,1.0,0.135,1,10,19561890
0.07,1.0,0.24,1,13,19561891
0.07,1.0,0.211,1,16,19561892
0.07,0.5,0.1675,2,23,19561893
0.07,0.5,0.336,2,24,19561894
0.07,0.5,0.153,2,14,19561895
0.07,0.5,0.1675,2,13,19561896
0.07,0.5,0.251,2,15,19561897
0.07,0.5,0.561,2,14,19561898
0.07,0.5,0.2475,2,13,19561899
0.07,0.5,0.3005,2,12,19561900
0.07,0.5,0.1905,2,11,19561901
0.07,0.5,0.173,2,16,19561902
0.07,0.5,0.426,2,12,19561903
0.07,1.0,0.294,1,12,19561904
0.07,0.5,0.173,2,15,19561905
0.07,0.5,0.3635,2,16,19561906
0.07,0.1667,0.206,6,20,19561907
0.07,0.5,0.3585,2,12,19561908
0.07,0.5,0.3725,2,21,19561909
0.07,0.5,0.3095,2,13,19561910
0.07,0.5,0.144,2,15,19561911
0.07,0.5,0.2925,2,13,19561912
0.07,0.5,0.337,2,13,19561913
0.07,0.5,0.165,2,17,19561914
0.07,0.5,0.157,2,10,19561915
0.07,1.0,0.157,1,9,19561916
0.07,1.0,0.156,1,11,19561917
0.07,0.5,0.147,2,15,19561918
0.07,0.5,0.055,2,15,19561919
0.07,0.5,0.152,2,11,19561920
0.07,0.5,0.1535,2,10,19561921
0.07,0.5,0.3145,2,13,19561922
0.07,1.0,0.23,1,10,19561923
0.07,0.5,0.126,2,11,19561924
0.07,0.5,0.251,2,18,19561925
0.07,1.0,0.249,1,16,19561926
0.07,0.5,0.094,2,11,19561927
0.07,0.5,0.1665,2,15,19561928
0.07,0.5,0.274,2,15,19561929
0.07,1.0,0.046,1,10,19561930
0.125,1.0,0.209,1,19,19561831
0.125,0.5,0.323,2,19,19561832
0.125,0.5,0.142,2,12,19561833
0.125,0.5,0.543,2,19,19561834
0.125,0.5,0.2275,2,13,19561835
0.125,0.5,0.251,2,11,19561836
0.125,0.5,0.17,2,13,19561837
0.125,0.25,0.1305,4,13,19561838
0.125,0.5,0.288,2,15,19561839
0.125,0.5,0.103,2,11,19561840
0.125,0.5,0.2305,2,15,19561841
0.125,0.5,0.1475,2,13,19561842
0.125,0.5,0.387,2,13,19561843
0.125,0.5,0.124,2,11,19561844
0.125,1.0,0.321,1,14,19561845
0.125,0.25,0.2285,4,16,19561846
0.125,0.5,0.406,2,13,19561847
0.125,0.5,0.199,2,20,19561848
0.125,0.5,0.2735,2,25,19561849
0.125,0.5,0.236,2,11,19561850
0.125,1.0,0.199,1,16,19561851
0.125,1.0,0.126,1,12,19561852
0.125,0.5,0.1725,2,14,19561853
0.125,1.0,0.219,1,11,19561854
0.125,0.5,0.0615,2,13,19561855
0.125,0.5,0.2985,2,15,19561856
0.125,0.5,0.2355,2,19,19561857
0.125,0.5,0.2205,2,18,19561858
0.125,0.5,0.356,2,18,19561859
0.125,0.5,0.2295,2,11,19561860
0.125,0.5,0.129,2,13,19561861
0.125,0.5,0.28,2,11,19561862
0.125,1.0,0.287,1,14,19561863
0.125,0.5,0.2575,2,14,19561864
0.125,0.5,0.2695,2,17,19561865
0.125,0.5,0.106,2,17,19561866
0.125,1.0,0.091,1,8,19561867
0.125,0.5,0.1775,2,11,19561868
0.125,0.3333,0.142,3,16,19561869
0.125,0.5,0.154,2,14,19561870
0.125,1.0,0.171,1,11,19561871
0.125,0.5,0.262,2,13,19561872
0.125,0.5,0.113,2,15,19561873
0.125,0.5,0.148,2,14,19561874
0.125,0.5,0.1335,2,14,19561875
0.125,0.5,0.4715,2,14,19561876
0.125,1.0,0.255,1,14,19561877
0.125,0.5,0.0715,2,13,19561878
0.125,0.5,0.273,2,12,19561879
0.125,1.0,0.228,1,18,19561880
0.125,0.5,0.2915,2,10,19561881
0.125,0.5,0.359,2,16,19561882
0.125,0.25,0.109,4,16,19561883
0.125,1.0,0.125,1,9,19561884
0.125,1.0,0.255,1,12,19561885
0.125,0.5,0.191,2,12,19561886
0.125,1.0,0.302,1,11,19561887
0.125,0.5,0.126,2,13,19561888
0.125,0.25,0.1355,4,15,19561889
0.125,0.25,0.1645,4,12,19561890
0.125,0.5,0.1985,2,14,19561891
0.125,0.5,0.2275,2,15,19561892
0.125,1.0,0.225,1,12,19561893
0.125,1.0,0.32,1,11,19561894
0.125,0.5,0.148,2,11,19561895
0.125,1.0,0.104,1,11,19561896
